Year,Cooling Consumption
1990,8.056989337701160
1991,8.056989337701160
1992,7.873745888683010
1993,7.863585325617170
1994,7.834124466337030
1995,7.9236999129385800
1996,7.976777872029020
1997,8.028792113454980
1998,8.057931858311100
1999,8.132822781810400
2000,8.175856560078110
2001,8.201325220635380
2002,8.23537625392307
2003,8.269670344056930
2004,8.248844410611000
2005,8.227649744286980
2006,8.227049718020920
2007,8.223240908346960
2008,8.235066110325360
2009,8.286661073248900
2010,8.346907813721840
2011,8.40180191389787
2012,8.431941955993020
2013,8.446176396914500
2014,8.453584713597340
2015,8.455384328408350
2016,8.475026389599260
2017,8.496398867377330
2018,8.517771345155390
2019,8.540044797540950
2020,14.11289015
2021,5.9796229
2022,8.031406
2023,7.7387006
2024,7.9204788
2025,14.18083435
2026,13.6359194
2027,9.78135605
2028,15.1604327
2029,8.47431355
2030,14.36339045
2031,5.2738506
2032,7.81061305
2033,5.56162525
2034,6.38681765
2035,8.1718046
2036,9.5759198
2037,5.3088207
2038,7.36381095
2039,5.9917906
2040,9.10114035741622
2041,9.083264907089760
2042,9.067274209793300
2043,9.044926452514770
2044,9.03417100096116
2045,8.997388123410760
2046,8.969078058667730
2047,8.958332270119780
2048,8.935200585881940
2049,8.89267382063018
2050,8.842322599169810
2051,8.800279067349460
2052,8.74421376471092
2053,8.683649165385930
2054,8.636795602754570
2055,8.60599440506856
2056,8.564713040456130
2057,8.520943611958760
2058,8.487943912811950
2059,8.438230911123460
2060,8.392949967759550
2061,8.356939203606450
2062,8.324998271973050
2063,8.276092854306550
2064,8.247798016146560
2065,8.21781906933959
2066,8.180322516617320
2067,8.147494862679670
2068,8.120806207662020
2069,8.088599367487330
2070,8.045790961697330
2071,8.01356062848723
2072,7.979246772133710
2073,7.952638963257610
2074,7.916298908469170
2075,7.885098854568070
2076,7.848983222820840
2077,7.813189278287290
2078,7.777272027422440
2079,7.744076688784860
2080,7.7159521353178500
2081,7.690184398728830
2082,7.66429728432495
2083,7.641094537425730
2084,7.6229798546427800
2085,7.597706169306040
2086,7.572358260099340
2087,7.542850930187450
2088,7.513428873915430
2089,7.48600303615736
2090,7.463691991491730
2091,7.436969457363160
2092,7.428912806484940
2093,7.416110471748320
2094,7.396478212031160
2095,7.390616198373080
2096,7.396157963049350
2097,7.392321792837660
2098,7.393249657634640
2099,7.388356489408380
2100,7.388356489408380
