Category,SSP1-1.9,SSP1-2.6,SSP2-4.5,SSP3-7.0,SSP5-8.5
2020,5039.63,5158.6,5008.41,5032.58,5005.23
2021,5037.88,5079.54,5069.42,5016.87,5032.99
2022,5029.31,5044.99,5100.87,5022.52,4993.32
2023,5063.5,5089.13,5115.81,5025.25,5090.19
2024,5087.23,5197.82,5151.16,4989.15,5097.74
2025,5070.03,5134.28,5096.95,5030.51,5100.57
2026,5097.55,5145.36,5131.92,5067.3,5146.17
2027,5109.38,5128.49,5114.47,5126.18,5180.87
2028,5154.69,5269.64,5105.64,5200.95,5183.47
2029,5138.19,5143.14,5240.5,5096.36,5224.75
2030,5119.59,5174.22,5148.98,5103.89,5202.9
2031,5158.04,5237.1,5177.33,5131.45,5277.62
2032,5187.19,5239.35,5245.52,5229.9,5250.57
2033,5143.74,5222.52,5185.51,5151.84,5218.11
2034,5173.31,5288.41,5208.81,5188.24,5247.31
2035,5182.15,5241.68,5235.71,5160.33,5370.79
2036,5186.37,5268.78,5217.65,5212.69,5342.77
2037,5263.67,5394.37,5348.82,5299.74,5396.65
2038,5271.4,5339.97,5379.84,5303.87,5495.37
2039,5235.35,5323.35,5292.32,5275.83,5472.08
2040,5266.11,5375.92,5271.37,5304.69,5611
2041,5265.09,5370.8,5334.81,5285.35,5594.38
2042,5311.81,5403.91,5488.59,5456.76,5494.08
2043,5298.94,5442.97,5377.88,5417.97,5582.12
2044,5288.01,5397.24,5391.63,5361.12,5665.8
2045,5303.04,5395.18,5420.54,5431.79,5694.55
2046,5339.65,5479.9,5498.48,5475.07,5729.96
2047,5328.83,5449.57,5503.31,5502.45,5713.73
2048,5344.81,5408.57,5622.43,5483.28,5817.25
2049,5363,5513.18,5549.06,5580.9,5837.8
2050,5357,5522.47,5576.83,5544.87,5854.49
2051,5353.47,5549.44,5573.81,5566.02,5834.94
2052,5335.62,5427.55,5623.02,5520.71,5940.93
2053,5347.95,5486.54,5564.79,5656.21,5936.71
2054,5349.99,5529.65,5624.35,5559.57,6003.86
2055,5332.25,5465.05,5654.77,5590.38,5960.37
2056,5360.29,5502.31,5673.47,5744.12,6019.92
2057,5368.88,5514.84,5686.19,5808,6076.07
2058,5364.45,5562.4,5670.58,5774.34,6115.52
2059,5356.35,5532.39,5745.72,5740.45,6130.38
2060,5372.95,5572.35,5799.32,5819.99,6158.9
2061,5339.15,5453.22,5726.12,5842.2,6216.38
2062,5346.58,5523.02,5712.81,5896.08,6232.31
2063,5355.87,5607.9,5720.92,5861.08,6323.36
2064,5356.02,5606.31,5752.98,5921.64,6331.72
2065,5314.18,5483.11,5791,5891.05,6200.39
2066,5333.1,5587.63,5786.33,5885.22,6354.7
2067,5338.95,5651.7,5713.45,6002.54,6391.37
2068,5332.59,5603.26,5813.89,6015.64,6383.48
2069,5327.38,5590.83,5855.2,6006.03,6432.79
2070,5306.96,5541.92,5733.2,6008.03,6594.03
2071,5319.44,5554.06,5831.95,6123.91,6591.6
2072,5309.24,5558.23,5865.02,6121.73,6537.02
2073,5319.08,5586.71,5938.96,6107.53,6671.74
2074,5311.06,5628.18,5878.12,6110.13,6699.88
2075,5301.93,5576.5,5868.31,6223.47,6715.46
2076,5295.36,5580.66,5882.39,6147.1,6828.41
2077,5287.33,5557.53,5943.32,6190.62,6751.51
2078,5290.9,5609.01,5934.06,6296.85,6712.66
2079,5281.43,5561.28,5929.32,6269.65,6870.78
2080,5279.24,5514.39,6015.99,6309.89,6913.03
2081,5273.38,5534.51,6010.44,6313.8,6895.03
2082,5279.82,5617.52,5917.96,6408.66,6964.91
2083,5287.27,5608.75,6028.73,6374.36,7125.76
2084,5282.17,5579.96,6070.74,6424.66,7098.52
2085,5275.53,5581.48,6062.98,6409.91,7106.03
2086,5283.41,5617.37,5988.06,6532.83,7253.78
2087,5270.95,5588.84,5993.87,6493.56,7204.78
2088,5277.89,5561.93,6023.25,6632.52,7295.31
2089,5258.04,5498.17,5983.37,6640.62,7183.69
2090,5264.82,5519.17,6023.87,6544.57,7360.97
2091,5270.67,5541.5,6091.77,6479.65,7400.8
2092,5275.84,5529.22,6109.99,6583.27,7398.19
2093,5267.58,5453.76,6037.1,6662.83,7480.18
2094,5294.06,5577.04,6089.18,6659.32,7541.44
2095,5286.88,5450.26,6220.17,6676.91,7470.42
2096,5279.38,5414.12,6045.96,6669.84,7667.93
2097,5311.81,5490.51,6077.44,6884.79,7693.61
2098,5337.63,5589.88,6157.13,6877.78,7661.65
2099,5341.94,5545.93,6152.17,6961.65,7634.14
