Category,"Hist. Ref. Per., 1950-2014",SSP1-1.9,SSP1-2.6,SSP2-4.5,SSP3-7.0,SSP5-8.5
1991,77.80387442417490,,,,,
1992,77.31821535513300,,,,,
1993,77.46152363882630,,,,,
1994,77.59198156120200,,,,,
1995,77.74621344257510,,,,,
1996,77.63668466767650,,,,,
1997,77.82655412974730,,,,,
1998,77.76273993979640,,,,,
1999,77.88716128680900,,,,,
2000,77.91158088147410,,,,,
2001,78.06168908267780,,,,,
2002,78.07076991589840,,,,,
2003,77.9072740525465,,,,,
2004,78.08040018421370,,,,,
2005,78.10619912136640,,,,,
2006,77.94350234859210,,,,,
2007,77.95049063048840,,,,,
2008,77.90386891611240,,,,,
2009,78.05878526945910,,,,,
2010,78.17330689376750,,,,,
2011,78.23630267752030,,,,,
2012,78.29238961495850,,,,,
2013,78.21539177952790,,,,,
2014,78.22982937414130,,,,,
2015,,,,,,
2016,,,,,,
2017,,,,,,
2018,,,,,,
2019,,,,,,
2020,,78.37537540814550,78.71119107055370,78.29985929605760,78.33141694786120,78.32140207162510
2021,,78.4042520084402,78.57334596032640,78.46528232266270,78.31069180190380,78.37094104770030
2022,,78.36921668246500,78.45970083349670,78.53968349266100,78.35125493419010,78.2782707702996
2023,,78.44690062581300,78.55721980093840,78.5870650058045,78.33296229369200,78.50716733675830
2024,,78.50909520614760,78.82432784901700,78.68181183300660,78.24621786923920,78.53821476806310
2025,,78.47784914804310,78.665929861864,78.53838592473340,78.35617385671450,78.5850802005263
2026,,78.5250302558145,78.63473031600660,78.61848509048910,78.44214623849330,78.69773703267710
2027,,78.58715926476010,78.63453227255900,78.6021926185423,78.60136962309610,78.80934757278840
2028,,78.6817515905348,79.01403637086300,78.53973479234950,78.79677988060030,78.7771142188148
2029,,78.6659027458287,78.72979813021640,78.90873669692810,78.52284106234070,78.94423058627900
2030,,78.61820434629850,78.76121858745920,78.68182690708860,78.5659145796373,78.87554705496160
2031,,78.71380428690500,78.94208292124220,78.74560916135610,78.61733123577890,79.08124423835030
2032,,78.7786743801086,78.9586905083342,78.96155565242460,78.89636737312040,78.9632620688333
2033,,78.69777018939120,78.90440529078870,78.81228471111580,78.73066187357900,78.95999257283250
2034,,78.76217006077230,79.12340201201660,78.89482313749330,78.79677988060030,78.9772402317644
2035,,78.79389761829420,78.95642152917270,78.9273556068575,78.74648499951920,79.36906865811180
2036,,78.77835951264190,78.9939248085645,78.89623054708880,78.84404519332690,79.23455074985210
2037,,79.02052524851790,79.36514763475260,79.26925527499590,79.12389337797440,79.48939660521960
2038,,79.03696608689750,79.256675846852,79.35150384290730,79.14452239144300,79.7376922255803
2039,,78.9416039935922,79.2068375892001,79.13497415411360,79.06452633972130,79.70130504218820
2040,,78.99100145040490,79.3469393105508,79.01360851020640,79.11824465617080,80.0239194805226
2041,,79.02144031260540,79.30521926050330,79.24877760101840,79.13328171410100,80.02294960910070
2042,,79.15229564704600,79.43509199713990,79.6699020840228,79.62413822815380,79.78490779072630
2043,,79.10365375548810,79.53180302253370,79.3257464792901,79.50749835364370,80.06136942109580
2044,,79.07200761217510,79.38162585456670,79.40714121533130,79.32168038526410,80.26625158273550
2045,,79.14032004445040,79.45334939067930,79.53404151298820,79.5322507664239,80.4098708833186
2046,,79.23915154649800,79.69334191785460,79.75459311610720,79.68562792030720,80.53139655608660
2047,,79.2200670474201,79.60455024472720,79.77134716325790,79.76792639770350,80.47219960200910
2048,,79.21945601544240,79.44385904438950,80.05184389454300,79.71655724246590,80.75634923906460
2049,,79.29101260761120,79.7853220087448,79.88826950093800,80.00467860090780,80.89094261969310
2050,,79.28693022416400,79.76503737430250,80.01876867458070,79.90984798682490,80.93914094706710
2051,,79.27117882112720,79.86137547805750,80.00358114956910,79.98183509975460,80.8615533352167
2052,,79.20310943999310,79.50246605333570,80.0694729383628,79.86480427694200,81.16314684782800
2053,,79.25172508902850,79.71360437433090,79.97032346095290,80.30570443890750,81.20849239959510
2054,,79.2383183607624,79.77301572447350,80.16794553635130,79.9840259540039,81.47514234818230
2055,,79.20488173493560,79.64315857868240,80.23773378639510,80.1251252125757,81.35351412719920
2056,,79.2718419779689,79.7177254961305,80.32146256836260,80.57638553434100,81.45647082178970
2057,,79.30052813955210,79.75180897378050,80.37869360459520,80.80080221587200,81.68404574507570
2058,,79.28418508090750,79.91585358881810,80.27670517969940,80.68542152229760,81.79379227757090
2059,,79.25367083297850,79.81803979488220,80.53275457515370,80.59173774212160,81.93477557186610
2060,,79.28624570492200,79.9208092320675,80.67934870773810,80.79658996220160,82.02631337913750
2061,,79.22209480544710,79.62721137102070,80.4806770723876,81.04209058096870,82.345515480085
2062,,79.25237488332930,79.7973404707034,80.49701702003840,81.1684229929329,82.42144222445600
2063,,79.26762179653410,80.05109402689490,80.47703792245280,81.05740886054950,82.68718710139850
2064,,79.23559539781400,79.97670145593180,80.546320506459,81.16924833083920,82.76409598082610
2065,,79.13287490054770,79.66194508458740,80.68556578532590,81.14693921422550,82.26720946378710
2066,,79.1995306706522,79.96785606541640,80.74630855006520,81.1445117267767,82.87883214368160
2067,,79.21884373520160,80.21245042630540,80.50508061417480,81.5431090739103,83.04891109203910
2068,,79.18503921281960,80.03205928735040,80.7728294939472,81.67600841618830,83.00138947908790
2069,,79.18213563821770,79.9773326782849,80.96495101793740,81.5916821107367,83.25323622722500
2070,,79.11723049024140,79.86042745280380,80.55975386385360,81.57910215386890,83.76961877879050
2071,,79.14830028672370,79.82830314346610,80.81417578760260,82.06193360872330,83.93565370517930
2072,,79.0977651573935,79.85407324592580,80.92530826411710,81.89696616221500,83.66582131722360
2073,,79.13216837001700,79.96916390974230,81.22654387311090,81.94366917851650,84.13836115588170
2074,,79.11484160502700,80.10704530406700,81.05020762045600,82.01762733736690,84.24795210159250
2075,,79.09925582637570,79.97111718863800,81.10845728567300,82.43172632823240,84.31946576955350
2076,,79.06568801661150,79.90324235359650,80.94543843664120,82.21821271328140,84.82048369029180
2077,,79.04787359253620,79.89353798323240,81.22523982283920,82.30471671527370,84.54776836027950
2078,,79.04935926237430,80.02533084463570,81.22587861727350,82.66893239035450,84.40872582927970
2079,,79.0332001411189,79.93992151976570,81.18916306077050,82.62202728310690,85.06073329329170
2080,,79.01583068408450,79.74116182689470,81.42945888723680,82.75675702893790,85.18066087317860
2081,,78.99936505933480,79.8100902086068,81.44994400442570,82.81679117005390,85.1731026309818
2082,,79.01486792239820,80.06202943744130,81.18508646739750,82.99454407790820,85.59334846744430
2083,,79.03177569577490,80.02092468848490,81.55912689396100,83.07903029871120,86.26588711537090
2084,,79.01403637086300,79.87803692372780,81.63646061386480,83.24456395598700,86.03456722765020
2085,,79.01417536837760,79.94073232222310,81.66337880797340,83.20713779983410,86.21470461779330
2086,,79.03177569577490,80.06897701929490,81.44601892344570,83.68992223195700,86.88253365312240
2087,,78.99804340327960,79.93650698971640,81.47145699760720,83.53493437388940,86.67996318873750
2088,,79.01417536837760,79.8983614873259,81.5073027820448,84.01155613581340,87.0967020613557
2089,,78.96694659511540,79.69423917152730,81.46960787445660,84.1993985103,86.61073881647550
2090,,78.96706613228260,79.70902496502960,81.60946249326530,83.92729976325110,87.51650021839150
2091,,78.9981763077858,79.80528878188160,81.74623197628730,83.60640969966890,87.7407855032597
2092,,78.99897028661980,79.76223776012010,81.78171010897490,83.94283257351160,87.84975998332500
2093,,78.98407533791340,79.58899116449640,81.63408008533000,84.42859954711360,87.98365023078690
2094,,79.06630176530640,79.9655019085161,81.7575102920382,84.44999028371040,88.5503567673584
2095,,79.03291653423890,79.57466661156300,82.19452770045430,84.41679221535490,88.12537200329180
2096,,79.01610429872120,79.43906478378880,81.64135961137710,84.3179966382685,88.79232258576730
2097,,79.11380876937830,79.69198500899850,81.7163990575644,85.28248973605520,89.34109504899300
2098,,79.17939668405140,79.96501212766530,82.07625272508290,85.17395593112060,89.19601659873040
2099,,79.19631128386410,79.84652719564970,81.96066109646180,85.62839173327640,88.79613572298360
