Category,Male 2020-2039,Female 2020-2039,Male 2040-2059,Female 2040-2059,Male 2060-2079,Female 2060-2079,Male 2089-2099,Female 2089-2099
0-4,43696424,47344456,30253666,32706508,20143382,21750204,20143382,21750204
5-9,47010280,51043870,33318476,36043390,22254556,24029012,22254556,24029012
10-14,50853812,55290788,36471090,39469170,24566822,26526066,24566822,26526066
15-19,53938188,58705436,39836896,43131660,27181834,29353766,27181834,29353766
20-24,56130676,61125276,43205452,46798690,30096314,32504970,30096314,32504970
25-29,57302612,62361150,46687200,50553636,33194748,35837056,33194748,35837056
30-34,56987370,61838684,50428276,54592400,36297676,39162360,36297676,39162360
35-39,54851924,59236804,53415876,57782868,39601730,42700964,39601730,42700964
40-44,51976576,55740730,55484612,59928780,42900464,46224090,42900464,46224090
45-49,48052700,51039164,56546824,60881624,46331076,49851944,46331076,49851944
50-54,43329290,45353076,56009224,59836210,49956930,53611180,49956930,53611180
55-59,37976964,38926236,53430610,56267880,52702324,56216460,52702324,56216460
60-64,32291374,32049522,49706980,51077380,54289570,57252212,54289570,57252212
65-69,26307986,24987506,44369884,43909860,54425070,56266572,54425070,56266572
70-74,19839802,17723010,37473156,35129950,52200860,52201330,52200860,52201330
75-79,13508569,11182101,29274862,25537336,46864788,44553696,46864788,44553696
80-84,7974118,6053679,20480004,16309716,38949196,34441124,38949196,34441124
85-89,3731167,2603727,12189471,8784712,28480152,22940748,28480152,22940748
90-94,1241425,810057,5648672,3650964,17100842,12323725,17100842,12323725
95-99,279050,180532,1840070,1070994,7663058,4904182,7663058,4904182
