Year,Cooling_Consumption_TWh
1990,8.056989337701163
1991,8.056989337701163
1992,7.873745888683014
1993,7.863585325617165
1994,7.834124466337033
1995,7.9236999129385755
1996,7.976777872029015
1997,8.028792113454983
1998,8.057931858311099
1999,8.132822781810402
2000,8.175856560078113
2001,8.201325220635379
2002,8.23537625392307
2003,8.269670344056934
2004,8.248844410611001
2005,8.227649744286975
2006,8.227049718020918
2007,8.223240908346963
2008,8.235066110325358
2009,8.286661073248895
2010,8.346907813721842
2011,8.40180191389787
2012,8.431941955993016
2013,8.446176396914499
2014,8.453584713597337
2015,8.455384328408345
2016,8.475026389599256
2017,8.496398867377325
2018,8.517771345155394
2019,8.540044797540954
2020,8.551940670545475
2021,8.573307700595825
2022,8.60140101828891
2023,8.619737185541284
2024,8.641221565234305
2025,8.679751492716301
2026,8.721183667488619
2027,8.748783121227923
2028,8.773405030615795
2029,8.806480554799835
2030,8.839958936304768
2031,8.84243211170154
2032,8.85896780168591
2033,8.889421236402846
2034,8.900212292800072
2035,8.942152371679537
2036,9.001163509292976
2037,9.031952120084325
2038,9.065770791990635
2039,9.098133444851644
2040,9.10114035741622
2041,9.083264907089758
2042,9.067274209793302
2043,9.044926452514769
2044,9.03417100096116
2045,8.997388123410762
2046,8.969078058667732
2047,8.958332270119781
2048,8.935200585881939
2049,8.89267382063018
2050,8.842322599169808
2051,8.800279067349459
2052,8.74421376471092
2053,8.683649165385932
2054,8.636795602754574
2055,8.60599440506856
2056,8.564713040456134
2057,8.520943611958755
2058,8.487943912811952
2059,8.438230911123462
2060,8.392949967759545
2061,8.356939203606453
2062,8.324998271973048
2063,8.276092854306553
2064,8.247798016146563
2065,8.21781906933959
2066,8.180322516617315
2067,8.147494862679666
2068,8.120806207662024
2069,8.088599367487333
2070,8.045790961697328
2071,8.01356062848723
2072,7.979246772133705
2073,7.952638963257607
2074,7.916298908469173
2075,7.885098854568069
2076,7.848983222820837
2077,7.813189278287287
2078,7.777272027422438
2079,7.744076688784856
2080,7.7159521353178535
2081,7.690184398728831
2082,7.66429728432495
2083,7.641094537425725
2084,7.6229798546427805
2085,7.597706169306038
2086,7.572358260099337
2087,7.542850930187448
2088,7.513428873915427
2089,7.48600303615736
2090,7.463691991491728
2091,7.436969457363155
2092,7.428912806484941
2093,7.416110471748321
2094,7.396478212031164
2095,7.390616198373077
2096,7.396157963049345
2097,7.392321792837655
2098,7.393249657634644
2099,7.388356489408379
2100,7.388356489408379
