Category,Male_Population,Female_Population,Male 2040-2059,Female 2040-2059,Male 2060-2079,Female 2060-2079,Male 2080-2099,Female 2080-2099
0-4, 43696424,47344456,-30253666,32706508,-20143382,21750204,-13105606,14145855
5-9, 47010280,51043870,-33318476,36043390,-22254556,24029012,-14604537,15762168
10-14, 50853812,55290788,-36471090,39469170,-24566822,26526066,-16272292,17560518
15-19,53938188,58705436,-39836896,43131660,-27181834,29353766,-18103500,19534956
20-24, 56130676,61125276,-43205452,46798690,-30096314,32504970,-20086542,21671276
25-29, 57302612,62361150,-46687200,50553636,-33194748,35837056,-22211402,23954450
30-34, 56987370,61838684,-50428276,54592400,-36297676,39162360,-24504758,26414804
35-39, 54851924,59236804,-53415876,57782868,-39601730,42700964,-27091736,29187268
40-44, 51976576,55740730,-55484612,59928780,-42900464,46224090,-29972036,32267758
45-49, 48052700,51039164,-56546824,60881624,-46331076,49851944,-33050538,35543624
50-54, 43329290,45353076,-56009224,59836210,-49956930,53611180,-36108180,38752584
55-59, 37976964,38926236,-53430610,56267880,-52702324,56216460,-39309410,42030024
60-64, 32291374,32049522,-49706980,51077380,-54289570,57252212,-42392572,45025356
65-69, 26307986,24987506,-44369884,43909860,-54425070,56266572,-45364684,47617468
70-74, 19839802,17723010,-37473156,35129950,-52200860,52201330,-48013830,49418996
75-79, 13508569,11182101,-29274862,25537336,-46864788,44553696,-48878810,48745140
80-84, 7974118,6053679,-20480004,16309716,-38949196,34441124,-47071136,44737170
85-89, 3731167,2603727,-12189471,8784712,-28480152,22940748,-41657108,36950420
90-94, 1241425,810057,-5648672,3650964,-17100842,12323725,-31921426,25804510
95-99, 279050,180532,-1840070,1070994,-7663058,4904182,-19399632,14011091
100,,,,,,,,
