Category,"Hist. Ref. Per., 1950-2014",Historical 10-90th Percentile Range (low),Historical 10-90th Percentile Range (high),SSP1-1.9,SSP1-1.9 10-90th Percentile Range (low),SSP1-1.9 10-90th Percentile Range (high),SSP1-2.6,SSP1-2.6 10-90th Percentile Range (low),SSP1-2.6 10-90th Percentile Range (high),SSP2-4.5,SSP2-4.5 10-90th Percentile Range (low),SSP2-4.5 10-90th Percentile Range (high),SSP3-7.0,SSP3-7.0 10-90th Percentile Range (low),SSP3-7.0 10-90th Percentile Range (high),SSP5-8.5,SSP5-8.5 10-90th Percentile Range (low),SSP5-8.5 10-90th Percentile Range (high)
1991,77.80387442417491,77.29110829802417,78.48520694769319,,,,,,,,,,,,,,,
1992,77.31821535513296,77.00243672765654,77.7577421905191,,,,,,,,,,,,,,,
1993,77.46152363882632,77.10893722682727,77.95550720128436,,,,,,,,,,,,,,,
1994,77.59198156120195,77.16070088634058,78.04729357935449,,,,,,,,,,,,,,,
1995,77.74621344257514,77.16447423597126,78.28715354343964,,,,,,,,,,,,,,,
1996,77.63668466767646,77.32089012021498,78.13597250763992,,,,,,,,,,,,,,,
1997,77.82655412974728,77.36845786510679,78.36229607123543,,,,,,,,,,,,,,,
1998,77.76273993979643,77.42766415102773,78.40180240482302,,,,,,,,,,,,,,,
1999,77.88716128680902,77.23341617097753,78.56028998512667,,,,,,,,,,,,,,,
2000,77.91158088147407,77.410518168267,78.39947146058742,,,,,,,,,,,,,,,
2001,78.06168908267783,77.58619553170405,78.7307488505979,,,,,,,,,,,,,,,
2002,78.07076991589838,77.45066172248401,78.68006023411601,,,,,,,,,,,,,,,
2003,77.9072740525465,77.47497117355309,78.4268610384469,,,,,,,,,,,,,,,
2004,78.08040018421366,77.52195037062421,78.73018668954566,,,,,,,,,,,,,,,
2005,78.10619912136637,77.51132822623995,78.83208424902264,,,,,,,,,,,,,,,
2006,77.94350234859206,77.33483006926613,78.78170636774212,,,,,,,,,,,,,,,
2007,77.95049063048835,77.31736291895095,78.64189133143617,,,,,,,,,,,,,,,
2008,77.90386891611244,77.2909123190017,78.51086095555706,,,,,,,,,,,,,,,
2009,78.05878526945912,77.47539434349233,78.71310470624036,,,,,,,,,,,,,,,
2010,78.17330689376752,77.54535090851353,78.9860220653714,,,,,,,,,,,,,,,
2011,78.23630267752029,77.59785839892342,79.00703371678247,,,,,,,,,,,,,,,
2012,78.29238961495851,77.63530621549047,79.04519567131948,,,,,,,,,,,,,,,
2013,78.21539177952792,77.56523402240519,78.9219357267744,,,,,,,,,,,,,,,
2014,78.22982937414125,77.62853991221729,78.95620066049395,78.22982937414125,77.62853991221729,78.95620066049395,78.22982937414125,77.62853991221729,78.95620066049395,78.22982937414125,77.62853991221729,78.95620066049395,78.22982937414125,77.62853991221729,78.95620066049395,78.22982937414125,77.62853991221729,78.95620066049395
2015,,,,78.27082621413872,77.4978946924115,79.1452731586115,78.28864513519638,77.45207030810906,79.29888221988327,78.27962318283517,77.55827936732734,79.1272134945732,78.28864513519638,77.49874419482728,79.28964821483544,78.26892932774047,77.43184573959681,79.01928741397604
2016,,,,78.21376155146886,77.47137478955447,79.0882498330724,78.22337161509856,77.502257110624,79.1815702104525,78.11544336718946,77.50301380334672,79.05302304981672,78.25646844939843,77.36636112435997,79.0728728654347,78.31814585548517,77.48922864600385,79.21390112461857
2017,,,,78.22535307635884,77.51108016052626,79.2205100504099,78.28454604098539,77.54428141776611,79.31541304344148,78.25526583392323,77.53611784403193,79.09443309815751,78.18006228007076,77.36099867654596,79.44612612053112,78.26774044422501,77.6017946047646,79.1834879659373
2018,,,,78.31374868509711,77.5737087604095,79.18221317478185,78.2678899533648,77.55147445662244,79.14561686262704,78.36004682874984,77.54925114696277,79.1872232393719,78.31642386164755,77.64031170548714,79.28513906600102,78.38390639884992,77.5045766221572,79.30565511106639
2019,,,,78.3735863323199,77.54963747212713,79.40126868569212,78.45257985582548,77.69541801627238,79.37556009177102,78.25343086103103,77.40609661861788,79.31096126506688,78.46306607941428,77.51623713574918,79.86644839755468,78.41557680962097,77.5555139605139,79.30972697876796
2020,,,,78.37537540814554,77.52782031126554,79.4572227717705,78.71119107055372,77.81679317401394,79.79401856499817,78.29985929605762,77.39683168403812,79.59384234091056,78.33141694786124,77.53706230221266,79.33392459418484,78.32140207162507,77.3370663524514,79.41684090805151
2021,,,,78.4042520084402,77.54887931041358,79.37517888821208,78.57334596032635,77.72596385010331,79.5763200771637,78.46528232266266,77.70709526382711,79.52995322528653,78.31069180190377,77.37002757179252,79.39483435821232,78.37094104770026,77.37949993102295,79.30502046573267
2022,,,,78.36921668246501,77.57950947029445,79.34222285613941,78.45970083349667,77.48030851099742,79.46402460267294,78.53968349266097,77.70862622351191,79.55725000365514,78.35125493419005,77.50380405744907,79.39002486835088,78.2782707702996,77.59292216756509,79.3238809988732
2023,,,,78.44690062581304,77.56764153421028,79.57809640904652,78.55721980093841,77.68503501323582,79.71013708721891,78.5870650058045,77.63966533809284,79.71858824773702,78.33296229369202,77.37441033030754,79.54602521910577,78.50716733675831,77.57591210828387,79.79341077897595
2024,,,,78.50909520614755,77.61785748464,79.64228962232227,78.82432784901698,77.91549860684312,79.97084897168065,78.68181183300662,77.78551182088464,79.90812399257904,78.24621786923922,77.21938852071462,79.49706043994323,78.53821476806306,77.60293978010446,79.7488793374306
2025,,,,78.47784914804313,77.5555139605139,79.7206893226896,78.665929861864,77.70769961014734,79.96732303747218,78.53838592473335,77.57441433148165,79.81333328527256,78.35617385671449,77.25347828582267,79.77925403295936,78.5850802005263,77.70118608677078,79.90637925050035
2026,,,,78.5250302558145,77.65797265062398,79.75494526187805,78.63473031600657,77.74437540361197,79.79776454253258,78.61848509048907,77.5150566062697,80.0401032930739,78.44214623849328,77.65372160666065,80.04729946216077,78.69773703267711,77.72903202323556,79.85164949246416
2027,,,,78.58715926476006,77.72547998005257,79.79341077897595,78.63453227255901,77.76271457804636,79.84690451854559,78.6021926185423,77.59928436835705,80.14851544889396,78.60136962309605,77.69301217478142,79.95920275459154,78.80934757278843,77.92576811859118,80.02403484559359
2028,,,,78.6817515905348,77.72911838485987,80.00826590426917,79.01403637086295,77.91528107144413,80.18650814785573,78.53973479234945,77.7888908190422,79.79077375347077,78.79677988060031,77.63838211090737,80.8111215813442,78.7771142188148,77.62533683543899,80.28807990204268
2029,,,,78.6659027458287,77.79623871738156,79.91660384229672,78.72979813021641,77.95732761588229,79.86318773561077,78.90873669692814,77.94535923081716,80.41225592129163,78.52284106234069,77.59748152027385,80.28284459657863,78.94423058627896,77.79255904952802,80.13875781752058
2030,,,,78.61820434629851,77.71047466757526,79.82035658659164,78.76121858745918,77.85082520910905,80.0232286367143,78.68182690708859,77.67351590727418,80.08444242883726,78.5659145796373,77.56534187293475,79.97328984263052,78.87554705496156,77.80041476894594,80.22027268754809
2031,,,,78.71380428690503,77.70862622351191,80.02645187994247,78.94208292124216,77.71822473143021,80.30644504592169,78.74560916135614,77.78386137158441,80.1736759315684,78.61733123577889,77.56511867785697,80.30805502605858,79.08124423835031,77.85451858989472,80.6013256520447
2032,,,,78.7786743801086,77.78168247914604,80.07765189550628,78.9586905083342,77.77974281997305,80.3210637951633,78.96155565242462,77.88786462208998,80.44424297720653,78.89636737312044,77.80178058463224,80.55874576168847,78.9632620688333,77.76313084957344,80.41037724663995
2033,,,,78.69777018939115,77.81020218626209,79.92324601312954,78.90440529078872,78.00530331525955,80.27301240688959,78.81228471111581,77.8083062123831,80.05208496605349,78.73066187357895,77.76201934163794,80.24517816476371,78.95999257283252,77.76591224952874,80.57200652015041
2034,,,,78.76217006077232,77.78722891926023,80.18657216002131,79.12340201201661,77.85476219077958,80.5674296485091,78.89482313749326,77.93907722547289,80.5942589229408,78.79677988060031,77.63302791318026,80.62745776003936,78.9772402317644,77.86116664829574,80.75616442895091
2035,,,,78.79389761829422,77.8402848939046,80.30556291428594,78.95642152917266,78.09700004380585,80.76026636025216,78.9273556068575,78.01123509035446,80.54054477960855,78.74648499951923,77.47497117355309,80.97219859506242,79.36906865811184,78.02100198302884,81.07374393713064
2036,,,,78.77835951264191,77.83492400842007,80.18611352262006,78.9939248085645,78.04605991326437,80.52488810917085,78.89623054708878,77.93617592590229,80.26215735200904,78.84404519332688,77.65865639230532,81.01933763829757,79.23455074985213,77.89690202076775,81.04758540206689
2037,,,,79.02052524851788,77.98589041515572,80.4144178333413,79.36514763475255,78.06940766661137,80.87126646419154,79.26925527499588,78.19110400018589,80.74845251562465,79.12389337797438,77.97135822918541,81.1859867314873,79.48939660521955,78.06108495919398,81.37900344566364
2038,,,,79.03696608689751,78.00755503647292,80.51035524483561,79.256675846852,78.16385947881531,80.90794545872369,79.35150384290728,78.08876616044057,80.80218091292458,79.14452239144295,78.03518312789025,81.56332550961147,79.7376922255803,78.08683812617673,81.68869544923164
2039,,,,78.9416039935922,78.01769885956082,80.49676924791436,79.2068375892001,78.18310779290991,81.13568427815935,79.13497415411359,78.06397581403712,80.74589909067113,79.06452633972134,77.94322268024592,81.55546680463557,79.70130504218824,78.31825292382597,81.53270903705678
2040,,,,78.99100145040492,77.93387101501301,80.44882061260114,79.3469393105508,78.06312122445863,80.91299233018262,79.01360851020635,77.98857634236074,81.02670676979028,79.11824465617084,77.93276271239031,81.31866947670494,80.0239194805226,78.10024941467239,81.73640756810785
2041,,,,79.02144031260536,77.94662617598024,80.44497504477064,79.30521926050329,78.05227820684517,80.87587654615407,79.24877760101842,78.33995880684586,80.77190637757205,79.13328171410095,77.56275576339478,81.64380423423768,80.02294960910072,78.2792405910623,81.987004135021
2042,,,,79.15229564704599,78.06233825169157,80.5886798039831,79.43509199713986,78.220188431422,81.17066420534296,79.6699020840228,78.35842691611012,81.31767603308967,79.62413822815375,77.89400223903986,81.74025203583096,79.78490779072628,78.3821278013957,81.8926753078004
2043,,,,79.10365375548814,78.09505539998375,80.57751160841799,79.53180302253371,78.34410052048057,81.39318508223063,79.3257464792901,78.23651423967645,81.03396377588948,79.50749835364365,78.05631553882594,81.77665972590401,80.06136942109578,78.47598882849145,82.24984970874323
2044,,,,79.07200761217506,78.11900618481144,80.38573742570878,79.38162585456669,78.17395427803463,80.92064806816805,79.40714121533128,78.29894335864442,81.28542086476702,79.32168038526407,78.2201302937803,81.27438080211977,80.26625158273553,78.65141635200496,82.08603752592393
2045,,,,79.14032004445039,78.13405268746395,80.48606995548164,79.45334939067925,78.21802588500827,81.37902398277751,79.53404151298815,78.2857055817343,81.12690248940368,79.5322507664239,78.21398325682816,81.54484536317645,80.4098708833186,78.78237026195555,82.41363033348303
2046,,,,79.23915154649796,78.15906453635068,80.72728942435594,79.69334191785455,78.44888322312593,81.51086452603383,79.75459311610717,78.1642011349957,82.0338362572225,79.68562792030718,78.22607989099629,81.7850040653765,80.53139655608655,78.76837160416619,82.92509620946905
2047,,,,79.2200670474201,78.159812186704,80.69920041616129,79.60455024472719,78.48926380099607,81.25951918427855,79.77134716325789,78.39394905005074,81.69954371846194,79.76792639770349,78.29316277402336,82.34317792150961,80.47219960200908,78.48943174540014,83.21760193090172
2048,,,,79.21945601544235,78.18566237438341,80.63581717677783,79.44385904438954,78.2779208731423,81.21070163461886,80.05184389454298,78.54437467157092,82.22312182551255,79.71655724246591,78.275962420181,81.92939969233072,80.75634923906456,78.7836254077994,83.10928272746284
2049,,,,79.29101260761115,78.27365621011836,80.81934869200995,79.7853220087448,78.58541089086388,81.6813930580362,79.88826950093798,78.61562265600597,82.27296729559839,80.00467860090778,78.34141270551247,82.75958302325563,80.89094261969308,79.08393683088805,83.27180677059688
2050,,,,79.28693022416397,78.28982624213371,80.77793678189471,79.76503737430254,78.54163591434478,81.61611739856411,80.01876867458073,78.57228681668418,82.47355338031215,79.90984798682487,78.39565792037655,82.66098688977436,80.93914094706707,79.27990910228121,83.26574393971964
2051,,,,79.27117882112715,78.27516223883404,80.76419548775846,79.86137547805745,78.50279762932229,81.79572857293053,80.00358114956906,78.769336937344,82.32083486679659,79.98183509975456,78.28527932182479,82.53641407864174,80.8615533352167,79.19306858665291,83.86939870709732
2052,,,,79.20310943999311,78.20917590286032,80.73726144431805,79.50246605333571,78.3543402513644,81.78276164490775,80.0694729383628,78.67093029869551,81.9821152540157,79.86480427694202,78.2638367437965,82.89057892719006,81.16314684782799,79.21456621902445,84.21169808097896
2053,,,,79.25172508902847,78.27666029154446,80.68704714348297,79.71360437433086,78.40986996005643,81.45419328128375,79.97032346095287,78.71302008619614,82.28852660871904,80.30570443890751,78.6851433241632,83.19156816215306,81.20849239959507,79.16965542893288,83.98889719025931
