code,name,2020-07,2021-07,2022-07,2023-07,2024-07,2025-07,2026-07,2027-07,2028-07,2029-07,2030-07,2031-07,2032-07,2033-07,2034-07,2035-07,2036-07,2037-07,2038-07,2039-07,2040-07,2041-07,2042-07,2043-07,2044-07,2045-07,2046-07,2047-07,2048-07,2049-07,2050-07,2051-07,2052-07,2053-07,2054-07,2055-07,2056-07,2057-07,2058-07,2059-07,2060-07,2061-07,2062-07,2063-07,2064-07,2065-07,2066-07,2067-07,2068-07,2069-07,2070-07,2071-07,2072-07,2073-07,2074-07,2075-07,2076-07,2077-07,2078-07,2079-07,2080-07,2081-07,2082-07,2083-07,2084-07,2085-07,2086-07,2087-07,2088-07,2089-07,2090-07,2091-07,2092-07,2093-07,2094-07,2095-07,2096-07,2097-07,2098-07,2099-07,2100-07
IND,India,61.98,62.03,62.1,62.19,62.27,62.33,62.36,62.36,62.33,62.31,62.29,62.31,62.36,62.44,62.53,62.6,62.63,62.62,62.56,62.47,62.37,62.26,62.17,62.1,62.05,62.02,62,62,62.02,62.03,62.06,62.08,62.09,62.09,62.08,62.06,62.04,62.01,61.99,61.97,61.96,61.95,61.95,61.96,61.98,62,62.03,62.04,62.05,62.04,62.01,61.97,61.93,61.89,61.84,61.81,61.77,61.74,61.71,61.69,61.66,61.64,61.63,61.65,61.69,61.76,61.85,61.95,62.02,62.07,62.07,62.02,61.94,61.86,61.78,61.72,61.69,61.69,61.71,61.74,61.78
IND.1151,Andaman and Nicobar Islands,81.72,81.72,81.74,81.77,81.8,81.83,81.85,81.85,81.85,81.84,81.83,81.83,81.83,81.83,81.84,81.85,81.87,81.9,81.92,81.95,81.97,81.98,81.99,81.98,81.97,81.95,81.94,81.92,81.92,81.91,81.91,81.91,81.91,81.91,81.9,81.9,81.89,81.88,81.88,81.87,81.87,81.87,81.87,81.88,81.89,81.9,81.9,81.91,81.92,81.92,81.92,81.92,81.92,81.92,81.93,81.93,81.93,81.93,81.93,81.92,81.91,81.89,81.87,81.85,81.84,81.84,81.85,81.86,81.88,81.9,81.92,81.93,81.94,81.95,81.96,81.96,81.95,81.94,81.93,81.92,81.9
IND.11510,Delhi,58.14,58.2,58.29,58.4,58.52,58.64,58.75,58.84,58.93,59.02,59.12,59.22,59.34,59.45,59.53,59.57,59.55,59.44,59.27,59.07,58.86,58.69,58.58,58.55,58.56,58.59,58.63,58.64,58.61,58.55,58.47,58.38,58.3,58.24,58.21,58.19,58.2,58.23,58.29,58.36,58.44,58.5,58.55,58.55,58.51,58.45,58.38,58.32,58.28,58.29,58.32,58.37,58.42,58.44,58.42,58.36,58.26,58.13,57.97,57.78,57.59,57.42,57.31,57.29,57.41,57.67,58.02,58.39,58.69,58.86,58.81,58.56,58.2,57.8,57.44,57.22,57.16,57.24,57.42,57.67,57.95
IND.11511,Goa,76.68,76.71,76.74,76.76,76.79,76.82,76.85,76.87,76.89,76.91,76.92,76.93,76.93,76.93,76.93,76.92,76.91,76.9,76.88,76.86,76.84,76.81,76.78,76.75,76.72,76.69,76.67,76.66,76.65,76.66,76.66,76.66,76.64,76.61,76.56,76.52,76.47,76.44,76.43,76.44,76.46,76.48,76.51,76.53,76.53,76.53,76.51,76.48,76.45,76.41,76.36,76.32,76.28,76.25,76.23,76.22,76.22,76.23,76.25,76.28,76.33,76.38,76.42,76.46,76.48,76.48,76.46,76.43,76.4,76.36,76.33,76.31,76.29,76.27,76.25,76.22,76.19,76.15,76.11,76.06,76.02
IND.11512,Gujarat,55.9,55.96,56.03,56.1,56.17,56.24,56.31,56.36,56.41,56.46,56.49,56.52,56.54,56.55,56.56,56.57,56.57,56.57,56.57,56.57,56.56,56.55,56.54,56.52,56.5,56.47,56.44,56.41,56.37,56.34,56.31,56.28,56.26,56.24,56.23,56.23,56.24,56.27,56.32,56.38,56.45,56.51,56.56,56.58,56.57,56.54,56.5,56.45,56.4,56.37,56.35,56.35,56.36,56.39,56.45,56.52,56.59,56.64,56.67,56.66,56.61,56.54,56.47,56.43,56.44,56.51,56.63,56.77,56.89,56.97,56.97,56.91,56.81,56.69,56.57,56.5,56.47,56.48,56.52,56.58,56.66
IND.11513,Haryana,57.1,57.16,57.26,57.36,57.47,57.57,57.64,57.68,57.7,57.72,57.75,57.8,57.88,57.97,58.06,58.13,58.15,58.12,58.03,57.91,57.77,57.64,57.53,57.45,57.41,57.38,57.37,57.37,57.37,57.38,57.39,57.39,57.38,57.35,57.32,57.29,57.28,57.29,57.34,57.41,57.49,57.56,57.6,57.59,57.51,57.39,57.26,57.15,57.09,57.08,57.13,57.21,57.29,57.35,57.36,57.32,57.23,57.1,56.95,56.77,56.58,56.42,56.31,56.28,56.37,56.59,56.9,57.22,57.5,57.65,57.62,57.42,57.12,56.8,56.51,56.34,56.31,56.4,56.58,56.83,57.1
IND.11514,Himachal Pradesh,69.8,69.8,69.8,69.78,69.77,69.77,69.79,69.84,69.89,69.94,69.98,70.01,70.01,69.98,69.94,69.9,69.85,69.8,69.76,69.71,69.66,69.6,69.52,69.43,69.35,69.29,69.26,69.28,69.36,69.48,69.61,69.73,69.81,69.83,69.81,69.75,69.67,69.61,69.57,69.56,69.56,69.56,69.55,69.5,69.41,69.31,69.2,69.11,69.05,69.04,69.06,69.12,69.17,69.21,69.22,69.2,69.14,69.07,68.97,68.86,68.74,68.63,68.55,68.5,68.51,68.58,68.69,68.83,68.96,69.07,69.13,69.14,69.12,69.08,69.05,69.03,69.05,69.09,69.14,69.21,69.29
IND.11515,Jammu and Kashmir,68.27,68.23,68.19,68.15,68.13,68.13,68.17,68.25,68.35,68.45,68.52,68.55,68.52,68.45,68.34,68.23,68.13,68.06,68.01,67.99,67.99,67.99,68.01,68.03,68.05,68.06,68.07,68.07,68.05,68.03,68,67.97,67.95,67.93,67.92,67.91,67.91,67.91,67.9,67.88,67.86,67.83,67.78,67.72,67.65,67.57,67.49,67.43,67.39,67.38,67.4,67.43,67.47,67.5,67.52,67.51,67.49,67.46,67.4,67.34,67.27,67.2,67.15,67.12,67.13,67.19,67.28,67.37,67.45,67.49,67.47,67.4,67.3,67.2,67.13,67.12,67.18,67.29,67.45,67.63,67.83
IND.11516,Jharkhand,65.39,65.47,65.59,65.73,65.85,65.95,65.99,65.98,65.93,65.86,65.81,65.79,65.82,65.88,65.96,66.01,66.04,66.01,65.92,65.8,65.66,65.51,65.37,65.24,65.14,65.07,65.03,65.03,65.08,65.14,65.21,65.24,65.23,65.14,65.01,64.84,64.69,64.58,64.53,64.55,64.62,64.71,64.81,64.88,64.92,64.93,64.92,64.91,64.9,64.91,64.92,64.93,64.92,64.88,64.8,64.7,64.57,64.46,64.37,64.33,64.35,64.4,64.48,64.56,64.62,64.65,64.66,64.65,64.63,64.61,64.59,64.59,64.58,64.58,64.56,64.53,64.48,64.42,64.35,64.28,64.2
IND.11517,Karnataka,63.58,63.63,63.7,63.78,63.85,63.91,63.92,63.9,63.85,63.81,63.77,63.77,63.81,63.87,63.95,64.02,64.06,64.06,64.02,63.95,63.87,63.8,63.74,63.7,63.69,63.68,63.69,63.7,63.71,63.72,63.74,63.76,63.77,63.79,63.81,63.82,63.82,63.8,63.77,63.72,63.66,63.61,63.58,63.58,63.62,63.68,63.74,63.79,63.8,63.78,63.71,63.63,63.55,63.47,63.43,63.41,63.42,63.44,63.46,63.49,63.5,63.51,63.51,63.51,63.52,63.53,63.55,63.56,63.57,63.58,63.57,63.54,63.51,63.48,63.45,63.43,63.42,63.42,63.42,63.42,63.43
