code,name,2020-07_p10,2020-07_median,2020-07_p90,2021-07_p10,2021-07_median,2021-07_p90,2022-07_p10,2022-07_median,2022-07_p90,2023-07_p10,2023-07_median,2023-07_p90,2024-07_p10,2024-07_median,2024-07_p90,2025-07_p10,2025-07_median,2025-07_p90,2026-07_p10,2026-07_median,2026-07_p90,2027-07_p10,2027-07_median,2027-07_p90,2028-07_p10,2028-07_median,2028-07_p90,2029-07_p10,2029-07_median,2029-07_p90,2030-07_p10,2030-07_median,2030-07_p90,2031-07_p10,2031-07_median,2031-07_p90,2032-07_p10,2032-07_median,2032-07_p90,2033-07_p10,2033-07_median,2033-07_p90,2034-07_p10,2034-07_median,2034-07_p90,2035-07_p10,2035-07_median,2035-07_p90,2036-07_p10,2036-07_median,2036-07_p90,2037-07_p10,2037-07_median,2037-07_p90,2038-07_p10,2038-07_median,2038-07_p90,2039-07_p10,2039-07_median,2039-07_p90,2040-07_p10,2040-07_median,2040-07_p90,2041-07_p10,2041-07_median,2041-07_p90,2042-07_p10,2042-07_median,2042-07_p90,2043-07_p10,2043-07_median,2043-07_p90,2044-07_p10,2044-07_median,2044-07_p90,2045-07_p10,2045-07_median,2045-07_p90,2046-07_p10,2046-07_median,2046-07_p90,2047-07_p10,2047-07_median,2047-07_p90,2048-07_p10,2048-07_median,2048-07_p90,2049-07_p10,2049-07_median,2049-07_p90,2050-07_p10,2050-07_median,2050-07_p90,2051-07_p10,2051-07_median,2051-07_p90,2052-07_p10,2052-07_median,2052-07_p90,2053-07_p10,2053-07_median,2053-07_p90,2054-07_p10,2054-07_median,2054-07_p90,2055-07_p10,2055-07_median,2055-07_p90,2056-07_p10,2056-07_median,2056-07_p90,2057-07_p10,2057-07_median,2057-07_p90,2058-07_p10,2058-07_median,2058-07_p90,2059-07_p10,2059-07_median,2059-07_p90,2060-07_p10,2060-07_median,2060-07_p90,2061-07_p10,2061-07_median,2061-07_p90,2062-07_p10,2062-07_median,2062-07_p90,2063-07_p10,2063-07_median,2063-07_p90,2064-07_p10,2064-07_median,2064-07_p90,2065-07_p10,2065-07_median,2065-07_p90,2066-07_p10,2066-07_median,2066-07_p90,2067-07_p10,2067-07_median,2067-07_p90,2068-07_p10,2068-07_median,2068-07_p90,2069-07_p10,2069-07_median,2069-07_p90,2070-07_p10,2070-07_median,2070-07_p90,2071-07_p10,2071-07_median,2071-07_p90,2072-07_p10,2072-07_median,2072-07_p90,2073-07_p10,2073-07_median,2073-07_p90,2074-07_p10,2074-07_median,2074-07_p90,2075-07_p10,2075-07_median,2075-07_p90,2076-07_p10,2076-07_median,2076-07_p90,2077-07_p10,2077-07_median,2077-07_p90,2078-07_p10,2078-07_median,2078-07_p90,2079-07_p10,2079-07_median,2079-07_p90,2080-07_p10,2080-07_median,2080-07_p90,2081-07_p10,2081-07_median,2081-07_p90,2082-07_p10,2082-07_median,2082-07_p90,2083-07_p10,2083-07_median,2083-07_p90,2084-07_p10,2084-07_median,2084-07_p90,2085-07_p10,2085-07_median,2085-07_p90,2086-07_p10,2086-07_median,2086-07_p90,2087-07_p10,2087-07_median,2087-07_p90,2088-07_p10,2088-07_median,2088-07_p90,2089-07_p10,2089-07_median,2089-07_p90,2090-07_p10,2090-07_median,2090-07_p90,2091-07_p10,2091-07_median,2091-07_p90,2092-07_p10,2092-07_median,2092-07_p90,2093-07_p10,2093-07_median,2093-07_p90,2094-07_p10,2094-07_median,2094-07_p90,2095-07_p10,2095-07_median,2095-07_p90,2096-07_p10,2096-07_median,2096-07_p90,2097-07_p10,2097-07_median,2097-07_p90,2098-07_p10,2098-07_median,2098-07_p90,2099-07_p10,2099-07_median,2099-07_p90,2100-07_p10,2100-07_median,2100-07_p90
IND,India,58.61,62.2,65.28,58.68,62.28,65.46,58.77,62.36,65.63,58.88,62.43,65.8,58.98,62.51,65.94,59.08,62.58,66.04,59.15,62.67,66.09,59.19,62.75,66.08,59.21,62.83,66.03,59.23,62.88,65.96,59.24,62.91,65.88,59.25,62.89,65.81,59.27,62.83,65.75,59.3,62.73,65.71,59.34,62.62,65.68,59.38,62.52,65.66,59.41,62.45,65.65,59.45,62.42,65.63,59.47,62.42,65.62,59.47,62.45,65.62,59.45,62.49,65.63,59.39,62.51,65.65,59.3,62.5,65.7,59.17,62.47,65.77,59.03,62.42,65.85,58.9,62.38,65.95,58.8,62.36,66.06,58.75,62.38,66.17,58.76,62.44,66.29,58.83,62.53,66.4,58.92,62.64,66.48,59.02,62.73,66.51,59.12,62.79,66.49,59.19,62.79,66.41,59.23,62.76,66.27,59.25,62.7,66.12,59.26,62.64,65.97,59.25,62.6,65.86,59.24,62.6,65.81,59.22,62.63,65.84,59.2,62.69,65.91,59.18,62.76,66.02,59.15,62.81,66.13,59.12,62.85,66.23,59.09,62.85,66.3,59.07,62.83,66.35,59.05,62.79,66.36,59.06,62.75,66.35,59.08,62.72,66.3,59.14,62.7,66.21,59.21,62.69,66.12,59.28,62.69,66.02,59.34,62.71,65.95,59.37,62.73,65.93,59.36,62.76,65.97,59.32,62.8,66.06,59.24,62.83,66.19,59.17,62.85,66.33,59.11,62.85,66.44,59.08,62.84,66.51,59.09,62.8,66.52,59.12,62.75,66.48,59.15,62.7,66.42,59.15,62.65,66.36,59.12,62.61,66.31,59.02,62.59,66.3,58.89,62.59,66.31,58.75,62.62,66.35,58.63,62.67,66.41,58.58,62.75,66.48,58.61,62.86,66.55,58.72,62.98,66.63,58.87,63.1,66.69,59.03,63.2,66.72,59.16,63.24,66.71,59.24,63.22,66.64,59.23,63.11,66.52,59.16,62.95,66.35,59.04,62.73,66.15,58.88,62.49,65.92,58.71,62.23,65.68
IND.1151,Andaman and Nicobar Islands,80.83,81.71,82.45,80.87,81.71,82.47,80.93,81.72,82.51,80.99,81.73,82.55,81.04,81.76,82.59,81.07,81.78,82.62,81.07,81.81,82.64,81.05,81.83,82.63,81.0,81.86,82.62,80.95,81.88,82.6,80.91,81.89,82.59,80.88,81.9,82.59,80.88,81.89,82.61,80.9,81.87,82.65,80.94,81.85,82.69,80.98,81.84,82.73,81.02,81.83,82.77,81.06,81.84,82.79,81.1,81.86,82.79,81.12,81.89,82.79,81.15,81.93,82.79,81.17,81.96,82.78,81.19,81.99,82.78,81.21,82.01,82.78,81.22,82.03,82.79,81.23,82.04,82.8,81.23,82.05,82.82,81.23,82.06,82.83,81.21,82.07,82.84,81.19,82.09,82.85,81.17,82.11,82.86,81.16,82.12,82.87,81.15,82.14,82.89,81.16,82.16,82.9,81.19,82.18,82.92,81.22,82.2,82.94,81.25,82.21,82.94,81.27,82.2,82.95,81.29,82.19,82.93,81.29,82.17,82.92,81.29,82.14,82.9,81.29,82.12,82.88,81.28,82.1,82.88,81.28,82.1,82.89,81.29,82.12,82.93,81.3,82.15,82.97,81.32,82.19,83.02,81.34,82.21,83.06,81.35,82.23,83.07,81.37,82.23,83.04,81.38,82.22,82.99,81.39,82.19,82.93,81.39,82.17,82.87,81.4,82.15,82.82,81.4,82.14,82.79,81.39,82.15,82.8,81.39,82.17,82.82,81.38,82.19,82.85,81.38,82.21,82.88,81.38,82.23,82.91,81.38,82.24,82.93,81.38,82.24,82.93,81.38,82.25,82.94,81.39,82.24,82.93,81.4,82.24,82.93,81.41,82.23,82.93,81.43,82.22,82.94,81.44,82.22,82.94,81.45,82.22,82.95,81.46,82.22,82.96,81.46,82.24,82.96,81.45,82.27,82.97,81.44,82.3,82.98,81.42,82.32,82.98,81.41,82.34,82.99,81.39,82.34,83.0,81.38,82.32,83.01,81.37,82.29,83.02,81.35,82.24,83.04,81.35,82.19,83.05,81.34,82.14,83.06
IND.11510,Delhi,52.6,58.48,63.19,52.62,58.47,63.47,52.67,58.46,63.72,52.77,58.49,63.94,52.91,58.57,64.11,53.09,58.71,64.22,53.31,58.95,64.24,53.57,59.26,64.18,53.83,59.59,64.06,54.06,59.89,63.9,54.24,60.1,63.72,54.32,60.17,63.54,54.3,60.06,63.38,54.22,59.83,63.26,54.1,59.54,63.17,54.0,59.27,63.13,53.97,59.09,63.14,54.03,59.05,63.21,54.17,59.13,63.32,54.31,59.29,63.47,54.41,59.44,63.64,54.4,59.54,63.8,54.23,59.52,63.95,53.89,59.38,64.07,53.48,59.18,64.16,53.07,58.98,64.24,52.76,58.85,64.3,52.63,58.85,64.34,52.72,59.02,64.36,52.97,59.31,64.35,53.28,59.62,64.29,53.58,59.91,64.17,53.76,60.1,63.96,53.76,60.12,63.67,53.62,60.0,63.33,53.41,59.82,63.01,53.22,59.62,62.8,53.12,59.47,62.75,53.21,59.43,62.94,53.48,59.52,63.35,53.84,59.68,63.88,54.2,59.86,64.44,54.48,60.03,64.92,54.59,60.12,65.22,54.49,60.13,65.29,54.25,60.05,65.17,53.96,59.93,64.91,53.71,59.77,64.58,53.58,59.62,64.23,53.64,59.48,63.92,53.86,59.38,63.67,54.17,59.33,63.5,54.49,59.35,63.43,54.76,59.45,63.48,54.91,59.64,63.66,54.93,59.9,63.95,54.87,60.18,64.28,54.75,60.43,64.58,54.64,60.59,64.78,54.56,60.63,64.82,54.55,60.52,64.69,54.55,60.31,64.43,54.54,60.07,64.14,54.47,59.84,63.9,54.3,59.7,63.77,54.02,59.68,63.82,53.66,59.78,64.03,53.3,59.95,64.32,53.01,60.17,64.64,52.86,60.39,64.93,52.9,60.6,65.13,53.14,60.76,65.23,53.49,60.87,65.25,53.89,60.93,65.2,54.25,60.91,65.09,54.52,60.8,64.95,54.64,60.62,64.79,54.66,60.37,64.62,54.58,60.07,64.42,54.45,59.73,64.23,54.3,59.38,64.02
IND.11511,Goa,74.86,76.62,78.3,74.99,76.7,78.43,75.16,76.81,78.59,75.35,76.93,78.76,75.5,77.04,78.9,75.59,77.13,79.0,75.57,77.19,79.04,75.45,77.2,79.0,75.27,77.19,78.91,75.08,77.16,78.81,74.93,77.12,78.7,74.87,77.1,78.62,74.94,77.09,78.59,75.09,77.1,78.59,75.29,77.12,78.62,75.49,77.13,78.66,75.64,77.13,78.69,75.71,77.12,78.71,75.71,77.09,78.72,75.65,77.05,78.71,75.57,77.01,78.7,75.49,76.98,78.68,75.44,76.97,78.66,75.43,76.97,78.65,75.45,76.99,78.65,75.47,77.0,78.67,75.47,77.03,78.71,75.44,77.04,78.78,75.37,77.05,78.87,75.27,77.06,78.98,75.17,77.05,79.1,75.09,77.05,79.21,75.05,77.03,79.3,75.07,77.02,79.35,75.13,77.01,79.38,75.21,76.99,79.38,75.29,76.98,79.35,75.33,76.97,79.31,75.31,76.97,79.25,75.24,76.97,79.19,75.13,76.97,79.11,75.0,76.98,79.03,74.89,76.99,78.95,74.8,77.0,78.87,74.76,77.01,78.8,74.76,77.02,78.73,74.79,77.02,78.68,74.83,77.0,78.64,74.89,76.97,78.63,74.93,76.93,78.64,74.98,76.87,78.66,75.02,76.81,78.7,75.06,76.77,78.73,75.09,76.75,78.76,75.12,76.77,78.77,75.16,76.82,78.77,75.19,76.9,78.76,75.23,76.98,78.75,75.28,77.07,78.75,75.33,77.14,78.77,75.4,77.18,78.8,75.44,77.2,78.85,75.46,77.19,78.88,75.43,77.17,78.9,75.33,77.12,78.89,75.16,77.06,78.83,74.94,76.99,78.75,74.71,76.92,78.67,74.51,76.88,78.61,74.39,76.87,78.6,74.39,76.91,78.66,74.5,76.99,78.77,74.66,77.07,78.9,74.84,77.15,79.01,74.98,77.18,79.06,75.04,77.14,79.03,75.01,77.02,78.89,74.89,76.84,78.66,74.7,76.62,78.36,74.48,76.36,78.02,74.23,76.08,77.66
IND.11512,Gujarat,53.56,56.29,58.65,53.57,56.39,58.79,53.59,56.51,58.95,53.63,56.64,59.12,53.69,56.76,59.27,53.77,56.88,59.42,53.86,56.98,59.53,53.97,57.05,59.62,54.08,57.1,59.66,54.18,57.1,59.66,54.26,57.07,59.61,54.3,56.99,59.52,54.3,56.86,59.37,54.26,56.71,59.2,54.22,56.56,59.05,54.17,56.44,58.93,54.14,56.36,58.9,54.14,56.35,58.96,54.15,56.4,59.12,54.17,56.49,59.32,54.17,56.59,59.54,54.13,56.67,59.74,54.03,56.72,59.88,53.87,56.72,59.96,53.69,56.71,60.0,53.54,56.69,60.02,53.44,56.7,60.05,53.44,56.75,60.11,53.56,56.86,60.23,53.76,57.0,60.36,54.0,57.16,60.49,54.23,57.29,60.59,54.41,57.39,60.63,54.49,57.42,60.57,54.5,57.4,60.45,54.45,57.34,60.29,54.37,57.26,60.13,54.3,57.19,60.0,54.25,57.14,59.92,54.25,57.12,59.92,54.28,57.12,59.97,54.33,57.15,60.05,54.39,57.19,60.15,54.47,57.25,60.25,54.55,57.32,60.34,54.62,57.38,60.39,54.68,57.44,60.41,54.74,57.48,60.38,54.78,57.5,60.28,54.81,57.49,60.13,54.81,57.47,59.94,54.8,57.43,59.76,54.76,57.4,59.63,54.69,57.39,59.61,54.6,57.4,59.72,54.49,57.45,59.96,54.39,57.51,60.26,54.32,57.56,60.56,54.3,57.6,60.79,54.36,57.6,60.88,54.49,57.56,60.83,54.66,57.49,60.67,54.84,57.43,60.48,54.99,57.37,60.32,55.06,57.35,60.27,55.04,57.38,60.35,54.94,57.46,60.56,54.82,57.56,60.83,54.72,57.7,61.11,54.68,57.85,61.35,54.74,58.02,61.49,54.89,58.18,61.53,55.09,58.31,61.49,55.29,58.41,61.42,55.45,58.46,61.33,55.51,58.43,61.25,55.45,58.33,61.21,55.31,58.17,61.19,55.09,57.96,61.19,54.82,57.72,61.2,54.54,57.47,61.21
IND.11513,Haryana,51.78,57.35,62.09,51.74,57.37,62.34,51.75,57.43,62.54,51.8,57.52,62.7,51.88,57.65,62.79,51.98,57.83,62.82,52.11,58.05,62.77,52.25,58.3,62.65,52.4,58.55,62.5,52.53,58.76,62.34,52.65,58.89,62.21,52.73,58.92,62.13,52.77,58.82,62.13,52.79,58.63,62.19,52.81,58.4,62.28,52.84,58.19,62.37,52.91,58.04,62.44,53.04,58.01,62.47,53.19,58.08,62.46,53.33,58.2,62.44,53.41,58.33,62.42,53.4,58.41,62.44,53.24,58.42,62.52,52.94,58.34,62.65,52.58,58.21,62.82,52.23,58.07,62.99,51.96,57.97,63.15,51.85,57.95,63.28,51.92,58.03,63.35,52.14,58.18,63.36,52.43,58.35,63.3,52.72,58.52,63.17,52.95,58.63,62.97,53.07,58.65,62.7,53.08,58.61,62.41,53.02,58.53,62.14,52.93,58.45,61.95,52.85,58.41,61.9,52.82,58.44,62.05,52.85,58.55,62.38,52.92,58.69,62.81,53.01,58.84,63.26,53.09,58.96,63.65,53.15,59.0,63.9,53.18,58.96,63.96,53.17,58.85,63.87,53.15,58.7,63.67,53.13,58.54,63.4,53.12,58.39,63.11,53.13,58.28,62.85,53.17,58.23,62.63,53.22,58.23,62.47,53.29,58.3,62.4,53.37,58.44,62.42,53.46,58.66,62.55,53.55,58.93,62.77,53.63,59.21,63.02,53.7,59.45,63.26,53.75,59.59,63.42,53.77,59.6,63.45,53.75,59.45,63.34,53.7,59.21,63.15,53.59,58.93,62.93,53.42,58.69,62.76,53.19,58.54,62.7,52.9,58.54,62.8,52.6,58.67,63.03,52.33,58.88,63.34,52.15,59.14,63.67,52.12,59.39,63.96,52.29,59.62,64.16,52.63,59.78,64.26,53.06,59.89,64.27,53.49,59.94,64.2,53.83,59.92,64.08,53.99,59.84,63.91,53.95,59.69,63.7,53.74,59.5,63.47,53.39,59.27,63.22,52.96,59.01,62.96,52.48,58.74,62.69
IND.11514,Himachal Pradesh,65.99,69.83,72.9,66.02,69.86,72.96,65.96,69.88,72.97,65.87,69.88,72.94,65.77,69.89,72.88,65.73,69.92,72.82,65.78,69.97,72.75,65.93,70.06,72.69,66.13,70.15,72.64,66.33,70.23,72.6,66.49,70.27,72.58,66.55,70.25,72.58,66.49,70.16,72.6,66.35,70.01,72.64,66.17,69.84,72.7,66.02,69.68,72.76,65.95,69.56,72.83,65.99,69.49,72.9,66.14,69.49,72.97,66.31,69.53,73.03,66.47,69.59,73.06,66.53,69.66,73.07,66.44,69.72,73.05,66.2,69.76,73.0,65.87,69.79,72.94,65.51,69.8,72.88,65.2,69.81,72.84,64.98,69.81,72.83,64.91,69.81,72.87,64.95,69.81,72.93,65.08,69.81,72.99,65.24,69.81,73.04,65.39,69.8,73.06,65.51,69.79,73.03,65.59,69.77,72.96,65.64,69.75,72.87,65.65,69.73,72.8,65.64,69.71,72.75,65.62,69.7,72.76,65.58,69.69,72.82,65.55,69.67,72.91,65.51,69.65,73.0,65.49,69.62,73.06,65.49,69.57,73.07,65.5,69.5,73.02,65.53,69.43,72.92,65.54,69.36,72.81,65.54,69.32,72.72,65.5,69.31,72.66,65.42,69.33,72.66,65.3,69.39,72.71,65.18,69.47,72.78,65.05,69.55,72.86,64.95,69.62,72.9,64.89,69.66,72.89,64.88,69.68,72.83,64.9,69.67,72.75,64.95,69.64,72.66,65.02,69.6,72.6,65.1,69.55,72.6,65.19,69.51,72.65,65.26,69.46,72.75,65.31,69.43,72.88,65.32,69.4,73.03,65.27,69.39,73.17,65.17,69.4,73.3,65.04,69.42,73.41,64.91,69.46,73.5,64.83,69.52,73.57,64.83,69.58,73.62,64.96,69.65,73.65,65.17,69.73,73.66,65.43,69.81,73.66,65.66,69.88,73.63,65.8,69.93,73.58,65.79,69.96,73.51,65.6,69.97,73.42,65.27,69.96,73.32,64.83,69.94,73.2,64.32,69.91,73.08,63.78,69.87,72.95
IND.11515,Jammu and Kashmir,64.37,68.52,71.69,64.39,68.49,71.62,64.36,68.42,71.42,64.3,68.33,71.16,64.25,68.26,70.9,64.22,68.22,70.69,64.24,68.24,70.6,64.32,68.33,70.64,64.44,68.44,70.77,64.57,68.56,70.94,64.68,68.65,71.1,64.75,68.67,71.2,64.76,68.61,71.21,64.72,68.49,71.16,64.66,68.34,71.09,64.6,68.2,71.03,64.55,68.08,71.03,64.54,68.03,71.11,64.55,68.03,71.25,64.58,68.06,71.43,64.59,68.11,71.6,64.58,68.15,71.73,64.53,68.16,71.76,64.43,68.14,71.7,64.31,68.1,71.58,64.19,68.06,71.44,64.11,68.02,71.3,64.08,68.02,71.21,64.12,68.05,71.17,64.2,68.1,71.19,64.3,68.16,71.22,64.39,68.21,71.25,64.44,68.24,71.26,64.43,68.24,71.23,64.35,68.21,71.16,64.23,68.15,71.07,64.09,68.08,70.97,63.94,68.01,70.88,63.81,67.94,70.82,63.69,67.88,70.8,63.59,67.82,70.79,63.51,67.76,70.8,63.43,67.7,70.81,63.36,67.63,70.82,63.3,67.55,70.81,63.22,67.47,70.79,63.1,67.4,70.77,62.94,67.33,70.75,62.71,67.28,70.74,62.41,67.26,70.73,62.07,67.25,70.74,61.75,67.27,70.76,61.52,67.3,70.78,61.43,67.35,70.8,61.53,67.41,70.82,61.82,67.47,70.84,62.2,67.54,70.85,62.61,67.59,70.86,62.96,67.62,70.87,63.18,67.61,70.86,63.23,67.57,70.85,63.14,67.51,70.85,62.97,67.44,70.85,62.74,67.37,70.87,62.52,67.31,70.91,62.34,67.27,70.99,62.2,67.26,71.09,62.12,67.27,71.21,62.1,67.3,71.32,62.14,67.35,71.41,62.24,67.4,71.48,62.38,67.46,71.52,62.53,67.52,71.52,62.67,67.57,71.49,62.75,67.61,71.43,62.74,67.62,71.33,62.64,67.6,71.2,62.46,67.57,71.04,62.22,67.51,70.86,61.94,67.45,70.67,61.64,67.38,70.47
IND.11516,Jharkhand,61.87,65.78,69.52,61.9,65.85,69.76,61.94,65.89,70.01,62.0,65.9,70.23,62.06,65.9,70.4,62.14,65.89,70.48,62.21,65.87,70.46,62.29,65.85,70.33,62.37,65.83,70.12,62.42,65.8,69.89,62.46,65.77,69.68,62.46,65.74,69.52,62.42,65.71,69.45,62.37,65.68,69.45,62.3,65.66,69.48,62.25,65.65,69.52,62.21,65.66,69.54,62.21,65.69,69.52,62.23,65.73,69.46,62.25,65.76,69.39,62.25,65.79,69.34,62.2,65.78,69.34,62.08,65.74,69.42,61.9,65.65,69.58,61.71,65.56,69.79,61.54,65.49,70.01,61.44,65.47,70.22,61.45,65.52,70.39,61.61,65.66,70.48,61.86,65.85,70.5,62.15,66.06,70.45,62.44,66.23,70.34,62.67,66.32,70.17,62.79,66.31,69.95,62.82,66.21,69.7,62.77,66.06,69.46,62.68,65.91,69.27,62.56,65.8,69.17,62.43,65.78,69.19,62.32,65.84,69.32,62.23,65.95,69.52,62.14,66.08,69.71,62.07,66.2,69.86,62.01,66.27,69.91,61.96,66.27,69.83,61.94,66.23,69.66,61.95,66.15,69.48,62.0,66.07,69.32,62.1,66.0,69.26,62.25,65.97,69.33,62.44,65.97,69.5,62.63,65.99,69.74,62.79,66.01,69.98,62.9,66.02,70.17,62.93,66.01,70.26,62.86,65.98,70.26,62.73,65.94,70.19,62.55,65.88,70.1,62.35,65.82,70.01,62.14,65.76,69.97,61.94,65.7,69.98,61.75,65.65,70.03,61.6,65.6,70.07,61.49,65.56,70.09,61.42,65.53,70.04,61.42,65.5,69.91,61.45,65.49,69.72,61.52,65.48,69.52,61.6,65.49,69.36,61.69,65.5,69.27,61.76,65.53,69.3,61.82,65.57,69.44,61.86,65.61,69.62,61.88,65.64,69.8,61.88,65.65,69.9,61.86,65.62,69.89,61.82,65.57,69.72,61.77,65.48,69.44,61.7,65.38,69.07,61.63,65.26,68.63,61.56,65.13,68.16
IND.11517,Karnataka,60.74,63.65,65.94,60.84,63.75,66.14,60.96,63.85,66.36,61.08,63.94,66.57,61.18,64.02,66.76,61.26,64.09,66.91,61.29,64.16,67.0,61.28,64.23,67.03,61.25,64.28,67.01,61.24,64.32,66.96,61.26,64.35,66.91,61.34,64.37,66.88,61.5,64.37,66.88,61.7,64.35,66.89,61.9,64.32,66.91,62.05,64.28,66.91,62.12,64.23,66.88,62.05,64.18,66.81,61.89,64.12,66.7,61.67,64.07,66.57,61.45,64.03,66.44,61.3,64.0,66.33,61.24,63.98,66.27,61.31,63.98,66.25,61.43,63.99,66.27,61.57,64.0,66.33,61.67,64.0,66.4,61.69,64.0,66.49,61.58,63.97,66.58,61.4,63.94,66.68,61.2,63.9,66.8,61.02,63.87,66.93,60.91,63.84,67.08,60.92,63.83,67.26,61.03,63.83,67.44,61.2,63.84,67.6,61.37,63.85,67.72,61.49,63.87,67.75,61.53,63.9,67.69,61.48,63.92,67.54,61.37,63.94,67.33,61.25,63.97,67.11,61.16,63.99,66.91,61.13,64.02,66.79,61.19,64.06,66.76,61.31,64.09,66.8,61.45,64.11,66.87,61.58,64.11,66.95,61.66,64.1,67.0,61.66,64.06,67.0,61.6,64.0,66.95,61.51,63.95,66.88,61.4,63.9,66.79,61.31,63.87,66.71,61.26,63.88,66.64,61.26,63.92,66.61,61.29,63.97,66.61,61.35,64.03,66.66,61.42,64.08,66.74,61.51,64.1,66.86,61.58,64.08,67.02,61.65,64.05,67.19,61.69,64.0,67.34,61.69,63.94,67.43,61.64,63.9,67.44,61.54,63.87,67.34,61.4,63.87,67.18,61.26,63.89,66.99,61.13,63.93,66.83,61.05,64.0,66.74,61.03,64.1,66.78,61.07,64.21,66.93,61.15,64.31,67.11,61.24,64.39,67.29,61.32,64.4,67.39,61.35,64.35,67.36,61.32,64.2,67.16,61.25,63.99,66.84,61.14,63.72,66.41,61.02,63.42,65.92,60.88,63.1,65.39
