code,name,2020-07,2021-07,2022-07,2023-07,2024-07,2025-07,2026-07,2027-07,2028-07,2029-07,2030-07,2031-07,2032-07,2033-07,2034-07,2035-07,2036-07,2037-07,2038-07,2039-07,2040-07,2041-07,2042-07,2043-07,2044-07,2045-07,2046-07,2047-07,2048-07,2049-07,2050-07,2051-07,2052-07,2053-07,2054-07,2055-07,2056-07,2057-07,2058-07,2059-07,2060-07,2061-07,2062-07,2063-07,2064-07,2065-07,2066-07,2067-07,2068-07,2069-07,2070-07,2071-07,2072-07,2073-07,2074-07,2075-07,2076-07,2077-07,2078-07,2079-07,2080-07,2081-07,2082-07,2083-07,2084-07,2085-07,2086-07,2087-07,2088-07,2089-07,2090-07,2091-07,2092-07,2093-07,2094-07,2095-07,2096-07,2097-07,2098-07,2099-07,2100-07
IND,India,65.28,65.46,65.63,65.8,65.94,66.04,66.09,66.08,66.03,65.96,65.88,65.81,65.75,65.71,65.68,65.66,65.65,65.63,65.62,65.62,65.63,65.65,65.7,65.77,65.85,65.95,66.06,66.17,66.29,66.4,66.48,66.51,66.49,66.41,66.27,66.12,65.97,65.86,65.81,65.84,65.91,66.02,66.13,66.23,66.3,66.35,66.36,66.35,66.3,66.21,66.12,66.02,65.95,65.93,65.97,66.06,66.19,66.33,66.44,66.51,66.52,66.48,66.42,66.36,66.31,66.3,66.31,66.35,66.41,66.48,66.55,66.63,66.69,66.72,66.71,66.64,66.52,66.35,66.15,65.92,65.68
IND.1151,Andaman and Nicobar Islands,82.45,82.47,82.51,82.55,82.59,82.62,82.64,82.63,82.62,82.6,82.59,82.59,82.61,82.65,82.69,82.73,82.77,82.79,82.79,82.79,82.79,82.78,82.78,82.78,82.79,82.8,82.82,82.83,82.84,82.85,82.86,82.87,82.89,82.9,82.92,82.94,82.94,82.95,82.93,82.92,82.9,82.88,82.88,82.89,82.93,82.97,83.02,83.06,83.07,83.04,82.99,82.93,82.87,82.82,82.79,82.8,82.82,82.85,82.88,82.91,82.93,82.93,82.94,82.93,82.93,82.93,82.94,82.94,82.95,82.96,82.96,82.97,82.98,82.98,82.99,83,83.01,83.02,83.04,83.05,83.06
IND.11510,Delhi,63.19,63.47,63.72,63.94,64.11,64.22,64.24,64.18,64.06,63.9,63.72,63.54,63.38,63.26,63.17,63.13,63.14,63.21,63.32,63.47,63.64,63.8,63.95,64.07,64.16,64.24,64.3,64.34,64.36,64.35,64.29,64.17,63.96,63.67,63.33,63.01,62.8,62.75,62.94,63.35,63.88,64.44,64.92,65.22,65.29,65.17,64.91,64.58,64.23,63.92,63.67,63.5,63.43,63.48,63.66,63.95,64.28,64.58,64.78,64.82,64.69,64.43,64.14,63.9,63.77,63.82,64.03,64.32,64.64,64.93,65.13,65.23,65.25,65.2,65.09,64.95,64.79,64.62,64.42,64.23,64.02
IND.11511,Goa,78.3,78.43,78.59,78.76,78.9,79,79.04,79,78.91,78.81,78.7,78.62,78.59,78.59,78.62,78.66,78.69,78.71,78.72,78.71,78.7,78.68,78.66,78.65,78.65,78.67,78.71,78.78,78.87,78.98,79.1,79.21,79.3,79.35,79.38,79.38,79.35,79.31,79.25,79.19,79.11,79.03,78.95,78.87,78.8,78.73,78.68,78.64,78.63,78.64,78.66,78.7,78.73,78.76,78.77,78.77,78.76,78.75,78.75,78.77,78.8,78.85,78.88,78.9,78.89,78.83,78.75,78.67,78.61,78.6,78.66,78.77,78.9,79.01,79.06,79.03,78.89,78.66,78.36,78.02,77.66
IND.11512,Gujarat,58.65,58.79,58.95,59.12,59.27,59.42,59.53,59.62,59.66,59.66,59.61,59.52,59.37,59.2,59.05,58.93,58.9,58.96,59.12,59.32,59.54,59.74,59.88,59.96,60,60.02,60.05,60.11,60.23,60.36,60.49,60.59,60.63,60.57,60.45,60.29,60.13,60,59.92,59.92,59.97,60.05,60.15,60.25,60.34,60.39,60.41,60.38,60.28,60.13,59.94,59.76,59.63,59.61,59.72,59.96,60.26,60.56,60.79,60.88,60.83,60.67,60.48,60.32,60.27,60.35,60.56,60.83,61.11,61.35,61.49,61.53,61.49,61.42,61.33,61.25,61.21,61.19,61.19,61.2,61.21
IND.11513,Haryana,62.09,62.34,62.54,62.7,62.79,62.82,62.77,62.65,62.5,62.34,62.21,62.13,62.13,62.19,62.28,62.37,62.44,62.47,62.46,62.44,62.42,62.44,62.52,62.65,62.82,62.99,63.15,63.28,63.35,63.36,63.3,63.17,62.97,62.7,62.41,62.14,61.95,61.9,62.05,62.38,62.81,63.26,63.65,63.9,63.96,63.87,63.67,63.4,63.11,62.85,62.63,62.47,62.4,62.42,62.55,62.77,63.02,63.26,63.42,63.45,63.34,63.15,62.93,62.76,62.7,62.8,63.03,63.34,63.67,63.96,64.16,64.26,64.27,64.2,64.08,63.91,63.7,63.47,63.22,62.96,62.69
IND.11514,Himachal Pradesh,72.9,72.96,72.97,72.94,72.88,72.82,72.75,72.69,72.64,72.6,72.58,72.58,72.6,72.64,72.7,72.76,72.83,72.9,72.97,73.03,73.06,73.07,73.05,73,72.94,72.88,72.84,72.83,72.87,72.93,72.99,73.04,73.06,73.03,72.96,72.87,72.8,72.75,72.76,72.82,72.91,73,73.06,73.07,73.02,72.92,72.81,72.72,72.66,72.66,72.71,72.78,72.86,72.9,72.89,72.83,72.75,72.66,72.6,72.6,72.65,72.75,72.88,73.03,73.17,73.3,73.41,73.5,73.57,73.62,73.65,73.66,73.66,73.63,73.58,73.51,73.42,73.32,73.2,73.08,72.95
IND.11515,Jammu and Kashmir,71.69,71.62,71.42,71.16,70.9,70.69,70.6,70.64,70.77,70.94,71.1,71.2,71.21,71.16,71.09,71.03,71.03,71.11,71.25,71.43,71.6,71.73,71.76,71.7,71.58,71.44,71.3,71.21,71.17,71.19,71.22,71.25,71.26,71.23,71.16,71.07,70.97,70.88,70.82,70.8,70.79,70.8,70.81,70.82,70.81,70.79,70.77,70.75,70.74,70.73,70.74,70.76,70.78,70.8,70.82,70.84,70.85,70.86,70.87,70.86,70.85,70.85,70.85,70.87,70.91,70.99,71.09,71.21,71.32,71.41,71.48,71.52,71.52,71.49,71.43,71.33,71.2,71.04,70.86,70.67,70.47
IND.11516,Jharkhand,69.52,69.76,70.01,70.23,70.4,70.48,70.46,70.33,70.12,69.89,69.68,69.52,69.45,69.45,69.48,69.52,69.54,69.52,69.46,69.39,69.34,69.34,69.42,69.58,69.79,70.01,70.22,70.39,70.48,70.5,70.45,70.34,70.17,69.95,69.7,69.46,69.27,69.17,69.19,69.32,69.52,69.71,69.86,69.91,69.83,69.66,69.48,69.32,69.26,69.33,69.5,69.74,69.98,70.17,70.26,70.26,70.19,70.1,70.01,69.97,69.98,70.03,70.07,70.09,70.04,69.91,69.72,69.52,69.36,69.27,69.3,69.44,69.62,69.8,69.9,69.89,69.72,69.44,69.07,68.63,68.16
IND.11517,Karnataka,65.94,66.14,66.36,66.57,66.76,66.91,67,67.03,67.01,66.96,66.91,66.88,66.88,66.89,66.91,66.91,66.88,66.81,66.7,66.57,66.44,66.33,66.27,66.25,66.27,66.33,66.4,66.49,66.58,66.68,66.8,66.93,67.08,67.26,67.44,67.6,67.72,67.75,67.69,67.54,67.33,67.11,66.91,66.79,66.76,66.8,66.87,66.95,67,67,66.95,66.88,66.79,66.71,66.64,66.61,66.61,66.66,66.74,66.86,67.02,67.19,67.34,67.43,67.44,67.34,67.18,66.99,66.83,66.74,66.78,66.93,67.11,67.29,67.39,67.36,67.16,66.84,66.41,65.92,65.39
IND.11518,Kerala,80.29,80.34,80.41,80.48,80.55,80.6,80.62,80.61,80.57,80.53,80.48,80.44,80.42,80.4,80.4,80.39,80.37,80.34,80.31,80.27,80.24,80.23,80.24,80.26,80.31,80.35,80.39,80.42,80.44,80.44,80.44,80.44,80.45,80.47,80.51,80.54,80.57,80.57,80.55,80.5,80.43,80.36,80.3,80.27,80.27,80.3,80.35,80.41,80.48,80.56,80.62,80.67,80.69,80.69,80.64,80.56,80.47,80.38,80.32,80.3,80.33,80.38,80.45,80.49,80.5,80.46,80.37,80.28,80.19,80.15,80.16,80.23,80.33,80.43,80.51,80.54,80.51,80.44,80.32,80.18,80.02
IND.11519,Lakshadweep,80.54,80.59,80.62,80.65,80.68,80.69,80.7,80.7,80.7,80.69,80.68,80.66,80.65,80.64,80.62,80.61,80.61,80.6,80.6,80.61,80.62,80.64,80.67,80.7,80.74,80.78,80.82,80.85,80.88,80.9,80.92,80.94,80.95,80.96,80.97,80.98,80.98,80.98,80.98,80.98,80.98,80.97,80.97,80.97,80.97,80.98,80.98,80.98,80.97,80.95,80.93,80.91,80.9,80.9,80.93,80.98,81.04,81.1,81.15,81.18,81.17,81.15,81.12,81.08,81.05,81.03,81.03,81.04,81.06,81.08,81.1,81.13,81.15,81.16,81.16,81.15,81.13,81.1,81.06,81.01,80.96
IND.1152,Andhra Pradesh,68.24,68.41,68.57,68.7,68.81,68.89,68.93,68.93,68.92,68.89,68.87,68.88,68.91,68.96,69.01,69.04,69.03,68.98,68.89,68.78,68.66,68.57,68.52,68.51,68.54,68.59,68.65,68.7,68.75,68.79,68.83,68.88,68.96,69.06,69.17,69.28,69.38,69.43,69.42,69.36,69.27,69.18,69.1,69.08,69.12,69.19,69.27,69.33,69.35,69.3,69.21,69.08,68.97,68.88,68.86,68.9,68.98,69.11,69.24,69.38,69.51,69.61,69.68,69.7,69.66,69.56,69.42,69.27,69.15,69.09,69.12,69.22,69.37,69.51,69.61,69.62,69.53,69.35,69.11,68.83,68.52
IND.11520,Madhya Pradesh,59.87,60.12,60.41,60.72,61.01,61.24,61.39,61.45,61.42,61.34,61.22,61.08,60.94,60.8,60.66,60.53,60.41,60.3,60.21,60.15,60.15,60.22,60.36,60.59,60.88,61.19,61.52,61.83,62.11,62.33,62.47,62.5,62.42,62.2,61.88,61.5,61.12,60.79,60.57,60.46,60.46,60.57,60.77,61.05,61.39,61.74,62.04,62.24,62.27,62.1,61.78,61.41,61.08,60.88,60.91,61.15,61.5,61.87,62.17,62.29,62.21,61.98,61.7,61.44,61.3,61.34,61.53,61.8,62.09,62.33,62.46,62.48,62.42,62.29,62.13,61.97,61.82,61.67,61.54,61.41,61.28
