Category,SSP1-2.6,SSP1-2.6 10-90th Percentile Range (low),SSP1-2.6 10-90th Percentile Range (high),SSP2-4.5,SSP2-4.5 10-90th Percentile Range (low),SSP2-4.5 10-90th Percentile Range (high),SSP3-7.0,SSP3-7.0 10-90th Percentile Range (low),SSP3-7.0 10-90th Percentile Range (high),SSP5-8.5,SSP5-8.5 10-90th Percentile Range (low),SSP5-8.5 10-90th Percentile Range (high)
2020,78.71119107055370,77.81679317401390,79.79401856499820,78.29985929605760,77.39683168403810,79.59384234091060,78.33141694786120,77.53706230221270,79.33392459418480,78.32140207162510,77.3370663524514,79.41684090805150
2021,78.57334596032640,77.72596385010330,79.5763200771637,78.46528232266270,77.70709526382710,79.52995322528650,78.31069180190380,77.37002757179250,79.39483435821230,78.37094104770030,77.37949993102300,79.30502046573270
2022,78.45970083349670,77.48030851099740,79.46402460267290,78.53968349266100,77.70862622351190,79.55725000365510,78.35125493419010,77.50380405744910,79.39002486835090,78.2782707702996,77.59292216756510,79.3238809988732
2023,78.55721980093840,77.68503501323580,79.71013708721890,78.5870650058045,77.63966533809280,79.71858824773700,78.33296229369200,77.37441033030750,79.54602521910580,78.50716733675830,77.57591210828390,79.79341077897600
2024,78.82432784901700,77.91549860684310,79.97084897168070,78.68181183300660,77.78551182088460,79.90812399257900,78.24621786923920,77.21938852071460,79.49706043994320,78.53821476806310,77.60293978010450,79.7488793374306
2025,78.665929861864,77.70769961014730,79.96732303747220,78.53838592473340,77.57441433148170,79.81333328527260,78.35617385671450,77.25347828582270,79.77925403295940,78.5850802005263,77.70118608677080,79.90637925050040
2026,78.63473031600660,77.74437540361200,79.79776454253260,78.61848509048910,77.5150566062697,80.0401032930739,78.44214623849330,77.65372160666070,80.04729946216080,78.69773703267710,77.72903202323560,79.85164949246420
2027,78.63453227255900,77.76271457804640,79.84690451854560,78.6021926185423,77.59928436835710,80.14851544889400,78.60136962309610,77.69301217478140,79.95920275459150,78.80934757278840,77.92576811859120,80.02403484559360
2028,79.01403637086300,77.91528107144410,80.18650814785570,78.53973479234950,77.7888908190422,79.79077375347080,78.79677988060030,77.63838211090740,80.8111215813442,78.7771142188148,77.62533683543900,80.28807990204270
2029,78.72979813021640,77.95732761588230,79.86318773561080,78.90873669692810,77.94535923081720,80.41225592129160,78.52284106234070,77.59748152027390,80.28284459657860,78.94423058627900,77.79255904952800,80.13875781752060
2030,78.76121858745920,77.85082520910910,80.0232286367143,78.68182690708860,77.67351590727420,80.08444242883730,78.5659145796373,77.56534187293480,79.97328984263050,78.87554705496160,77.80041476894590,80.22027268754810
2031,78.94208292124220,77.71822473143020,80.30644504592170,78.74560916135610,77.78386137158440,80.1736759315684,78.61733123577890,77.56511867785700,80.30805502605860,79.08124423835030,77.85451858989470,80.6013256520447
2032,78.9586905083342,77.77974281997310,80.3210637951633,78.96155565242460,77.88786462209000,80.44424297720650,78.89636737312040,77.80178058463220,80.55874576168850,78.9632620688333,77.76313084957340,80.41037724664000
2033,78.90440529078870,78.00530331525960,80.27301240688960,78.81228471111580,77.8083062123831,80.05208496605350,78.73066187357900,77.76201934163790,80.24517816476370,78.95999257283250,77.76591224952870,80.57200652015040
2034,79.12340201201660,77.85476219077960,80.5674296485091,78.89482313749330,77.93907722547290,80.5942589229408,78.79677988060030,77.63302791318030,80.62745776003940,78.9772402317644,77.86116664829570,80.75616442895090
2035,78.95642152917270,78.09700004380590,80.76026636025220,78.9273556068575,78.01123509035450,80.54054477960860,78.74648499951920,77.47497117355310,80.97219859506240,79.36906865811180,78.02100198302880,81.07374393713060
2036,78.9939248085645,78.04605991326440,80.52488810917090,78.89623054708880,77.93617592590230,80.26215735200900,78.84404519332690,77.65865639230530,81.01933763829760,79.23455074985210,77.89690202076780,81.04758540206690
2037,79.36514763475260,78.06940766661140,80.87126646419150,79.26925527499590,78.19110400018590,80.74845251562470,79.12389337797440,77.97135822918540,81.1859867314873,79.48939660521960,78.06108495919400,81.37900344566360
2038,79.256675846852,78.16385947881530,80.90794545872370,79.35150384290730,78.08876616044060,80.80218091292460,79.14452239144300,78.03518312789030,81.56332550961150,79.7376922255803,78.08683812617670,81.68869544923160
2039,79.2068375892001,78.18310779290990,81.13568427815940,79.13497415411360,78.06397581403710,80.74589909067110,79.06452633972130,77.94322268024590,81.55546680463560,79.70130504218820,78.31825292382600,81.53270903705680
2040,79.3469393105508,78.06312122445860,80.91299233018260,79.01360851020640,77.98857634236070,81.02670676979030,79.11824465617080,77.93276271239030,81.31866947670490,80.0239194805226,78.10024941467240,81.73640756810790
2041,79.30521926050330,78.05227820684520,80.87587654615410,79.24877760101840,78.33995880684590,80.77190637757210,79.13328171410100,77.56275576339480,81.64380423423770,80.02294960910070,78.2792405910623,81.987004135021
2042,79.43509199713990,78.220188431422,81.17066420534300,79.6699020840228,78.35842691611010,81.31767603308970,79.62413822815380,77.89400223903990,81.74025203583100,79.78490779072630,78.3821278013957,81.8926753078004
2043,79.53180302253370,78.34410052048060,81.39318508223060,79.3257464792901,78.23651423967650,81.03396377588950,79.50749835364370,78.05631553882590,81.77665972590400,80.06136942109580,78.47598882849150,82.24984970874320
2044,79.38162585456670,78.17395427803460,80.92064806816810,79.40714121533130,78.29894335864440,81.28542086476700,79.32168038526410,78.2201302937803,81.27438080211980,80.26625158273550,78.65141635200500,82.08603752592390
2045,79.45334939067930,78.21802588500830,81.37902398277750,79.53404151298820,78.2857055817343,81.12690248940370,79.5322507664239,78.21398325682820,81.54484536317650,80.4098708833186,78.78237026195560,82.41363033348300
2046,79.69334191785460,78.44888322312590,81.51086452603380,79.75459311610720,78.1642011349957,82.0338362572225,79.68562792030720,78.22607989099630,81.7850040653765,80.53139655608660,78.76837160416620,82.92509620946910
2047,79.60455024472720,78.48926380099610,81.25951918427860,79.77134716325790,78.39394905005070,81.69954371846190,79.76792639770350,78.29316277402340,82.34317792150960,80.47219960200910,78.48943174540010,83.21760193090170
2048,79.44385904438950,78.2779208731423,81.21070163461890,80.05184389454300,78.54437467157090,82.22312182551260,79.71655724246590,78.275962420181,81.92939969233070,80.75634923906460,78.7836254077994,83.10928272746280
2049,79.7853220087448,78.58541089086390,81.6813930580362,79.88826950093800,78.61562265600600,82.27296729559840,80.00467860090780,78.34141270551250,82.75958302325560,80.89094261969310,79.08393683088810,83.27180677059690
2050,79.76503737430250,78.54163591434480,81.61611739856410,80.01876867458070,78.57228681668420,82.47355338031220,79.90984798682490,78.39565792037660,82.66098688977440,80.93914094706710,79.27990910228120,83.26574393971960
2051,79.86137547805750,78.50279762932230,81.79572857293050,80.00358114956910,78.769336937344,82.32083486679660,79.98183509975460,78.28527932182480,82.53641407864170,80.8615533352167,79.19306858665290,83.86939870709730
2052,79.50246605333570,78.3543402513644,81.78276164490780,80.0694729383628,78.67093029869550,81.9821152540157,79.86480427694200,78.2638367437965,82.89057892719010,81.16314684782800,79.21456621902450,84.21169808097900
2053,79.71360437433090,78.40986996005640,81.45419328128380,79.97032346095290,78.71302008619610,82.28852660871900,80.30570443890750,78.6851433241632,83.19156816215310,81.20849239959510,79.16965542893290,83.98889719025930
2054,79.77301572447350,78.51631728450990,81.67873697880770,80.16794553635130,78.6154188203384,82.49419020834450,79.9840259540039,78.2612946737753,82.71864468517760,81.47514234818230,79.31385580382250,84.32755601135210
2055,79.64315857868240,78.46243499537500,81.79884375340350,80.23773378639510,78.92863282289450,82.60267093792860,80.1251252125757,78.61690152605650,83.61342918880160,81.35351412719920,79.21568077587970,84.86200728875100
2056,79.7177254961305,78.47598882849150,81.7680371959851,80.32146256836260,78.79048037915710,82.77486380911070,80.57638553434100,78.93609064817620,82.95940107256940,81.45647082178970,79.3971254380223,84.31162869376540
2057,79.75180897378050,78.6818705036175,81.67749649146220,80.37869360459520,78.61217752689880,82.76196989843340,80.80080221587200,79.03824192395630,83.30878250369390,81.68404574507570,79.613774312225,84.4558942287151
2058,79.91585358881810,78.39378610201930,81.95133031595720,80.27670517969940,78.84151412117050,82.88915105334190,80.68542152229760,78.93624767783100,83.76010000991620,81.79379227757090,79.77537988615860,84.87039235106120
2059,79.81803979488220,78.39456197046480,82.15569033467950,80.53275457515370,79.09326690561390,83.22169019857260,80.59173774212160,78.67307704092560,83.73246079081550,81.93477557186610,79.90937130160000,85.42193443507510
2060,79.9208092320675,78.55776884828220,81.82272352470130,80.67934870773810,79.23402096796470,82.77960623772810,80.79658996220160,79.2245416474825,83.65804334592590,82.02631337913750,79.90575035143550,85.3173467038405
2061,79.62721137102070,78.46233635289310,81.77669254082610,80.4806770723876,78.91331145983800,82.6446855656506,81.04209058096870,78.98074999676120,84.21308722252910,82.345515480085,80.24266914537140,85.26636288732100
2062,79.7973404707034,78.62594762220870,81.87717172856120,80.49701702003840,78.85758996715600,83.59158377318910,81.1684229929329,79.04374902760780,84.55088767488930,82.42144222445600,80.06293939139640,85.6866121364456
2063,80.05109402689490,78.4359766554708,82.46925670872470,80.47703792245280,79.12531556531330,83.16538077100590,81.05740886054950,78.97577765190770,84.51234785977390,82.68718710139850,80.2102767468166,85.80330435063330
2064,79.97670145593180,78.46243179706820,82.30065993608470,80.546320506459,79.1050164790363,83.1039920982131,81.16924833083920,79.04509784427790,84.68446455359060,82.76409598082610,80.43370450123500,87.06420037427880
2065,79.66194508458740,78.42286013145240,81.86864333033180,80.68556578532590,79.11913657133960,83.49166306476710,81.14693921422550,78.71200100630340,84.82795492999980,82.26720946378710,79.9929088497426,86.19698058626170
2066,79.96785606541640,78.54415137459460,82.31203004203010,80.74630855006520,79.38234056700890,83.22530020000550,81.1445117267767,78.89326457982470,85.20731454658390,82.87883214368160,80.43692809234920,87.5960847923045
2067,80.21245042630540,78.68178995732340,82.25992884234180,80.50508061417480,79.13382330524470,83.78150202489780,81.5431090739103,79.28404988998050,85.44063513873000,83.04891109203910,80.56924096907510,87.94348424070690
2068,80.03205928735040,78.52852010672280,81.89336784083950,80.7728294939472,79.06193810378340,83.98017240202420,81.67600841618830,79.7698269453065,84.7602182939342,83.00138947908790,80.19948584974260,87.65104672136800
2069,79.9773326782849,78.44906711124000,82.247396972769,80.96495101793740,79.18700879845950,83.73251677757780,81.5916821107367,79.48842775870680,85.62729648214670,83.25323622722500,80.82415645180230,88.34374960340610
2070,79.86042745280380,78.40947292859040,82.6972035108936,80.55975386385360,79.24999571679490,83.46820022599820,81.57910215386890,79.61668791823050,85.35119568491980,83.76961877879050,81.32855313076280,87.81292114886820
2071,79.82830314346610,78.20436693629820,82.26872328193910,80.81417578760260,79.24354411199340,84.02550852942100,82.06193360872330,79.60645735964570,85.72778098120880,83.93565370517930,80.92238238670850,89.52107269767270
2072,79.85407324592580,78.35735256961470,81.79474958113990,80.92530826411710,79.38234056700890,83.43602898550520,81.89696616221500,79.6213763230777,85.76469036994900,83.66582131722360,80.5129203935291,88.95630101576170
2073,79.96916390974230,78.61201019741360,82.4489668959926,81.22654387311090,79.5148581305314,83.48016366647380,81.94366917851650,79.67693150910090,86.011710756237,84.13836115588170,81.02570464604000,89.17547731095380
2074,80.10704530406700,78.43564044713320,82.40616782951860,81.05020762045600,79.46927379242500,83.81687793858360,82.01762733736690,80.08281294851490,86.40190813989930,84.24795210159250,81.27366982128140,89.15446873516060
2075,79.97111718863800,78.46224657801790,82.4514273133033,81.10845728567300,79.31086228989330,83.66227575312820,82.43172632823240,79.86760901900080,86.44106709749070,84.31946576955350,81.35919655588430,89.73853468554900
2076,79.90324235359650,78.44909050290480,82.21434910138470,80.94543843664120,79.42038679471530,84.12155875513860,82.21821271328140,79.85400087577580,86.33335036134450,84.82048369029180,81.51716657827540,90.47934630308510
2077,79.89353798323240,78.51537461850710,82.09361919815580,81.22523982283920,79.54193691435130,84.29766337732440,82.30471671527370,79.61495834489970,87.71351809653540,84.54776836027950,81.58737693574570,90.15663427897710
2078,80.02533084463570,78.55838736532180,82.4057083820129,81.22587861727350,79.55788092936620,84.10135039701170,82.66893239035450,79.68076791491420,87.53845338900170,84.40872582927970,81.30507859806000,90.64611337409100
2079,79.93992151976570,78.67962500821600,82.6397638233737,81.18916306077050,79.31930902101390,83.89207744416920,82.62202728310690,80.14938139271060,87.96854532317990,85.06073329329170,81.94211725597960,91.11051959251090
2080,79.74116182689470,78.47598010835170,82.06774247279100,81.42945888723680,79.53735239545650,84.35437584012770,82.75675702893790,80.51657333244570,87.54371844965370,85.18066087317860,81.53051289562240,92.08060590082530
2081,79.8100902086068,78.54171982985400,82.54146849218380,81.44994400442570,79.78079205184300,84.4172868256806,82.81679117005390,80.5140187610669,87.90636050387340,85.1731026309818,81.94422141383950,92.83929263644410
2082,80.06202943744130,78.39682130178850,82.74469989372510,81.18508646739750,79.6069063670096,84.53979068322420,82.99454407790820,80.38429150008990,88.437188834398,85.59334846744430,81.83182089051300,92.5557054379151
2083,80.02092468848490,78.52913050238400,82.58947199371270,81.55912689396100,79.85203721506860,84.69078027384260,83.07903029871120,80.46892067247010,88.08432454591870,86.26588711537090,82.14273464221210,92.34454475234430
2084,79.87803692372780,78.37172522615130,82.72389783017330,81.63646061386480,79.45268848310210,84.8278692149705,83.24456395598700,80.64996771377800,89.11129544359890,86.03456722765020,81.77221131143500,93.52941419168850
2085,79.94073232222310,78.73842515329940,82.31716308197210,81.66337880797340,79.51522735855150,85.36470352512590,83.20713779983410,80.80642005278110,89.38391525442930,86.21470461779330,82.50457988189630,93.22624844925670
2086,80.06897701929490,78.50190279689490,82.42355030788520,81.44601892344570,79.38928479723810,85.26636288732100,83.68992223195700,81.06323986384630,88.44794054631590,86.88253365312240,82.43185379589610,93.93723398999410
2087,79.93650698971640,78.35945703023680,83.04945261490840,81.47145699760720,79.44511834755710,84.83424868319330,83.53493437388940,80.74979117614970,88.33400951903480,86.67996318873750,82.11323300400830,94.33073045449990
2088,79.8983614873259,78.41001416046670,82.09318247614000,81.5073027820448,79.52089279832510,85.40181201677020,84.01155613581340,80.78666886485870,89.4536017435436,87.0967020613557,82.680498648635,95.22165575751230
2089,79.69423917152730,78.48771048191030,82.16903976278710,81.46960787445660,79.61710058077790,85.09478238694790,84.1993985103,81.03854871145770,90.30836849797370,86.61073881647550,82.88258646640320,94.63748614947680
2090,79.70902496502960,78.28119175441930,82.4432665273738,81.60946249326530,79.87389598926410,85.12353494438830,83.92729976325110,80.69932571915390,89.67960136644880,87.51650021839150,82.76269521829930,94.88544962082910
2091,79.80528878188160,78.44911813099530,82.26310650054610,81.74623197628730,79.78802343823010,85.5274114472628,83.60640969966890,80.71477375685930,90.24304816482270,87.7407855032597,83.15119866787380,95.77040156011370
2092,79.76223776012010,78.57058281021010,82.33368209822750,81.78171010897490,79.88429953395180,85.21145473368340,83.94283257351160,81.16879284392000,90.0668600901817,87.84975998332500,82.89786603537810,95.99927658993300
2093,79.58899116449640,78.47590090397510,82.51127242136130,81.63408008533000,79.63961800719410,85.63048154006290,84.42859954711360,81.08113448532770,90.86862276075080,87.98365023078690,83.2289653288082,97.00316530339860
2094,79.9655019085161,78.48825749165850,82.32431505417220,81.7575102920382,79.92484579043830,84.94329740298740,84.44999028371040,81.30848003941820,92.29919089345080,88.5503567673584,83.42605016161150,97.87627089884810
2095,79.57466661156300,78.29410180798810,82.5202985638378,82.19452770045430,79.81462321989020,85.10413314912730,84.41679221535490,81.17533567103120,92.3255553002494,88.12537200329180,83.51364165928860,98.66491446133570
2096,79.43906478378880,78.08919949563000,82.46725251957260,81.64135961137710,79.68817128318030,85.5702863355605,84.3179966382685,81.3751104649748,91.78919580446430,88.79232258576730,83.7147672463083,98.8849120952626
2097,79.69198500899850,78.22144882751310,82.46093851701170,81.7163990575644,79.67829816696940,84.88092767240030,85.28248973605520,81.45981971837630,92.12057855349910,89.34109504899300,83.61787451036620,99.88524561144060
2098,79.96501212766530,78.67668097535840,82.18197412767520,82.07625272508290,79.85739032534910,85.13192246895720,85.17395593112060,81.70333599545200,91.79519570422150,89.19601659873040,84.03893109594660,98.23956423885470
