Category,SSP1-1.9,SSP1-1.9 10-90th Percentile Range (low),SSP1-1.9 10-90th Percentile Range (high),SSP1-2.6,SSP1-2.6 10-90th Percentile Range (low),SSP1-2.6 10-90th Percentile Range (high),SSP2-4.5,SSP2-4.5 10-90th Percentile Range (low),SSP2-4.5 10-90th Percentile Range (high),SSP3-7.0,SSP3-7.0 10-90th Percentile Range (low),SSP3-7.0 10-90th Percentile Range (high),SSP5-8.5,SSP5-8.5 10-90th Percentile Range (low),SSP5-8.5 10-90th Percentile Range (high)
2020,5039.63,4631.25,5372.16,5158.6,4764.66,5476.23,5008.41,4584.27,5406.05,5032.58,4631.76,5348.02,5005.23,4531.83,5345.61
2021,5037.88,4628.74,5341.18,5079.54,4687.9,5412.1,5069.42,4722.42,5372.81,5016.87,4557.75,5349.58,5032.99,4532.86,5311.74
2022,5029.31,4649.13,5337.83,5044.99,4598.82,5355.14,5100.87,4721.46,5398.34,5022.52,4599.8,5351.66,4993.32,4664.35,5332.28
2023,5063.5,4655.71,5405.54,5089.13,4713.13,5446.66,5115.81,4665.5,5446.32,5025.25,4586.08,5397.43,5090.19,4652.3,5454.09
2024,5087.23,4675.72,5424.05,5197.82,4817.99,5526.43,5151.16,4748.42,5481.08,4989.15,4444.29,5373.26,5097.74,4709,5460.21
2025,5070.03,4628.12,5438.01,5134.28,4715.01,5511.81,5096.95,4653.57,5464.17,5030.51,4436.93,5448.81,5100.57,4701.24,5484.95
2026,5097.55,4695.88,5451.09,5145.36,4725.52,5468.62,5131.92,4641.39,5525.78,5067.3,4701.75,5523.32,5146.17,4716.02,5454.74
2027,5109.38,4727.06,5462.02,5128.49,4741.29,5460.61,5114.47,4660.26,5569.62,5126.18,4717.94,5497.32,5180.87,4809.59,5514.98
2028,5154.69,4736.77,5537.89,5269.64,4818.89,5596.67,5105.64,4764.83,5455.45,5200.95,4709.72,5735.98,5183.47,4669.98,5606.02
2029,5138.19,4760.03,5509.93,5143.14,4841.61,5481.35,5240.5,4822.17,5648.84,5096.36,4670.53,5605.58,5224.75,4743.09,5555.18
2030,5119.59,4710.37,5469.8,5174.22,4779.22,5540.56,5148.98,4693.67,5526.24,5103.89,4644.83,5511.58,5202.9,4736.85,5557.2
2031,5158.04,4719.64,5531.09,5237.1,4713.29,5610.2,5177.33,4763.5,5582.65,5131.45,4658.18,5596.43,5277.62,4764.28,5652.55
2032,5187.19,4751.98,5552.01,5239.35,4739.45,5614.64,5245.52,4792.34,5644.28,5229.9,4762.1,5671.9,5250.57,4750.23,5626.24
2033,5143.74,4765.12,5499.41,5222.52,4849.68,5585.49,5185.51,4774.89,5520.74,5151.84,4752.28,5590.38,5218.11,4727.52,5647.17
2034,5173.31,4750.1,5571.63,5288.41,4772.79,5664.4,5208.81,4836.25,5677.99,5188.24,4663.45,5677.08,5247.31,4773.45,5691.26
2035,5182.15,4778.14,5609.51,5241.68,4898.92,5713.32,5235.71,4853.25,5670.21,5160.33,4574.06,5762.17,5370.79,4865.69,5783.86
2036,5186.37,4786.29,5585.83,5268.78,4881.05,5666.99,5217.65,4821.65,5606.76,5212.69,4714.02,5809.87,5342.77,4808.62,5764.26
2037,5263.67,4848.92,5647.06,5394.37,4877.98,5783.34,5348.82,4957.57,5721.65,5299.74,4847.5,5846.68,5396.65,4857.54,5834.04
2038,5271.4,4865.08,5672.23,5339.97,4924.19,5765.06,5379.84,4916.92,5722.03,5303.87,4895.38,5935.71,5495.37,4896.04,5942.24
2039,5235.35,4865.85,5657.23,5323.35,4934.53,5823.51,5292.32,4899.28,5712.57,5275.83,4835.28,5898.03,5472.08,4991.67,5889.35
2040,5266.11,4830.83,5654.76,5375.92,4890.2,5768.3,5271.37,4862.69,5786.14,5304.69,4837.06,5844.21,5611,4893.04,5972.63
2041,5265.09,4831.68,5651.92,5370.8,4884.5,5753.5,5334.81,5006.41,5721.06,5285.35,4643.15,5925.91,5594.38,4975.01,6009.94
2042,5311.81,4883.29,5690.17,5403.91,4957.81,5829.02,5488.59,5016,5863.45,5456.76,4798.71,5976.21,5494.08,5018.11,5980.25
2043,5298.94,4903.76,5686.28,5442.97,5016.84,5859.78,5377.88,4949.07,5809.13,5417.97,4899.28,5959.81,5582.12,5049.72,6063.53
2044,5288.01,4921.49,5644.65,5397.24,4963.34,5791.02,5391.63,5004.96,5850.91,5361.12,4946.15,5831.27,5665.8,5132.98,6052.72
2045,5303.04,4915.25,5665.07,5395.18,4939.68,5889,5420.54,4978,5813.2,5431.79,4945.65,5878.27,5694.55,5181.29,6111.68
2046,5339.65,4915.58,5733.97,5479.9,5037.51,5916.18,5498.48,4905.09,6024.82,5475.07,4951.95,5959.78,5729.96,5156.89,6257.09
2047,5328.83,4926.41,5725.16,5449.57,5064.56,5859.45,5503.31,5025.3,5964.71,5502.45,4972.04,6077.85,5713.73,5048.3,6290.7
2048,5344.81,4944.85,5717.91,5408.57,4976.54,5823.83,5622.43,5110.02,6119.45,5483.28,4985.71,5988.64,5817.25,5209.29,6290.32
2049,5363,4980.91,5769.98,5513.18,5113.31,5980.2,5549.06,5123.54,6112.48,5580.9,4996.92,6173.35,5837.8,5278.62,6324.19
2050,5357,4985,5749.63,5522.47,5092.42,5945.97,5576.83,5104.23,6131.13,5544.87,5023.79,6169.31,5854.49,5369.52,6302.87
2051,5353.47,4977.85,5749.44,5549.44,5078.53,5995.07,5573.81,5171.85,6085.86,5566.02,4983.75,6118.65,5834.94,5338.44,6448.06
2052,5335.62,4960.63,5753.49,5427.55,5004.57,5982.51,5623.02,5161.89,6049.89,5520.71,4990.44,6220.64,5940.93,5360.75,6529.22
2053,5347.95,4976.32,5727.59,5486.54,5028.83,5915.02,5564.79,5162.05,6086.36,5656.21,5132.3,6264.15,5936.71,5322.43,6437.37
2054,5349.99,4957.46,5729.03,5529.65,5072.82,5965.95,5624.35,5128.08,6134.52,5559.57,4953,6169.12,6003.86,5402.92,6535.41
2055,5332.25,4972.03,5748.22,5465.05,5032.26,5940.86,5654.77,5213.87,6144.8,5590.38,5106.15,6343.07,5960.37,5339.76,6635.95
2056,5360.29,4994.23,5730.09,5502.31,5063.41,5999.93,5673.47,5168.68,6194.68,5744.12,5248.02,6245.04,6019.92,5423.39,6562.53
2057,5368.88,5009.68,5719.18,5514.84,5148.11,5958.22,5686.19,5105.74,6212.04,5808,5279.6,6314.45,6076.07,5526.43,6555.86
2058,5364.45,4986.02,5745.87,5562.4,5014.14,6042.68,5670.58,5189,6226.62,5774.34,5202.39,6426.52,6115.52,5576.24,6641.12
2059,5356.35,4990,5758.13,5532.39,5030.7,6086.6,5745.72,5306.08,6311.14,5740.45,5093.03,6380.72,6130.38,5621.75,6768.77
2060,5372.95,5037.96,5715.6,5572.35,5115.71,6001.97,5799.32,5366.04,6226.78,5819.99,5360.98,6407.07,6158.9,5604.03,6735.09
2061,5339.15,4992.24,5695.99,5453.22,5027.33,5969.46,5726.12,5234.49,6202.35,5842.2,5246.18,6460.15,6216.38,5697.98,6715.67
2062,5346.58,4993.17,5738.6,5523.02,5123.76,6030.8,5712.81,5192.41,6378.8,5896.08,5253.89,6583.61,6232.31,5653.18,6808.88
2063,5355.87,4990.32,5733.29,5607.9,5043.3,6154.52,5720.92,5312.03,6276.56,5861.08,5244.87,6567.17,6323.36,5688.89,6855.51
2064,5356.02,4998.67,5733.09,5606.31,5073.93,6113.87,5752.98,5322.55,6296.16,5921.64,5235.23,6582.85,6331.72,5798.85,7059.72
2065,5314.18,4958.59,5700.7,5483.11,5030.13,6015.24,5791,5314.84,6388.1,5891.05,5146.49,6620.2,6200.39,5623.12,6883.15
2066,5333.1,4992.22,5725.82,5587.63,5090.06,6124.86,5786.33,5398.55,6325.1,5885.22,5213.61,6677.54,6354.7,5774.4,7169.65
2067,5338.95,4994.55,5730.09,5651.7,5146.4,6122.27,5713.45,5287.14,6419.67,6002.54,5348.18,6752.89,6391.37,5773.41,7192.36
2068,5332.59,4993.87,5682.8,5603.26,5102.24,6010.26,5813.89,5291.34,6485.75,6015.64,5554.39,6581.49,6383.48,5687.58,7141.88
2069,5327.38,4984.98,5704.59,5590.83,5047.88,6112.7,5855.2,5331.47,6419.01,6006.03,5416.38,6762.14,6432.79,5893.44,7287.06
2070,5306.96,4990.49,5684.73,5541.92,5016.65,6176.48,5733.2,5335.99,6352.39,6008.03,5468.77,6710.89,6594.03,6065.51,7251.51
2071,5319.44,4961.97,5690.94,5554.06,4942.49,6100.58,5831.95,5355.39,6472.29,6123.91,5453.21,6759.26,6591.6,5924.33,7476.12
2072,5309.24,4970.85,5647.23,5558.23,5012.39,5999.82,5865.02,5440.27,6360.17,6121.73,5506.61,6852.35,6537.02,5788.5,7354.11
2073,5319.08,4995.84,5670.05,5586.71,5122.77,6143.18,5938.96,5467.71,6407.9,6107.53,5497.41,6866.77,6671.74,5972.12,7477.07
2074,5311.06,4990.28,5663.81,5628.18,5048.83,6145.72,5878.12,5441.74,6403.86,6110.13,5613.38,6941.25,6699.88,6074.45,7510.26
2075,5301.93,4969.06,5650.84,5576.5,5047.99,6143.27,5868.31,5365.99,6367.4,6223.47,5541.49,6925.34,6715.46,6061.75,7612.44
2076,5295.36,4974.75,5645.95,5580.66,5065.42,6094.27,5882.39,5435.41,6538.79,6147.1,5540.39,6888.33,6828.41,6105.17,7642.68
2077,5287.33,4969.48,5649.81,5557.53,5083.49,6084.4,5943.32,5466.44,6559.19,6190.62,5466.75,7127.89,6751.51,6115.66,7624.09
2078,5290.9,4959.95,5643.91,5609.01,5091.66,6143.52,5934.06,5450.6,6500.97,6296.85,5480.14,7130.44,6712.66,6038.55,7683.49
2079,5281.43,4975.89,5637.51,5561.28,5143.89,6163.11,5929.32,5376.13,6433.55,6269.65,5645.42,7194.02,6870.78,6208.45,7772
2080,5279.24,4973.5,5623.87,5514.39,5068.99,6025.97,6015.99,5484.72,6598.02,6309.89,5771.08,7089.98,6913.03,6133.37,7969.19
2081,5273.38,4983.54,5643.57,5534.51,5082.47,6160.77,6010.44,5563.25,6581.45,6313.8,5781.36,7197.89,6895.03,6244.42,8067.08
2082,5279.82,4958.62,5646.56,5617.52,5035.31,6206.28,5917.96,5484.38,6584.88,6408.66,5746.16,7348.81,6964.91,6178.33,8003.26
2083,5287.27,4973.54,5621.49,5608.75,5089.24,6166.36,6028.73,5559.36,6630.93,6374.36,5729.84,7165.53,7125.76,6300.73,7961.14
2084,5282.17,4950.4,5645.87,5579.96,5019.48,6195.2,6070.74,5444.46,6678.77,6424.66,5822.77,7406.05,7098.52,6214.05,8171.6
