code,name,1950-07_p10,1950-07_median,1950-07_p90,1951-07_p10,1951-07_median,1951-07_p90,1952-07_p10,1952-07_median,1952-07_p90,1953-07_p10,1953-07_median,1953-07_p90,1954-07_p10,1954-07_median,1954-07_p90,1955-07_p10,1955-07_median,1955-07_p90,1956-07_p10,1956-07_median,1956-07_p90,1957-07_p10,1957-07_median,1957-07_p90,1958-07_p10,1958-07_median,1958-07_p90,1959-07_p10,1959-07_median,1959-07_p90,1960-07_p10,1960-07_median,1960-07_p90,1961-07_p10,1961-07_median,1961-07_p90,1962-07_p10,1962-07_median,1962-07_p90,1963-07_p10,1963-07_median,1963-07_p90,1964-07_p10,1964-07_median,1964-07_p90,1965-07_p10,1965-07_median,1965-07_p90,1966-07_p10,1966-07_median,1966-07_p90,1967-07_p10,1967-07_median,1967-07_p90,1968-07_p10,1968-07_median,1968-07_p90,1969-07_p10,1969-07_median,1969-07_p90,1970-07_p10,1970-07_median,1970-07_p90,1971-07_p10,1971-07_median,1971-07_p90,1972-07_p10,1972-07_median,1972-07_p90,1973-07_p10,1973-07_median,1973-07_p90,1974-07_p10,1974-07_median,1974-07_p90,1975-07_p10,1975-07_median,1975-07_p90,1976-07_p10,1976-07_median,1976-07_p90,1977-07_p10,1977-07_median,1977-07_p90,1978-07_p10,1978-07_median,1978-07_p90,1979-07_p10,1979-07_median,1979-07_p90,1980-07_p10,1980-07_median,1980-07_p90,1981-07_p10,1981-07_median,1981-07_p90,1982-07_p10,1982-07_median,1982-07_p90,1983-07_p10,1983-07_median,1983-07_p90,1984-07_p10,1984-07_median,1984-07_p90,1985-07_p10,1985-07_median,1985-07_p90,1986-07_p10,1986-07_median,1986-07_p90,1987-07_p10,1987-07_median,1987-07_p90,1988-07_p10,1988-07_median,1988-07_p90,1989-07_p10,1989-07_median,1989-07_p90,1990-07_p10,1990-07_median,1990-07_p90,1991-07_p10,1991-07_median,1991-07_p90,1992-07_p10,1992-07_median,1992-07_p90,1993-07_p10,1993-07_median,1993-07_p90,1994-07_p10,1994-07_median,1994-07_p90,1995-07_p10,1995-07_median,1995-07_p90,1996-07_p10,1996-07_median,1996-07_p90,1997-07_p10,1997-07_median,1997-07_p90,1998-07_p10,1998-07_median,1998-07_p90,1999-07_p10,1999-07_median,1999-07_p90,2000-07_p10,2000-07_median,2000-07_p90,2001-07_p10,2001-07_median,2001-07_p90,2002-07_p10,2002-07_median,2002-07_p90,2003-07_p10,2003-07_median,2003-07_p90,2004-07_p10,2004-07_median,2004-07_p90,2005-07_p10,2005-07_median,2005-07_p90,2006-07_p10,2006-07_median,2006-07_p90,2007-07_p10,2007-07_median,2007-07_p90,2008-07_p10,2008-07_median,2008-07_p90,2009-07_p10,2009-07_median,2009-07_p90,2010-07_p10,2010-07_median,2010-07_p90,2011-07_p10,2011-07_median,2011-07_p90,2012-07_p10,2012-07_median,2012-07_p90,2013-07_p10,2013-07_median,2013-07_p90,2014-07_p10,2014-07_median,2014-07_p90
IND,India,55.68,59.4,63.02,55.74,59.08,61.58,56.52,59.57,61.95,55.68,59.49,61.85,56.54,59.71,62.36,56.49,59.62,62.22,55.86,59.1,61.61,56.39,59.83,62.43,56.15,59.59,62.24,56.04,59.14,61.58,56.18,59.6,62.07,56.33,59.91,62.58,56.24,59.72,62.14,56.38,59.95,62.58,57.1,60.28,62.96,56.18,59.35,62.15,56.18,59.33,61.85,56.89,59.8,62.18,56.29,59.42,62.04,56.75,59.66,62.1,56.57,59.42,62.33,56.32,59.68,62.13,56.8,60.1,62.89,56.37,59.66,62.24,56.04,59.78,61.98,56.9,60.06,62.52,55.91,59.23,62.17,56.5,59.58,61.98,56.32,59.78,62.51,57.4,60.09,62.75,56.26,59.83,62.12,56.76,59.85,62.61,57.49,60.02,62.79,55.71,59.35,61.45,56.38,60.14,62.95,56.42,60.2,63.51,57.14,60.0,62.55,56.4,60.14,62.74,57.46,60.46,62.96,57.26,60.58,62.95,57.69,60.55,63.26,57.26,60.4,63.28,56.99,60.59,62.99,57.85,60.63,63.02,57.66,60.57,63.44,57.1,60.66,63.77,57.59,60.65,62.85,58.43,60.91,62.96,57.7,61.31,63.57,57.75,61.05,64.1,57.89,60.62,63.75,57.03,60.98,63.33,58.1,61.2,63.65,58.76,61.76,64.15,58.06,61.4,63.98,57.8,60.78,63.44,58.32,61.42,64.09,57.67,61.67,64.61,58.45,61.88,64.03,57.97,61.12,63.98,58.26,60.85,63.34,57.61,61.31,63.74,57.72,61.4,64.03,58.58,61.74,64.2,58.6,61.74,64.01
IND.1151,Andaman and Nicobar Islands,80.4,81.2,82.0,80.28,81.01,81.51,80.21,81.26,81.78,80.39,81.09,81.68,80.3,81.12,81.82,79.81,80.99,81.63,80.56,81.22,81.88,80.24,81.27,82.24,80.36,81.06,81.73,80.46,81.15,81.9,80.29,81.21,81.94,80.25,81.18,81.85,80.0,81.08,81.6,80.48,81.23,81.81,80.23,81.09,81.63,80.55,81.22,81.96,80.25,81.2,81.85,80.5,81.3,81.8,80.59,81.19,81.9,80.27,81.1,81.57,80.64,81.33,81.81,80.48,81.08,81.55,80.33,80.96,81.8,80.58,81.28,81.85,80.32,81.08,81.89,80.41,81.12,82.02,80.55,81.33,81.86,80.27,81.18,82.01,80.65,81.31,81.94,80.51,81.36,82.03,80.42,81.3,81.82,80.72,81.32,81.89,80.06,80.98,81.96,80.42,81.27,81.95,80.39,81.48,82.18,80.59,81.31,81.93,80.45,81.19,81.85,80.34,81.27,82.0,80.43,81.28,82.17,80.5,81.21,81.76,80.23,81.15,82.01,80.56,81.25,82.13,80.54,81.27,82.06,80.32,81.2,82.11,80.91,81.63,82.19,80.53,81.25,81.98,80.39,81.31,82.13,81.03,81.56,82.33,80.86,81.33,82.01,80.75,81.45,82.12,80.65,81.43,81.99,80.25,81.46,81.93,80.92,81.43,82.04,80.51,81.44,82.02,81.09,81.6,82.08,80.79,81.46,82.15,80.79,81.47,82.5,80.9,81.7,82.05,80.7,81.57,82.15,80.65,81.71,82.26,80.83,81.5,82.33,80.6,81.52,82.08,81.04,81.57,82.06,80.95,81.74,82.36,80.77,81.41,82.2
IND.11510,Delhi,47.99,54.75,58.16,46.88,53.53,57.63,48.75,53.88,56.58,48.32,53.81,56.78,49.46,55.06,57.47,47.61,54.39,58.15,49.12,52.81,57.61,49.29,53.93,57.74,48.16,54.06,58.67,47.88,52.79,56.35,49.73,54.59,58.78,49.39,55.03,58.6,46.34,55.87,58.28,49.04,54.1,58.63,48.48,54.97,59.51,46.77,54.26,57.79,48.6,53.75,57.75,51.22,55.04,57.24,50.3,54.92,59.05,50.15,54.56,57.66,51.22,55.37,57.58,48.12,54.07,56.81,50.9,54.25,60.34,48.7,55.23,58.34,47.27,54.79,57.28,50.21,53.74,58.01,48.86,53.7,59.43,51.45,54.19,57.66,49.5,54.6,58.65,50.8,55.35,58.42,48.91,53.95,56.4,51.29,54.76,58.91,52.43,54.94,60.2,47.06,53.63,57.02,51.09,55.07,59.14,50.86,55.36,59.4,51.16,54.35,59.71,51.29,56.12,61.02,53.5,56.32,58.49,52.23,56.37,59.07,52.0,55.55,58.91,51.62,56.63,62.24,50.63,55.74,59.06,52.15,55.44,57.46,50.79,56.21,59.71,51.75,56.29,59.5,52.36,55.61,60.27,53.34,57.31,58.87,52.19,57.68,60.32,51.8,56.18,60.29,51.09,55.79,60.22,48.67,57.21,60.97,51.72,57.27,60.2,54.46,58.23,62.26,52.51,57.13,60.47,52.22,55.87,60.57,52.86,57.5,60.53,51.46,57.72,61.23,53.72,58.4,61.05,51.37,56.55,61.6,53.6,56.26,59.92,51.85,56.86,60.4,51.67,57.96,60.91,53.67,57.72,61.03,52.01,57.49,61.52
IND.11511,Goa,73.98,75.48,77.53,72.55,74.58,76.72,73.5,75.91,77.0,74.07,75.38,76.87,73.48,75.89,76.95,73.81,75.43,76.58,73.8,75.0,76.49,73.59,75.73,76.87,73.97,75.32,76.8,74.01,75.44,76.48,73.6,75.49,76.54,73.54,75.74,76.75,74.17,75.55,76.89,73.99,76.15,77.51,74.12,76.08,77.61,74.55,75.51,76.69,74.61,75.67,77.37,72.98,75.42,77.18,73.61,75.24,76.45,73.75,75.44,76.8,72.62,75.22,77.13,73.49,76.03,77.21,73.54,76.2,77.21,73.37,75.68,76.8,74.14,76.11,76.94,74.53,75.8,77.0,73.45,75.71,77.37,72.93,75.01,76.94,74.11,75.69,77.09,73.1,76.06,77.45,73.99,75.72,77.03,74.09,75.99,77.44,73.2,75.84,77.15,73.18,75.44,76.32,73.87,76.25,77.63,73.45,75.91,77.9,74.6,75.41,76.42,74.45,75.84,76.94,74.55,75.96,77.4,74.47,76.02,77.4,74.66,76.19,77.41,74.46,75.66,76.38,74.49,75.64,77.12,73.89,76.34,77.72,74.61,75.93,77.68,73.88,75.91,78.17,74.7,76.14,77.22,74.8,76.28,77.65,73.69,76.17,77.51,74.02,76.75,77.68,73.35,76.13,77.68,73.55,76.22,78.11,74.81,76.6,78.32,74.66,76.46,77.86,75.24,76.84,77.86,74.98,76.15,78.08,74.64,76.16,78.49,74.21,76.88,77.93,74.83,76.46,77.63,74.57,76.0,77.72,75.29,76.29,77.32,73.57,76.5,77.3,73.99,76.31,78.02,74.92,76.1,77.63,74.92,76.16,78.53
IND.11512,Gujarat,50.88,53.62,56.45,50.0,54.09,56.05,51.2,53.99,55.69,51.13,53.89,55.84,52.01,53.86,56.92,51.72,53.69,55.8,50.41,53.3,55.4,50.72,54.17,56.24,51.45,53.81,55.49,51.69,53.74,55.42,51.29,53.6,56.11,51.65,54.08,56.67,50.32,53.64,55.76,50.47,54.13,57.17,50.66,54.32,56.56,51.04,53.53,56.14,50.93,54.0,55.97,51.98,54.01,55.54,51.38,54.22,55.91,51.33,53.85,55.88,51.78,53.69,55.69,50.93,53.72,55.6,52.28,54.48,56.33,51.47,53.58,55.6,50.85,53.89,55.46,51.89,53.96,55.99,51.08,53.56,55.44,51.64,54.05,55.98,51.19,54.11,55.99,51.88,53.77,55.67,51.19,53.97,55.95,52.13,54.05,55.87,52.46,54.37,56.7,50.63,53.57,55.2,50.97,54.29,56.18,51.44,54.52,56.89,52.15,54.19,56.36,51.81,54.54,56.18,52.67,54.22,56.16,52.53,54.81,56.27,52.38,54.38,56.26,51.94,54.67,57.0,51.21,54.47,56.15,52.28,54.63,56.35,52.3,54.46,57.05,51.44,54.29,58.07,51.21,54.49,56.17,52.64,55.12,56.83,51.76,54.74,56.71,52.93,55.32,57.36,53.2,54.87,57.37,53.04,55.0,57.04,53.21,55.45,58.09,53.57,55.8,57.72,52.69,55.3,57.9,52.13,54.84,57.1,52.67,55.75,58.2,52.67,55.97,59.09,52.69,55.72,57.38,52.51,55.14,57.67,53.03,55.13,57.83,53.32,55.29,57.77,52.29,55.53,58.38,53.51,55.97,58.05,53.53,55.47,56.97
IND.11513,Haryana,47.31,53.7,57.75,46.25,52.74,56.6,47.86,53.67,55.9,47.45,52.99,56.36,49.34,54.24,56.96,47.3,53.87,57.4,48.0,52.02,56.11,48.12,53.36,57.34,47.53,53.33,57.68,47.63,52.6,55.41,49.05,53.88,57.62,48.83,54.34,58.0,45.82,55.05,57.31,48.28,52.85,57.57,48.04,54.16,58.56,47.31,53.5,57.05,48.12,53.3,57.02,50.27,54.2,56.5,50.01,53.93,58.39,49.38,53.99,57.4,50.93,54.6,56.71,47.39,53.27,56.73,50.17,53.42,58.96,47.96,54.23,58.27,47.27,53.65,56.49,49.06,53.43,57.12,48.58,53.21,58.81,50.81,53.43,57.24,48.94,54.0,58.04,50.04,54.19,57.3,48.56,52.89,55.77,50.13,53.72,58.2,50.79,54.58,58.84,47.48,52.86,56.56,50.04,54.29,58.83,50.48,54.66,58.88,50.4,53.91,58.65,50.41,55.11,60.31,52.25,55.14,57.36,51.27,55.24,58.16,51.85,55.27,58.7,51.32,55.58,60.7,49.89,55.1,58.35,52.02,54.41,56.73,50.71,55.34,58.92,50.61,55.48,59.29,51.88,55.31,58.84,52.72,55.99,58.18,51.41,56.87,59.67,50.99,54.77,59.16,50.46,54.99,59.04,48.21,56.05,59.8,51.07,55.92,59.77,53.68,56.79,60.58,51.78,56.19,60.13,50.88,55.0,59.53,52.58,56.74,59.71,50.92,57.06,60.09,51.98,57.27,60.19,51.17,55.46,60.14,52.04,55.21,59.18,50.89,55.74,59.8,51.42,56.99,59.83,51.91,56.91,60.3,52.27,56.26,60.15
IND.11514,Himachal Pradesh,62.8,68.45,71.23,64.08,67.73,70.26,63.87,68.57,70.65,64.3,68.06,70.01,66.42,69.07,71.61,64.2,68.92,71.54,64.17,68.16,70.22,64.18,67.6,70.11,64.94,68.83,72.08,64.14,68.11,70.6,65.5,68.51,71.6,64.62,68.7,71.93,64.67,68.56,71.27,64.77,68.41,71.33,66.16,68.75,72.04,63.97,68.82,71.48,63.94,68.63,70.86,65.4,68.74,71.02,65.09,69.26,72.09,64.82,68.86,71.39,66.68,69.34,71.05,62.98,67.8,69.73,65.67,68.4,71.83,65.03,68.04,71.75,63.93,67.98,69.94,63.39,68.24,71.09,62.86,68.57,72.47,66.17,69.04,71.46,65.14,68.74,71.38,65.5,68.67,71.82,64.11,67.67,71.3,63.26,68.56,71.75,65.44,69.39,72.06,63.07,68.47,70.43,66.1,68.52,71.75,65.8,68.91,72.23,65.84,69.25,71.85,65.64,68.68,71.7,64.99,69.01,71.38,64.49,69.28,71.47,66.1,69.6,72.05,65.66,68.99,71.41,64.38,69.21,72.56,66.28,68.86,72.18,66.45,69.56,72.0,64.89,69.66,72.23,66.77,68.65,71.25,65.2,69.48,71.27,66.1,69.33,72.5,65.9,68.52,71.26,64.45,69.23,72.38,64.83,69.29,71.18,65.29,68.94,71.58,66.27,69.76,71.34,66.43,69.47,71.6,64.61,68.78,71.17,65.54,69.72,72.29,64.15,70.03,72.46,66.44,69.83,72.14,65.79,69.06,71.59,64.37,68.58,70.8,66.75,69.13,71.29,66.62,69.84,71.87,65.79,69.87,72.01,66.84,69.5,72.29
IND.11515,Jammu and Kashmir,62.84,68.21,70.19,64.09,67.35,69.65,64.49,68.0,70.39,64.58,67.67,69.42,65.69,68.18,70.84,64.88,67.94,70.47,64.19,67.56,69.62,63.24,66.88,69.0,63.55,68.2,71.01,64.06,67.46,69.81,64.38,67.48,70.75,64.15,67.7,70.35,64.23,67.78,70.26,64.8,67.69,69.84,65.04,67.59,70.92,63.92,68.51,70.86,64.28,67.79,69.96,64.26,67.55,71.09,64.76,68.36,70.9,64.24,68.15,71.48,65.67,68.19,70.25,61.92,67.21,69.32,64.74,68.04,70.76,63.8,67.38,70.39,62.83,67.36,69.42,61.52,66.99,70.52,63.4,68.02,71.24,64.87,68.49,70.82,65.0,67.8,70.37,65.12,67.85,70.79,63.73,67.08,70.37,64.1,68.09,70.35,64.42,67.96,70.39,64.06,67.65,69.94,65.12,67.63,69.98,63.54,67.9,71.11,65.04,68.09,70.31,65.06,67.78,70.07,63.7,68.09,70.34,64.61,68.15,69.73,65.09,68.28,71.24,64.57,68.06,69.97,64.53,68.46,71.08,65.07,68.21,71.03,66.03,68.6,71.01,64.46,68.59,71.12,64.73,68.03,70.49,64.88,68.34,70.41,64.26,68.66,71.2,65.38,67.59,69.97,64.41,68.56,70.63,64.93,68.08,70.15,63.65,67.74,70.11,64.76,68.16,69.94,65.31,67.98,70.41,64.02,67.9,70.42,64.17,68.15,70.62,63.75,68.88,71.25,65.49,68.65,70.55,66.24,68.17,70.65,64.15,67.95,70.1,65.55,68.05,70.31,65.8,68.62,70.28,65.38,68.51,70.78,64.91,68.36,70.26
IND.11516,Jharkhand,58.02,61.85,66.59,59.16,62.2,64.62,59.02,62.28,66.14,58.91,61.42,64.42,57.61,61.33,64.99,59.62,62.44,66.09,58.1,62.27,65.07,58.64,63.01,66.39,58.38,62.59,65.2,58.44,61.61,65.83,59.27,62.52,64.27,59.09,62.94,65.26,59.7,62.29,65.25,58.96,63.34,65.18,59.21,62.85,65.69,58.38,62.35,65.36,58.18,61.43,63.78,59.02,62.77,66.19,58.04,61.59,65.02,59.43,62.13,64.37,59.17,62.05,65.35,59.52,62.33,65.31,58.3,62.52,65.92,59.41,62.93,66.13,58.97,62.62,65.36,60.0,63.71,66.85,57.76,62.23,65.38,58.45,62.71,64.61,57.59,62.86,65.68,59.74,62.79,66.75,58.37,63.44,65.86,59.55,62.96,65.92,60.01,62.75,65.56,58.3,62.19,64.48,59.07,62.83,66.22,59.64,62.61,66.84,59.32,62.61,65.79,58.26,62.75,66.4,61.26,63.35,66.57,60.27,63.64,66.26,60.76,63.3,65.88,59.11,63.96,66.65,60.59,63.93,66.65,61.42,63.77,66.65,60.13,63.59,65.88,59.53,63.62,66.48,60.81,63.99,66.03,60.23,64.38,66.51,61.16,63.98,67.32,60.45,64.23,67.95,60.15,63.67,66.23,59.2,63.6,66.55,61.34,64.08,66.34,61.43,64.72,68.44,62.5,64.77,67.02,60.39,64.44,67.35,60.45,64.65,67.16,60.6,64.21,66.97,61.8,64.92,67.82,61.19,64.59,67.2,60.67,63.8,66.58,60.7,64.46,67.04,61.35,64.04,67.04,61.82,65.09,67.45,60.54,65.1,66.93
IND.11517,Karnataka,58.59,61.65,64.46,58.57,61.09,63.21,59.39,62.32,64.25,58.66,61.91,63.91,59.24,62.23,64.08,59.77,62.05,63.85,59.46,61.44,63.88,60.37,62.5,64.1,59.64,61.83,64.24,59.53,61.41,63.15,59.16,62.05,64.17,58.56,62.25,64.1,60.09,62.29,64.0,59.82,63.14,64.75,60.42,62.87,64.7,59.93,61.81,63.7,59.36,61.83,64.59,58.67,62.24,64.36,58.93,61.48,63.86,59.57,62.05,64.23,57.83,61.84,64.83,59.35,62.59,64.47,59.75,62.93,64.94,58.12,62.09,64.29,59.84,62.46,64.69,60.38,62.51,64.17,59.08,61.52,63.83,58.85,61.37,64.19,59.23,61.95,64.48,60.17,62.8,64.55,59.47,62.33,64.57,59.64,62.5,64.63,59.73,62.05,64.45,59.03,61.89,63.56,59.75,62.89,64.95,59.62,62.59,65.71,59.78,61.98,63.53,59.54,62.17,64.04,59.65,62.58,65.3,59.19,62.74,64.89,59.49,62.74,64.96,60.42,62.32,63.89,60.24,62.62,64.69,60.07,62.92,65.21,59.89,62.52,64.88,60.01,62.62,66.04,60.4,62.68,64.63,61.02,62.7,64.81,60.22,62.89,64.63,60.17,63.49,65.85,59.79,62.87,65.41,59.51,63.17,64.91,60.63,63.5,65.58,60.84,63.49,65.08,60.01,63.71,65.5,60.7,62.73,65.35,60.75,62.72,66.23,59.71,63.54,65.72,61.02,63.46,65.0,60.44,62.63,65.01,61.13,62.82,64.53,59.01,63.08,65.0,59.58,63.03,65.37,61.04,63.1,65.31,61.02,63.43,65.64
