Category,"Hist. Ref. Per., 1950-2014",SSP1-1.9,SSP1-2.6,SSP2-4.5,SSP3-7.0,SSP5-8.5,"Hist. Ref. Per., 1950-2014.1",SSP1-1.9.1,SSP1-2.6.1,SSP2-4.5.1,SSP3-7.0.1,SSP5-8.5.1,Unnamed: 13,SSP1-1.9_HeatIndex,SSP1-2.6_HeatIndex,SSP2-4.5_HeatIndex,SSP3-7.0_HeatIndex,SSP5-8.5_HeatIndex
1990,60.55,,,,,,24.26,,,,,,,,,,,
1991,60.4,,,,,,24.29,,,,,,,,,,,
1992,60.59,,,,,,23.88,,,,,,,,,,,
1993,60.63,,,,,,24.01,,,,,,,,,,,
1994,60.57,,,,,,24.12,,,,,,,,,,,
1995,60.66,,,,,,24.25,,,,,,,,,,,
1996,60.65,,,,,,24.16,,,,,,,,,,,
1997,60.91,,,,,,24.32,,,,,,,,,,,
1998,61.31,,,,,,24.28,,,,,,,,,,,
1999,61.05,,,,,,24.37,,,,,,,,,,,
2000,60.62,,,,,,24.38,,,,,,,,,,,
2001,60.98,,,,,,24.5,,,,,,,,,,,
2002,61.2,,,,,,24.51,,,,,,,,,,,
2003,61.76,,,,,,24.4,,,,,,,,,,,
2004,61.4,,,,,,24.52,,,,,,,,,,,
2005,60.78,,,,,,24.53,,,,,,,,,,,
2006,61.42,,,,,,24.42,,,,,,,,,,,
2007,61.67,,,,,,24.43,,,,,,,,,,,
2008,61.88,,,,,,24.4,,,,,,,,,,,
2009,61.12,,,,,,24.5,,,,,,,,,,,
2010,60.85,,,,,,24.58,,,,,,,,,,,
2011,61.31,,,,,,24.63,,,,,,,,,,,
2012,61.4,,,,,,24.67,,,,,,,,,,,
2013,61.74,,,,,,24.62,,,,,,,,,,,
2014,,61.74,61.74,61.74,61.74,61.74,,76.334,76.334,76.334,76.334,76.334,,78.22982937414125,78.22982937414125,78.22982937414125,78.22982937414125,78.22982937414125
2015,,61.92,61.69,62.33,61.69,62.05,,76.388,76.406,76.406,76.406,76.388,,78.27082621413872,78.28864513519638,78.27962318283517,78.28864513519638,78.26892932774047
2016,,61.84,62.14,61.74,61.9,61.67,,76.316,76.334,76.19,76.37,76.44200000000001,,78.21376155146886,78.22337161509856,78.11544336718946,78.25646844939843,78.31814585548517
2017,,62.02,61.99,61.98,62.11,62.13,,76.334,76.406,76.37,76.28,76.388,,78.22535307635884,78.28454604098539,78.25526583392323,78.18006228007076,78.26774044422501
2018,,62.02,62.12,61.88,61.81,62.45,,76.44200000000001,76.388,76.496,76.44200000000001,76.532,,78.31374868509711,78.2678899533648,78.36004682874984,78.31642386164755,78.38390639884992
2019,,62.01,61.54,62.1,62.18,62.35,,76.514,76.604,76.37,76.622,76.568,,78.3735863323199,78.45257985582548,78.25343086103103,78.46306607941428,78.41557680962097
