Category,"Hist. Ref. Per., 1950-2014",SSP1-1.9,SSP1-2.6,SSP2-4.5,SSP3-7.0,SSP5-8.5,"Hist. Ref. Per., 1950-2014",SSP1-1.9,SSP1-2.6,SSP2-4.5,SSP3-7.0,SSP5-8.5,
1990,60.55,,,,,,24.26,,,,,,
1991,60.4,,,,,,24.29,,,,,,
1992,60.59,,,,,,23.88,,,,,,
1993,60.63,,,,,,24.01,,,,,,
1994,60.57,,,,,,24.12,,,,,,
1995,60.66,,,,,,24.25,,,,,,
1996,60.65,,,,,,24.16,,,,,,
1997,60.91,,,,,,24.32,,,,,,
1998,61.31,,,,,,24.28,,,,,,
1999,61.05,,,,,,24.37,,,,,,
2000,60.62,,,,,,24.38,,,,,,
2001,60.98,,,,,,24.5,,,,,,
2002,61.2,,,,,,24.51,,,,,,
2003,61.76,,,,,,24.4,,,,,,
2004,61.4,,,,,,24.52,,,,,,
2005,60.78,,,,,,24.53,,,,,,
2006,61.42,,,,,,24.42,,,,,,
2007,61.67,,,,,,24.43,,,,,,
2008,61.88,,,,,,24.4,,,,,,
2009,61.12,,,,,,24.5,,,,,,
2010,60.85,,,,,,24.58,,,,,,
2011,61.31,,,,,,24.63,,,,,,
2012,61.4,,,,,,24.67,,,,,,
2013,61.74,,,,,,24.62,,,,,,
2014,,61.74,61.74,61.74,61.74,61.74,,24.63,24.63,24.63,24.63,24.63,
2015,,61.92,61.69,62.33,61.69,62.05,,24.66,24.67,24.67,24.67,24.66,
2016,,61.84,62.14,61.74,61.9,61.67,,24.62,24.63,24.55,24.65,24.69,
2017,,62.02,61.99,61.98,62.11,62.13,,24.63,24.67,24.65,24.6,24.66,
2018,,62.02,62.12,61.88,61.81,62.45,,24.69,24.66,24.72,24.69,24.74,
2019,,62.01,61.54,62.1,62.18,62.35,,24.73,24.78,24.65,24.79,24.76,
2020,,61.84,61.17,61.95,61.79,62.57,,24.73,24.95,24.68,24.7,24.7,
2021,,61.95,61.56,61.88,62.25,62.25,,24.75,24.86,24.79,24.69,24.73,
2022,,62.4,62.59,62.3,62.62,62.42,,24.73,24.79,24.84,24.72,24.67,
2023,,62.28,61.83,62.19,62.84,62.51,,24.78,24.85,24.87,24.71,24.82,
2024,,62.21,61.8,62.21,62.55,62.57,,24.82,25.02,24.93,24.65,24.84,
2025,,62.26,61.97,62.54,62.22,62.72,,24.8,24.92,24.84,24.72,24.87,
2026,,62.13,61.65,62.19,62.8,62.19,,24.83,24.9,24.89,24.78,24.94,
2027,,62.16,61.96,62.39,62.64,61.99,,24.87,24.9,24.88,24.88,25.01,
2028,,62.06,61.38,62.29,62.9,61.97,,24.93,25.14,24.84,25,24.99,
2029,,62.23,62.23,62.22,62.51,62.48,,24.92,24.96,25.07,24.83,25.09,
2030,,62.32,62,62.32,63.3,62.18,,24.89,24.98,24.93,24.86,25.05,
