code,name,2020-07_p10,2020-07_median,2020-07_p90,2021-07_p10,2021-07_median,2021-07_p90,2022-07_p10,2022-07_median,2022-07_p90,2023-07_p10,2023-07_median,2023-07_p90,2024-07_p10,2024-07_median,2024-07_p90,2025-07_p10,2025-07_median,2025-07_p90,2026-07_p10,2026-07_median,2026-07_p90,2027-07_p10,2027-07_median,2027-07_p90,2028-07_p10,2028-07_median,2028-07_p90,2029-07_p10,2029-07_median,2029-07_p90,2030-07_p10,2030-07_median,2030-07_p90,2031-07_p10,2031-07_median,2031-07_p90,2032-07_p10,2032-07_median,2032-07_p90,2033-07_p10,2033-07_median,2033-07_p90,2034-07_p10,2034-07_median,2034-07_p90,2035-07_p10,2035-07_median,2035-07_p90,2036-07_p10,2036-07_median,2036-07_p90,2037-07_p10,2037-07_median,2037-07_p90,2038-07_p10,2038-07_median,2038-07_p90,2039-07_p10,2039-07_median,2039-07_p90,2040-07_p10,2040-07_median,2040-07_p90,2041-07_p10,2041-07_median,2041-07_p90,2042-07_p10,2042-07_median,2042-07_p90,2043-07_p10,2043-07_median,2043-07_p90,2044-07_p10,2044-07_median,2044-07_p90,2045-07_p10,2045-07_median,2045-07_p90,2046-07_p10,2046-07_median,2046-07_p90,2047-07_p10,2047-07_median,2047-07_p90,2048-07_p10,2048-07_median,2048-07_p90,2049-07_p10,2049-07_median,2049-07_p90,2050-07_p10,2050-07_median,2050-07_p90,2051-07_p10,2051-07_median,2051-07_p90,2052-07_p10,2052-07_median,2052-07_p90,2053-07_p10,2053-07_median,2053-07_p90,2054-07_p10,2054-07_median,2054-07_p90,2055-07_p10,2055-07_median,2055-07_p90,2056-07_p10,2056-07_median,2056-07_p90,2057-07_p10,2057-07_median,2057-07_p90,2058-07_p10,2058-07_median,2058-07_p90,2059-07_p10,2059-07_median,2059-07_p90,2060-07_p10,2060-07_median,2060-07_p90,2061-07_p10,2061-07_median,2061-07_p90,2062-07_p10,2062-07_median,2062-07_p90,2063-07_p10,2063-07_median,2063-07_p90,2064-07_p10,2064-07_median,2064-07_p90,2065-07_p10,2065-07_median,2065-07_p90,2066-07_p10,2066-07_median,2066-07_p90,2067-07_p10,2067-07_median,2067-07_p90,2068-07_p10,2068-07_median,2068-07_p90,2069-07_p10,2069-07_median,2069-07_p90,2070-07_p10,2070-07_median,2070-07_p90,2071-07_p10,2071-07_median,2071-07_p90,2072-07_p10,2072-07_median,2072-07_p90,2073-07_p10,2073-07_median,2073-07_p90,2074-07_p10,2074-07_median,2074-07_p90,2075-07_p10,2075-07_median,2075-07_p90,2076-07_p10,2076-07_median,2076-07_p90,2077-07_p10,2077-07_median,2077-07_p90,2078-07_p10,2078-07_median,2078-07_p90,2079-07_p10,2079-07_median,2079-07_p90,2080-07_p10,2080-07_median,2080-07_p90,2081-07_p10,2081-07_median,2081-07_p90,2082-07_p10,2082-07_median,2082-07_p90,2083-07_p10,2083-07_median,2083-07_p90,2084-07_p10,2084-07_median,2084-07_p90,2085-07_p10,2085-07_median,2085-07_p90,2086-07_p10,2086-07_median,2086-07_p90,2087-07_p10,2087-07_median,2087-07_p90,2088-07_p10,2088-07_median,2088-07_p90,2089-07_p10,2089-07_median,2089-07_p90,2090-07_p10,2090-07_median,2090-07_p90,2091-07_p10,2091-07_median,2091-07_p90,2092-07_p10,2092-07_median,2092-07_p90,2093-07_p10,2093-07_median,2093-07_p90,2094-07_p10,2094-07_median,2094-07_p90,2095-07_p10,2095-07_median,2095-07_p90,2096-07_p10,2096-07_median,2096-07_p90,2097-07_p10,2097-07_median,2097-07_p90,2098-07_p10,2098-07_median,2098-07_p90,2099-07_p10,2099-07_median,2099-07_p90,2100-07_p10,2100-07_median,2100-07_p90
IND,India,24.13,24.81,25.36,24.15,24.84,25.4,24.18,24.87,25.45,24.2,24.89,25.49,24.22,24.91,25.53,24.24,24.93,25.57,24.25,24.95,25.59,24.25,24.97,25.61,24.25,24.99,25.62,24.26,25.01,25.64,24.27,25.03,25.66,24.29,25.05,25.69,24.32,25.08,25.74,24.36,25.11,25.8,24.4,25.14,25.86,24.44,25.17,25.92,24.47,25.2,25.98,24.49,25.23,26.02,24.5,25.26,26.05,24.51,25.29,26.08,24.52,25.31,26.1,24.53,25.34,26.12,24.56,25.36,26.14,24.59,25.39,26.16,24.64,25.42,26.18,24.68,25.44,26.21,24.72,25.46,26.24,24.75,25.48,26.27,24.77,25.5,26.3,24.78,25.51,26.33,24.78,25.53,26.36,24.78,25.54,26.39,24.78,25.54,26.4,24.78,25.55,26.41,24.79,25.55,26.42,24.79,25.56,26.42,24.8,25.56,26.42,24.8,25.57,26.43,24.81,25.57,26.45,24.81,25.59,26.47,24.81,25.6,26.5,24.81,25.62,26.53,24.81,25.63,26.56,24.81,25.64,26.59,24.81,25.66,26.6,24.81,25.67,26.61,24.81,25.67,26.62,24.81,25.68,26.62,24.8,25.69,26.62,24.79,25.69,26.63,24.77,25.69,26.63,24.75,25.69,26.64,24.74,25.69,26.65,24.74,25.68,26.65,24.75,25.67,26.65,24.77,25.67,26.65,24.79,25.66,26.65,24.82,25.65,26.66,24.84,25.65,26.67,24.85,25.65,26.68,24.85,25.66,26.71,24.84,25.67,26.73,24.82,25.68,26.76,24.81,25.69,26.77,24.79,25.69,26.78,24.78,25.69,26.77,24.78,25.68,26.75,24.78,25.67,26.72,24.78,25.65,26.69,24.78,25.62,26.67,24.77,25.6,26.67,24.76,25.57,26.67,24.75,25.54,26.68,24.73,25.52,26.69,24.72,25.51,26.7,24.7,25.51,26.71,24.69,25.53,26.71,24.68,25.56,26.7,24.68,25.59,26.68,24.67,25.63,26.66,24.66,25.67,26.64
IND.1151,Andaman and Nicobar Islands,27.08,27.4,27.68,27.11,27.44,27.7,27.14,27.46,27.73,27.17,27.49,27.76,27.19,27.51,27.79,27.21,27.53,27.83,27.22,27.54,27.85,27.23,27.55,27.88,27.23,27.56,27.91,27.23,27.57,27.93,27.23,27.59,27.96,27.23,27.6,27.99,27.23,27.62,28.02,27.24,27.65,28.05,27.24,27.67,28.08,27.26,27.7,28.11,27.28,27.72,28.14,27.31,27.74,28.16,27.34,27.76,28.17,27.38,27.78,28.19,27.41,27.79,28.2,27.44,27.8,28.21,27.46,27.82,28.22,27.47,27.83,28.23,27.47,27.84,28.25,27.46,27.85,28.27,27.45,27.86,28.28,27.44,27.88,28.3,27.44,27.89,28.32,27.43,27.91,28.34,27.43,27.92,28.35,27.44,27.93,28.37,27.45,27.93,28.39,27.46,27.92,28.4,27.48,27.91,28.42,27.5,27.89,28.44,27.53,27.88,28.45,27.55,27.88,28.47,27.56,27.89,28.48,27.58,27.91,28.49,27.58,27.95,28.49,27.59,27.98,28.5,27.58,28.01,28.51,27.57,28.02,28.51,27.56,28.02,28.53,27.54,28.01,28.54,27.53,28.0,28.55,27.52,27.98,28.56,27.51,27.97,28.56,27.52,27.97,28.56,27.53,27.98,28.56,27.54,27.99,28.55,27.56,28.0,28.54,27.57,28.01,28.54,27.57,28.01,28.55,27.57,28.01,28.56,27.56,28.0,28.58,27.55,28.0,28.6,27.54,27.99,28.61,27.53,27.99,28.62,27.54,28.0,28.62,27.54,28.01,28.61,27.55,28.01,28.6,27.56,28.02,28.59,27.56,28.01,28.58,27.55,28.0,28.57,27.53,27.99,28.56,27.51,27.97,28.56,27.49,27.94,28.56,27.46,27.92,28.56,27.45,27.91,28.56,27.44,27.9,28.56,27.43,27.89,28.56,27.42,27.89,28.55,27.41,27.89,28.55,27.41,27.9,28.55,27.4,27.91,28.54,27.39,27.92,28.54,27.38,27.94,28.54,27.36,27.95,28.53,27.35,27.97,28.53
IND.11510,Delhi,24.84,25.78,26.57,24.88,25.81,26.62,24.92,25.82,26.66,24.97,25.82,26.68,25.01,25.83,26.68,25.04,25.83,26.69,25.05,25.83,26.69,25.04,25.84,26.69,25.02,25.85,26.7,25.0,25.88,26.72,24.99,25.9,26.75,25.0,25.94,26.8,25.04,25.99,26.86,25.09,26.04,26.93,25.14,26.1,27.01,25.18,26.15,27.1,25.21,26.21,27.18,25.2,26.25,27.26,25.17,26.29,27.33,25.14,26.33,27.4,25.11,26.37,27.44,25.11,26.4,27.47,25.15,26.44,27.49,25.22,26.48,27.48,25.32,26.51,27.47,25.42,26.54,27.45,25.51,26.56,27.44,25.57,26.57,27.44,25.6,26.55,27.47,25.59,26.53,27.5,25.56,26.51,27.54,25.53,26.49,27.57,25.51,26.48,27.6,25.51,26.49,27.61,25.53,26.51,27.61,25.56,26.55,27.59,25.59,26.59,27.58,25.62,26.63,27.57,25.65,26.66,27.57,25.66,26.69,27.58,25.67,26.7,27.6,25.67,26.71,27.64,25.66,26.71,27.68,25.65,26.69,27.73,25.64,26.67,27.78,25.62,26.64,27.83,25.61,26.61,27.88,25.59,26.58,27.92,25.58,26.56,27.94,25.58,26.55,27.94,25.58,26.55,27.93,25.59,26.56,27.91,25.59,26.57,27.89,25.59,26.6,27.87,25.59,26.63,27.87,25.59,26.66,27.89,25.58,26.69,27.91,25.58,26.71,27.95,25.58,26.72,27.98,25.58,26.72,28.02,25.6,26.71,28.05,25.61,26.69,28.07,25.63,26.67,28.09,25.65,26.66,28.09,25.67,26.68,28.08,25.67,26.71,28.05,25.68,26.77,28.01,25.67,26.82,27.97,25.66,26.85,27.94,25.64,26.85,27.91,25.6,26.8,27.91,25.56,26.71,27.92,25.52,26.61,27.94,25.49,26.51,27.97,25.46,26.43,28.0,25.46,26.41,28.02,25.48,26.45,28.02,25.52,26.53,28.02,25.57,26.66,28.01,25.63,26.81,28.0,25.7,26.97,27.98
IND.11511,Goa,26.09,26.55,26.77,26.11,26.57,26.82,26.13,26.58,26.87,26.14,26.59,26.93,26.15,26.6,26.99,26.16,26.62,27.04,26.17,26.64,27.08,26.18,26.66,27.1,26.19,26.7,27.12,26.2,26.73,27.13,26.22,26.77,27.15,26.24,26.8,27.17,26.27,26.82,27.21,26.3,26.84,27.25,26.33,26.86,27.29,26.36,26.87,27.33,26.39,26.88,27.36,26.42,26.89,27.38,26.45,26.91,27.39,26.47,26.92,27.39,26.49,26.93,27.39,26.52,26.95,27.4,26.54,26.96,27.42,26.57,26.98,27.45,26.6,27.0,27.48,26.62,27.02,27.52,26.63,27.04,27.56,26.62,27.06,27.59,26.61,27.07,27.63,26.58,27.09,27.65,26.56,27.1,27.68,26.53,27.12,27.7,26.52,27.13,27.71,26.52,27.13,27.73,26.53,27.14,27.74,26.56,27.14,27.76,26.58,27.14,27.77,26.61,27.15,27.78,26.64,27.16,27.79,26.67,27.18,27.79,26.69,27.19,27.8,26.7,27.21,27.8,26.7,27.23,27.81,26.7,27.24,27.82,26.7,27.24,27.83,26.68,27.25,27.84,26.67,27.25,27.85,26.65,27.25,27.86,26.64,27.24,27.86,26.63,27.25,27.87,26.62,27.25,27.88,26.62,27.25,27.88,26.62,27.26,27.89,26.62,27.26,27.89,26.62,27.26,27.9,26.62,27.26,27.92,26.62,27.27,27.93,26.62,27.27,27.94,26.62,27.26,27.95,26.62,27.26,27.96,26.61,27.26,27.97,26.6,27.25,27.97,26.58,27.25,27.97,26.57,27.24,27.97,26.56,27.23,27.97,26.56,27.22,27.97,26.56,27.21,27.96,26.56,27.2,27.95,26.56,27.19,27.95,26.57,27.18,27.94,26.57,27.17,27.93,26.57,27.16,27.92,26.57,27.15,27.92,26.57,27.14,27.91,26.56,27.14,27.89,26.54,27.14,27.88,26.52,27.14,27.87,26.49,27.15,27.85,26.46,27.16,27.84,26.42,27.17,27.82,26.39,27.19,27.8
IND.11512,Gujarat,27.25,27.85,28.39,27.29,27.89,28.44,27.33,27.93,28.49,27.36,27.96,28.54,27.39,27.99,28.59,27.4,28.02,28.63,27.41,28.04,28.66,27.39,28.05,28.67,27.37,28.06,28.68,27.35,28.06,28.69,27.35,28.07,28.71,27.36,28.09,28.73,27.4,28.1,28.78,27.46,28.13,28.84,27.53,28.15,28.91,27.58,28.18,28.97,27.62,28.21,29.03,27.63,28.24,29.07,27.62,28.28,29.1,27.59,28.31,29.12,27.56,28.33,29.13,27.55,28.36,29.14,27.57,28.38,29.16,27.61,28.4,29.18,27.67,28.42,29.2,27.73,28.44,29.23,27.79,28.45,29.25,27.83,28.47,29.28,27.84,28.49,29.31,27.83,28.52,29.33,27.81,28.54,29.36,27.79,28.56,29.38,27.77,28.57,29.4,27.78,28.58,29.42,27.8,28.58,29.43,27.82,28.58,29.44,27.84,28.57,29.46,27.84,28.57,29.47,27.82,28.57,29.48,27.78,28.57,29.49,27.73,28.58,29.5,27.69,28.59,29.51,27.65,28.6,29.52,27.65,28.61,29.53,27.67,28.62,29.54,27.72,28.64,29.55,27.77,28.65,29.57,27.81,28.65,29.58,27.83,28.66,29.59,27.81,28.65,29.59,27.76,28.64,29.6,27.71,28.63,29.61,27.66,28.63,29.62,27.63,28.62,29.63,27.63,28.62,29.65,27.67,28.62,29.67,27.73,28.63,29.69,27.8,28.64,29.71,27.86,28.65,29.73,27.9,28.66,29.73,27.92,28.66,29.74,27.92,28.66,29.73,27.9,28.66,29.73,27.87,28.65,29.71,27.84,28.64,29.7,27.82,28.63,29.69,27.79,28.62,29.67,27.78,28.6,29.66,27.76,28.59,29.65,27.75,28.57,29.65,27.75,28.56,29.64,27.75,28.55,29.64,27.76,28.54,29.64,27.76,28.53,29.64,27.76,28.53,29.64,27.76,28.54,29.63,27.74,28.55,29.61,27.73,28.57,29.58,27.7,28.6,29.56,27.68,28.62,29.53,27.65,28.65,29.49
IND.11513,Haryana,24.78,25.64,26.32,24.82,25.67,26.37,24.86,25.69,26.42,24.9,25.7,26.46,24.93,25.71,26.49,24.95,25.71,26.52,24.95,25.71,26.54,24.93,25.72,26.55,24.9,25.73,26.57,24.88,25.75,26.58,24.86,25.78,26.6,24.87,25.81,26.63,24.9,25.86,26.68,24.95,25.9,26.74,25.01,25.96,26.81,25.06,26.01,26.89,25.09,26.05,26.96,25.08,26.08,27.04,25.06,26.11,27.11,25.02,26.14,27.17,24.99,26.16,27.22,24.98,26.19,27.26,25.01,26.23,27.28,25.08,26.28,27.29,25.17,26.32,27.29,25.27,26.37,27.28,25.36,26.4,27.28,25.43,26.42,27.29,25.46,26.42,27.31,25.47,26.42,27.34,25.46,26.4,27.38,25.43,26.38,27.41,25.41,26.37,27.43,25.4,26.37,27.43,25.4,26.38,27.43,25.4,26.39,27.41,25.42,26.41,27.4,25.44,26.43,27.4,25.47,26.45,27.41,25.51,26.47,27.43,25.54,26.49,27.46,25.57,26.5,27.5,25.58,26.51,27.55,25.59,26.51,27.59,25.57,26.51,27.63,25.55,26.5,27.66,25.52,26.49,27.69,25.49,26.48,27.71,25.46,26.47,27.72,25.44,26.46,27.72,25.43,26.45,27.72,25.43,26.44,27.71,25.43,26.45,27.71,25.43,26.45,27.71,25.42,26.47,27.72,25.41,26.49,27.73,25.4,26.52,27.75,25.4,26.54,27.77,25.4,26.55,27.8,25.42,26.55,27.83,25.44,26.54,27.85,25.47,26.52,27.87,25.5,26.5,27.88,25.53,26.49,27.89,25.55,26.5,27.88,25.55,26.53,27.85,25.54,26.57,27.82,25.51,26.61,27.78,25.48,26.65,27.75,25.45,26.65,27.72,25.41,26.62,27.71,25.37,26.56,27.72,25.34,26.48,27.73,25.31,26.4,27.75,25.3,26.34,27.77,25.3,26.32,27.78,25.32,26.35,27.78,25.35,26.41,27.77,25.39,26.5,27.76,25.43,26.61,27.74,25.48,26.73,27.71
IND.11514,Himachal Pradesh,4.1,4.9,5.61,4.14,4.94,5.65,4.19,4.98,5.68,4.24,5.02,5.71,4.29,5.06,5.74,4.34,5.09,5.77,4.39,5.12,5.79,4.42,5.13,5.83,4.45,5.15,5.86,4.47,5.16,5.89,4.48,5.18,5.93,4.48,5.19,5.97,4.48,5.21,6.0,4.46,5.23,6.04,4.44,5.25,6.08,4.42,5.27,6.13,4.39,5.3,6.18,4.37,5.32,6.24,4.36,5.34,6.31,4.36,5.37,6.37,4.37,5.39,6.42,4.41,5.43,6.46,4.47,5.46,6.48,4.56,5.5,6.48,4.65,5.54,6.47,4.75,5.58,6.46,4.83,5.62,6.46,4.89,5.65,6.47,4.91,5.67,6.51,4.9,5.68,6.57,4.88,5.69,6.62,4.86,5.69,6.67,4.84,5.7,6.7,4.85,5.7,6.7,4.87,5.7,6.67,4.9,5.7,6.63,4.93,5.7,6.6,4.95,5.71,6.58,4.95,5.71,6.59,4.94,5.72,6.62,4.91,5.74,6.68,4.89,5.75,6.74,4.86,5.77,6.8,4.85,5.8,6.84,4.84,5.82,6.85,4.85,5.85,6.85,4.85,5.87,6.83,4.85,5.89,6.82,4.84,5.89,6.81,4.81,5.89,6.81,4.78,5.87,6.83,4.74,5.85,6.85,4.7,5.83,6.87,4.68,5.81,6.89,4.69,5.8,6.91,4.71,5.8,6.92,4.75,5.81,6.92,4.8,5.82,6.93,4.85,5.83,6.94,4.89,5.84,6.95,4.92,5.84,6.97,4.94,5.85,7.0,4.95,5.85,7.03,4.94,5.85,7.04,4.92,5.85,7.05,4.9,5.85,7.04,4.86,5.85,7.02,4.83,5.84,6.99,4.8,5.83,6.96,4.78,5.81,6.93,4.77,5.78,6.9,4.77,5.75,6.88,4.78,5.72,6.87,4.79,5.69,6.86,4.8,5.67,6.86,4.79,5.67,6.86,4.78,5.7,6.86,4.75,5.73,6.87,4.72,5.79,6.87,4.68,5.85,6.88,4.64,5.91,6.89
IND.11515,Jammu and Kashmir,-2.92,-2.13,-1.23,-2.87,-2.08,-1.18,-2.82,-2.02,-1.14,-2.76,-1.96,-1.1,-2.71,-1.9,-1.08,-2.67,-1.85,-1.06,-2.64,-1.81,-1.03,-2.62,-1.79,-1.01,-2.61,-1.77,-0.98,-2.61,-1.76,-0.94,-2.61,-1.74,-0.91,-2.6,-1.73,-0.86,-2.59,-1.7,-0.82,-2.57,-1.68,-0.77,-2.55,-1.65,-0.72,-2.53,-1.63,-0.67,-2.52,-1.61,-0.63,-2.52,-1.6,-0.59,-2.53,-1.59,-0.56,-2.54,-1.59,-0.53,-2.54,-1.58,-0.51,-2.53,-1.56,-0.49,-2.48,-1.52,-0.47,-2.41,-1.47,-0.45,-2.33,-1.41,-0.43,-2.26,-1.35,-0.41,-2.19,-1.3,-0.38,-2.15,-1.26,-0.34,-2.14,-1.25,-0.3,-2.16,-1.25,-0.25,-2.19,-1.26,-0.2,-2.21,-1.27,-0.16,-2.21,-1.28,-0.14,-2.18,-1.28,-0.14,-2.12,-1.28,-0.14,-2.06,-1.27,-0.16,-2.0,-1.25,-0.18,-1.96,-1.24,-0.19,-1.96,-1.23,-0.19,-1.99,-1.22,-0.17,-2.04,-1.22,-0.14,-2.1,-1.21,-0.11,-2.16,-1.2,-0.08,-2.19,-1.18,-0.05,-2.2,-1.15,-0.03,-2.2,-1.12,-0.02,-2.19,-1.09,-0.01,-2.18,-1.06,-0.01,-2.18,-1.05,-0.01,-2.19,-1.04,-0.01,-2.23,-1.04,-0.02,-2.26,-1.05,-0.02,-2.29,-1.07,-0.01,-2.3,-1.09,0.0,-2.29,-1.1,0.02,-2.26,-1.11,0.06,-2.21,-1.12,0.1,-2.16,-1.12,0.13,-2.12,-1.11,0.17,-2.1,-1.11,0.2,-2.1,-1.09,0.22,-2.11,-1.08,0.23,-2.14,-1.07,0.23,-2.17,-1.06,0.22,-2.19,-1.06,0.21,-2.2,-1.07,0.19,-2.2,-1.09,0.17,-2.2,-1.12,0.14,-2.19,-1.15,0.11,-2.18,-1.17,0.09,-2.17,-1.19,0.06,-2.17,-1.2,0.03,-2.16,-1.2,0.0,-2.16,-1.2,-0.02,-2.17,-1.2,-0.04,-2.17,-1.19,-0.05,-2.18,-1.19,-0.05,-2.19,-1.19,-0.05,-2.2,-1.19,-0.04,-2.21,-1.19,-0.04,-2.23,-1.19,-0.02
IND.11516,Jharkhand,24.44,25.18,25.72,24.48,25.22,25.76,24.53,25.27,25.82,24.57,25.32,25.88,24.61,25.38,25.94,24.65,25.42,25.99,24.68,25.46,26.03,24.71,25.48,26.04,24.73,25.5,26.05,24.75,25.51,26.06,24.77,25.52,26.08,24.79,25.53,26.12,24.82,25.55,26.18,24.86,25.57,26.26,24.9,25.6,26.35,24.94,25.63,26.44,24.97,25.67,26.53,25.0,25.72,26.6,25.02,25.77,26.65,25.03,25.82,26.69,25.05,25.87,26.73,25.07,25.91,26.75,25.1,25.94,26.77,25.13,25.96,26.78,25.16,25.97,26.8,25.2,25.97,26.81,25.23,25.97,26.82,25.26,25.96,26.83,25.28,25.95,26.85,25.3,25.95,26.86,25.32,25.95,26.88,25.32,25.96,26.89,25.32,25.97,26.9,25.31,25.99,26.92,25.3,26.02,26.93,25.29,26.05,26.95,25.28,26.09,26.97,25.28,26.12,26.99,25.3,26.15,27.01,25.32,26.17,27.04,25.35,26.18,27.07,25.38,26.19,27.11,25.4,26.2,27.14,25.4,26.21,27.17,25.38,26.21,27.2,25.35,26.22,27.23,25.31,26.22,27.26,25.27,26.23,27.27,25.24,26.24,27.28,25.22,26.25,27.28,25.22,26.27,27.27,25.23,26.28,27.25,25.25,26.29,27.24,25.28,26.29,27.22,25.32,26.28,27.21,25.36,26.27,27.21,25.4,26.25,27.21,25.44,26.23,27.21,25.46,26.22,27.23,25.46,26.22,27.24,25.45,26.23,27.27,25.43,26.24,27.29,25.4,26.26,27.32,25.38,26.27,27.34,25.37,26.27,27.36,25.37,26.27,27.36,25.39,26.25,27.36,25.41,26.22,27.36,25.42,26.18,27.35,25.42,26.15,27.33,25.4,26.11,27.32,25.37,26.08,27.31,25.32,26.06,27.3,25.27,26.04,27.29,25.22,26.04,27.29,25.19,26.06,27.29,25.18,26.09,27.29,25.18,26.14,27.3,25.19,26.2,27.31,25.2,26.26,27.32,25.23,26.33,27.34
IND.11517,Karnataka,25.51,26.09,26.44,25.52,26.11,26.48,25.52,26.12,26.53,25.51,26.11,26.57,25.5,26.11,26.61,25.5,26.11,26.65,25.5,26.11,26.68,25.53,26.14,26.71,25.56,26.17,26.73,25.59,26.21,26.75,25.63,26.25,26.78,25.65,26.29,26.8,25.67,26.32,26.84,25.68,26.35,26.87,25.69,26.37,26.91,25.71,26.39,26.94,25.73,26.41,26.96,25.76,26.42,26.97,25.81,26.44,26.98,25.85,26.45,26.98,25.9,26.46,26.99,25.94,26.47,27.0,25.97,26.48,27.02,25.98,26.5,27.06,25.99,26.52,27.1,25.98,26.54,27.15,25.98,26.55,27.2,25.97,26.57,27.25,25.97,26.59,27.3,25.97,26.61,27.34,25.97,26.63,27.37,25.97,26.64,27.4,25.98,26.65,27.42,25.98,26.65,27.43,25.99,26.65,27.43,26.0,26.65,27.43,26.0,26.65,27.42,26.01,26.66,27.42,26.03,26.67,27.43,26.04,26.68,27.44,26.05,26.7,27.46,26.06,26.72,27.47,26.07,26.74,27.49,26.08,26.76,27.51,26.08,26.77,27.52,26.08,26.79,27.53,26.08,26.79,27.54,26.07,26.8,27.55,26.06,26.8,27.56,26.05,26.8,27.58,26.04,26.8,27.59,26.03,26.79,27.61,26.02,26.79,27.63,26.02,26.79,27.64,26.03,26.79,27.64,26.04,26.79,27.64,26.05,26.8,27.63,26.06,26.8,27.62,26.06,26.81,27.62,26.05,26.81,27.62,26.03,26.81,27.64,25.99,26.81,27.66,25.96,26.81,27.68,25.93,26.81,27.69,25.91,26.8,27.7,25.9,26.79,27.69,25.9,26.78,27.67,25.91,26.76,27.65,25.92,26.74,27.62,25.93,26.71,27.6,25.94,26.69,27.59,25.94,26.66,27.59,25.94,26.63,27.6,25.93,26.6,27.61,25.91,26.58,27.61,25.9,26.58,27.62,25.88,26.58,27.62,25.86,26.59,27.61,25.84,26.61,27.61,25.82,26.63,27.6,25.79,26.66,27.58
