code,name,2020-07,2021-07,2022-07,2023-07,2024-07,2025-07,2026-07,2027-07,2028-07,2029-07,2030-07,2031-07,2032-07,2033-07,2034-07,2035-07,2036-07,2037-07,2038-07,2039-07,2040-07,2041-07,2042-07,2043-07,2044-07,2045-07,2046-07,2047-07,2048-07,2049-07,2050-07,2051-07,2052-07,2053-07,2054-07,2055-07,2056-07,2057-07,2058-07,2059-07,2060-07,2061-07,2062-07,2063-07,2064-07,2065-07,2066-07,2067-07,2068-07,2069-07,2070-07,2071-07,2072-07,2073-07,2074-07,2075-07,2076-07,2077-07,2078-07,2079-07,2080-07,2081-07,2082-07,2083-07,2084-07,2085-07,2086-07,2087-07,2088-07,2089-07,2090-07,2091-07,2092-07,2093-07,2094-07,2095-07,2096-07,2097-07,2098-07,2099-07,2100-07
IND,India,24.81,24.84,24.87,24.89,24.91,24.93,24.95,24.97,24.99,25.01,25.03,25.05,25.08,25.11,25.14,25.17,25.2,25.23,25.26,25.29,25.31,25.34,25.36,25.39,25.42,25.44,25.46,25.48,25.5,25.51,25.53,25.54,25.54,25.55,25.55,25.56,25.56,25.57,25.57,25.59,25.6,25.62,25.63,25.64,25.66,25.67,25.67,25.68,25.69,25.69,25.69,25.69,25.69,25.68,25.67,25.67,25.66,25.65,25.65,25.65,25.66,25.67,25.68,25.69,25.69,25.69,25.68,25.67,25.65,25.62,25.6,25.57,25.54,25.52,25.51,25.51,25.53,25.56,25.59,25.63,25.67
IND.1151,Andaman and Nicobar Islands,27.4,27.44,27.46,27.49,27.51,27.53,27.54,27.55,27.56,27.57,27.59,27.6,27.62,27.65,27.67,27.7,27.72,27.74,27.76,27.78,27.79,27.8,27.82,27.83,27.84,27.85,27.86,27.88,27.89,27.91,27.92,27.93,27.93,27.92,27.91,27.89,27.88,27.88,27.89,27.91,27.95,27.98,28.01,28.02,28.02,28.01,28,27.98,27.97,27.97,27.98,27.99,28,28.01,28.01,28.01,28,28,27.99,27.99,28,28.01,28.01,28.02,28.01,28,27.99,27.97,27.94,27.92,27.91,27.9,27.89,27.89,27.89,27.9,27.91,27.92,27.94,27.95,27.97
IND.11510,Delhi,25.78,25.81,25.82,25.82,25.83,25.83,25.83,25.84,25.85,25.88,25.9,25.94,25.99,26.04,26.1,26.15,26.21,26.25,26.29,26.33,26.37,26.4,26.44,26.48,26.51,26.54,26.56,26.57,26.55,26.53,26.51,26.49,26.48,26.49,26.51,26.55,26.59,26.63,26.66,26.69,26.7,26.71,26.71,26.69,26.67,26.64,26.61,26.58,26.56,26.55,26.55,26.56,26.57,26.6,26.63,26.66,26.69,26.71,26.72,26.72,26.71,26.69,26.67,26.66,26.68,26.71,26.77,26.82,26.85,26.85,26.8,26.71,26.61,26.51,26.43,26.41,26.45,26.53,26.66,26.81,26.97
IND.11511,Goa,26.55,26.57,26.58,26.59,26.6,26.62,26.64,26.66,26.7,26.73,26.77,26.8,26.82,26.84,26.86,26.87,26.88,26.89,26.91,26.92,26.93,26.95,26.96,26.98,27,27.02,27.04,27.06,27.07,27.09,27.1,27.12,27.13,27.13,27.14,27.14,27.14,27.15,27.16,27.18,27.19,27.21,27.23,27.24,27.24,27.25,27.25,27.25,27.24,27.25,27.25,27.25,27.26,27.26,27.26,27.26,27.27,27.27,27.26,27.26,27.26,27.25,27.25,27.24,27.23,27.22,27.21,27.2,27.19,27.18,27.17,27.16,27.15,27.14,27.14,27.14,27.14,27.15,27.16,27.17,27.19
IND.11512,Gujarat,27.85,27.89,27.93,27.96,27.99,28.02,28.04,28.05,28.06,28.06,28.07,28.09,28.1,28.13,28.15,28.18,28.21,28.24,28.28,28.31,28.33,28.36,28.38,28.4,28.42,28.44,28.45,28.47,28.49,28.52,28.54,28.56,28.57,28.58,28.58,28.58,28.57,28.57,28.57,28.57,28.58,28.59,28.6,28.61,28.62,28.64,28.65,28.65,28.66,28.65,28.64,28.63,28.63,28.62,28.62,28.62,28.63,28.64,28.65,28.66,28.66,28.66,28.66,28.65,28.64,28.63,28.62,28.6,28.59,28.57,28.56,28.55,28.54,28.53,28.53,28.54,28.55,28.57,28.6,28.62,28.65
IND.11513,Haryana,25.64,25.67,25.69,25.7,25.71,25.71,25.71,25.72,25.73,25.75,25.78,25.81,25.86,25.9,25.96,26.01,26.05,26.08,26.11,26.14,26.16,26.19,26.23,26.28,26.32,26.37,26.4,26.42,26.42,26.42,26.4,26.38,26.37,26.37,26.38,26.39,26.41,26.43,26.45,26.47,26.49,26.5,26.51,26.51,26.51,26.5,26.49,26.48,26.47,26.46,26.45,26.44,26.45,26.45,26.47,26.49,26.52,26.54,26.55,26.55,26.54,26.52,26.5,26.49,26.5,26.53,26.57,26.61,26.65,26.65,26.62,26.56,26.48,26.4,26.34,26.32,26.35,26.41,26.5,26.61,26.73
IND.11514,Himachal Pradesh,4.9,4.94,4.98,5.02,5.06,5.09,5.12,5.13,5.15,5.16,5.18,5.19,5.21,5.23,5.25,5.27,5.3,5.32,5.34,5.37,5.39,5.43,5.46,5.5,5.54,5.58,5.62,5.65,5.67,5.68,5.69,5.69,5.7,5.7,5.7,5.7,5.7,5.71,5.71,5.72,5.74,5.75,5.77,5.8,5.82,5.85,5.87,5.89,5.89,5.89,5.87,5.85,5.83,5.81,5.8,5.8,5.81,5.82,5.83,5.84,5.84,5.85,5.85,5.85,5.85,5.85,5.85,5.84,5.83,5.81,5.78,5.75,5.72,5.69,5.67,5.67,5.7,5.73,5.79,5.85,5.91
IND.11515,Jammu and Kashmir,-2.13,-2.08,-2.02,-1.96,-1.9,-1.85,-1.81,-1.79,-1.77,-1.76,-1.74,-1.73,-1.7,-1.68,-1.65,-1.63,-1.61,-1.6,-1.59,-1.59,-1.58,-1.56,-1.52,-1.47,-1.41,-1.35,-1.3,-1.26,-1.25,-1.25,-1.26,-1.27,-1.28,-1.28,-1.28,-1.27,-1.25,-1.24,-1.23,-1.22,-1.22,-1.21,-1.2,-1.18,-1.15,-1.12,-1.09,-1.06,-1.05,-1.04,-1.04,-1.05,-1.07,-1.09,-1.1,-1.11,-1.12,-1.12,-1.11,-1.11,-1.09,-1.08,-1.07,-1.06,-1.06,-1.07,-1.09,-1.12,-1.15,-1.17,-1.19,-1.2,-1.2,-1.2,-1.2,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19
IND.11516,Jharkhand,25.18,25.22,25.27,25.32,25.38,25.42,25.46,25.48,25.5,25.51,25.52,25.53,25.55,25.57,25.6,25.63,25.67,25.72,25.77,25.82,25.87,25.91,25.94,25.96,25.97,25.97,25.97,25.96,25.95,25.95,25.95,25.96,25.97,25.99,26.02,26.05,26.09,26.12,26.15,26.17,26.18,26.19,26.2,26.21,26.21,26.22,26.22,26.23,26.24,26.25,26.27,26.28,26.29,26.29,26.28,26.27,26.25,26.23,26.22,26.22,26.23,26.24,26.26,26.27,26.27,26.27,26.25,26.22,26.18,26.15,26.11,26.08,26.06,26.04,26.04,26.06,26.09,26.14,26.2,26.26,26.33
IND.11517,Karnataka,26.09,26.11,26.12,26.11,26.11,26.11,26.11,26.14,26.17,26.21,26.25,26.29,26.32,26.35,26.37,26.39,26.41,26.42,26.44,26.45,26.46,26.47,26.48,26.5,26.52,26.54,26.55,26.57,26.59,26.61,26.63,26.64,26.65,26.65,26.65,26.65,26.65,26.66,26.67,26.68,26.7,26.72,26.74,26.76,26.77,26.79,26.79,26.8,26.8,26.8,26.8,26.79,26.79,26.79,26.79,26.79,26.8,26.8,26.81,26.81,26.81,26.81,26.81,26.81,26.8,26.79,26.78,26.76,26.74,26.71,26.69,26.66,26.63,26.6,26.58,26.58,26.58,26.59,26.61,26.63,26.66
IND.11518,Kerala,26.23,26.25,26.27,26.28,26.29,26.3,26.31,26.33,26.35,26.38,26.4,26.43,26.45,26.47,26.49,26.51,26.53,26.55,26.56,26.57,26.58,26.6,26.61,26.62,26.64,26.66,26.68,26.7,26.72,26.74,26.76,26.77,26.78,26.77,26.77,26.75,26.74,26.74,26.75,26.76,26.78,26.81,26.83,26.85,26.87,26.88,26.89,26.88,26.88,26.86,26.84,26.82,26.81,26.8,26.81,26.82,26.84,26.86,26.88,26.89,26.89,26.88,26.86,26.85,26.83,26.82,26.82,26.81,26.8,26.79,26.77,26.75,26.73,26.71,26.69,26.69,26.69,26.7,26.72,26.74,26.76
IND.11519,Lakshadweep,27.68,27.7,27.72,27.74,27.75,27.76,27.78,27.8,27.82,27.84,27.86,27.88,27.9,27.92,27.94,27.96,27.97,27.98,27.99,27.99,28,28.01,28.03,28.06,28.08,28.12,28.15,28.18,28.2,28.22,28.24,28.25,28.25,28.25,28.24,28.22,28.21,28.21,28.21,28.23,28.25,28.27,28.29,28.3,28.3,28.3,28.3,28.29,28.28,28.28,28.27,28.27,28.27,28.27,28.27,28.28,28.28,28.29,28.29,28.3,28.31,28.31,28.31,28.31,28.31,28.31,28.3,28.29,28.27,28.26,28.25,28.24,28.24,28.23,28.22,28.22,28.22,28.22,28.22,28.22,28.22
