code,name,2020-07,2021-07,2022-07,2023-07,2024-07,2025-07,2026-07,2027-07,2028-07,2029-07,2030-07,2031-07,2032-07,2033-07,2034-07,2035-07,2036-07,2037-07,2038-07,2039-07,2040-07,2041-07,2042-07,2043-07,2044-07,2045-07,2046-07,2047-07,2048-07,2049-07,2050-07,2051-07,2052-07,2053-07,2054-07,2055-07,2056-07,2057-07,2058-07,2059-07,2060-07,2061-07,2062-07,2063-07,2064-07,2065-07,2066-07,2067-07,2068-07,2069-07,2070-07,2071-07,2072-07,2073-07,2074-07,2075-07,2076-07,2077-07,2078-07,2079-07,2080-07,2081-07,2082-07,2083-07,2084-07,2085-07,2086-07,2087-07,2088-07,2089-07,2090-07,2091-07,2092-07,2093-07,2094-07,2095-07,2096-07,2097-07,2098-07,2099-07,2100-07
IND,India,24.13,24.15,24.18,24.2,24.22,24.24,24.25,24.25,24.25,24.26,24.27,24.29,24.32,24.36,24.4,24.44,24.47,24.49,24.5,24.51,24.52,24.53,24.56,24.59,24.64,24.68,24.72,24.75,24.77,24.78,24.78,24.78,24.78,24.78,24.79,24.79,24.8,24.8,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.8,24.79,24.77,24.75,24.74,24.74,24.75,24.77,24.79,24.82,24.84,24.85,24.85,24.84,24.82,24.81,24.79,24.78,24.78,24.78,24.78,24.78,24.77,24.76,24.75,24.73,24.72,24.7,24.69,24.68,24.68,24.67,24.66
IND.1151,Andaman and Nicobar Islands,27.08,27.11,27.14,27.17,27.19,27.21,27.22,27.23,27.23,27.23,27.23,27.23,27.23,27.24,27.24,27.26,27.28,27.31,27.34,27.38,27.41,27.44,27.46,27.47,27.47,27.46,27.45,27.44,27.44,27.43,27.43,27.44,27.45,27.46,27.48,27.5,27.53,27.55,27.56,27.58,27.58,27.59,27.58,27.57,27.56,27.54,27.53,27.52,27.51,27.52,27.53,27.54,27.56,27.57,27.57,27.57,27.56,27.55,27.54,27.53,27.54,27.54,27.55,27.56,27.56,27.55,27.53,27.51,27.49,27.46,27.45,27.44,27.43,27.42,27.41,27.41,27.4,27.39,27.38,27.36,27.35
IND.11510,Delhi,24.84,24.88,24.92,24.97,25.01,25.04,25.05,25.04,25.02,25,24.99,25,25.04,25.09,25.14,25.18,25.21,25.2,25.17,25.14,25.11,25.11,25.15,25.22,25.32,25.42,25.51,25.57,25.6,25.59,25.56,25.53,25.51,25.51,25.53,25.56,25.59,25.62,25.65,25.66,25.67,25.67,25.66,25.65,25.64,25.62,25.61,25.59,25.58,25.58,25.58,25.59,25.59,25.59,25.59,25.59,25.58,25.58,25.58,25.58,25.6,25.61,25.63,25.65,25.67,25.67,25.68,25.67,25.66,25.64,25.6,25.56,25.52,25.49,25.46,25.46,25.48,25.52,25.57,25.63,25.7
IND.11511,Goa,26.09,26.11,26.13,26.14,26.15,26.16,26.17,26.18,26.19,26.2,26.22,26.24,26.27,26.3,26.33,26.36,26.39,26.42,26.45,26.47,26.49,26.52,26.54,26.57,26.6,26.62,26.63,26.62,26.61,26.58,26.56,26.53,26.52,26.52,26.53,26.56,26.58,26.61,26.64,26.67,26.69,26.7,26.7,26.7,26.7,26.68,26.67,26.65,26.64,26.63,26.62,26.62,26.62,26.62,26.62,26.62,26.62,26.62,26.62,26.62,26.61,26.6,26.58,26.57,26.56,26.56,26.56,26.56,26.56,26.57,26.57,26.57,26.57,26.57,26.56,26.54,26.52,26.49,26.46,26.42,26.39
IND.11512,Gujarat,27.25,27.29,27.33,27.36,27.39,27.4,27.41,27.39,27.37,27.35,27.35,27.36,27.4,27.46,27.53,27.58,27.62,27.63,27.62,27.59,27.56,27.55,27.57,27.61,27.67,27.73,27.79,27.83,27.84,27.83,27.81,27.79,27.77,27.78,27.8,27.82,27.84,27.84,27.82,27.78,27.73,27.69,27.65,27.65,27.67,27.72,27.77,27.81,27.83,27.81,27.76,27.71,27.66,27.63,27.63,27.67,27.73,27.8,27.86,27.9,27.92,27.92,27.9,27.87,27.84,27.82,27.79,27.78,27.76,27.75,27.75,27.75,27.76,27.76,27.76,27.76,27.74,27.73,27.7,27.68,27.65
IND.11513,Haryana,24.78,24.82,24.86,24.9,24.93,24.95,24.95,24.93,24.9,24.88,24.86,24.87,24.9,24.95,25.01,25.06,25.09,25.08,25.06,25.02,24.99,24.98,25.01,25.08,25.17,25.27,25.36,25.43,25.46,25.47,25.46,25.43,25.41,25.4,25.4,25.4,25.42,25.44,25.47,25.51,25.54,25.57,25.58,25.59,25.57,25.55,25.52,25.49,25.46,25.44,25.43,25.43,25.43,25.43,25.42,25.41,25.4,25.4,25.4,25.42,25.44,25.47,25.5,25.53,25.55,25.55,25.54,25.51,25.48,25.45,25.41,25.37,25.34,25.31,25.3,25.3,25.32,25.35,25.39,25.43,25.48
IND.11514,Himachal Pradesh,4.1,4.14,4.19,4.24,4.29,4.34,4.39,4.42,4.45,4.47,4.48,4.48,4.48,4.46,4.44,4.42,4.39,4.37,4.36,4.36,4.37,4.41,4.47,4.56,4.65,4.75,4.83,4.89,4.91,4.9,4.88,4.86,4.84,4.85,4.87,4.9,4.93,4.95,4.95,4.94,4.91,4.89,4.86,4.85,4.84,4.85,4.85,4.85,4.84,4.81,4.78,4.74,4.7,4.68,4.69,4.71,4.75,4.8,4.85,4.89,4.92,4.94,4.95,4.94,4.92,4.9,4.86,4.83,4.8,4.78,4.77,4.77,4.78,4.79,4.8,4.79,4.78,4.75,4.72,4.68,4.64
IND.11515,Jammu and Kashmir,-2.92,-2.87,-2.82,-2.76,-2.71,-2.67,-2.64,-2.62,-2.61,-2.61,-2.61,-2.6,-2.59,-2.57,-2.55,-2.53,-2.52,-2.52,-2.53,-2.54,-2.54,-2.53,-2.48,-2.41,-2.33,-2.26,-2.19,-2.15,-2.14,-2.16,-2.19,-2.21,-2.21,-2.18,-2.12,-2.06,-2,-1.96,-1.96,-1.99,-2.04,-2.1,-2.16,-2.19,-2.2,-2.2,-2.19,-2.18,-2.18,-2.19,-2.23,-2.26,-2.29,-2.3,-2.29,-2.26,-2.21,-2.16,-2.12,-2.1,-2.1,-2.11,-2.14,-2.17,-2.19,-2.2,-2.2,-2.2,-2.19,-2.18,-2.17,-2.17,-2.16,-2.16,-2.17,-2.17,-2.18,-2.19,-2.2,-2.21,-2.23
IND.11516,Jharkhand,24.44,24.48,24.53,24.57,24.61,24.65,24.68,24.71,24.73,24.75,24.77,24.79,24.82,24.86,24.9,24.94,24.97,25,25.02,25.03,25.05,25.07,25.1,25.13,25.16,25.2,25.23,25.26,25.28,25.3,25.32,25.32,25.32,25.31,25.3,25.29,25.28,25.28,25.3,25.32,25.35,25.38,25.4,25.4,25.38,25.35,25.31,25.27,25.24,25.22,25.22,25.23,25.25,25.28,25.32,25.36,25.4,25.44,25.46,25.46,25.45,25.43,25.4,25.38,25.37,25.37,25.39,25.41,25.42,25.42,25.4,25.37,25.32,25.27,25.22,25.19,25.18,25.18,25.19,25.2,25.23
IND.11517,Karnataka,25.51,25.52,25.52,25.51,25.5,25.5,25.5,25.53,25.56,25.59,25.63,25.65,25.67,25.68,25.69,25.71,25.73,25.76,25.81,25.85,25.9,25.94,25.97,25.98,25.99,25.98,25.98,25.97,25.97,25.97,25.97,25.97,25.98,25.98,25.99,26,26,26.01,26.03,26.04,26.05,26.06,26.07,26.08,26.08,26.08,26.08,26.07,26.06,26.05,26.04,26.03,26.02,26.02,26.03,26.04,26.05,26.06,26.06,26.05,26.03,25.99,25.96,25.93,25.91,25.9,25.9,25.91,25.92,25.93,25.94,25.94,25.94,25.93,25.91,25.9,25.88,25.86,25.84,25.82,25.79
