code,name,2015-07,2016-07,2017-07,2018-07,2019-07,2020-07,2021-07,2022-07,2023-07,2024-07,2025-07,2026-07,2027-07,2028-07,2029-07,2030-07,2031-07,2032-07,2033-07,2034-07,2035-07,2036-07,2037-07,2038-07,2039-07,2040-07,2041-07,2042-07,2043-07,2044-07,2045-07,2046-07,2047-07,2048-07,2049-07,2050-07,2051-07,2052-07,2053-07,2054-07,2055-07,2056-07,2057-07,2058-07,2059-07,2060-07,2061-07,2062-07,2063-07,2064-07,2065-07,2066-07,2067-07,2068-07,2069-07,2070-07,2071-07,2072-07,2073-07,2074-07,2075-07,2076-07,2077-07,2078-07,2079-07,2080-07,2081-07,2082-07,2083-07,2084-07,2085-07,2086-07,2087-07,2088-07,2089-07,2090-07,2091-07,2092-07,2093-07,2094-07,2095-07,2096-07,2097-07,2098-07,2099-07,2100-07
IND,India,25.28,25.28,25.28,25.28,25.29,25.31,25.35,25.39,25.44,25.5,25.55,25.59,25.62,25.66,25.69,25.72,25.77,25.82,25.89,25.96,26.03,26.09,26.15,26.2,26.25,26.28,26.31,26.33,26.35,26.36,26.38,26.41,26.46,26.52,26.6,26.68,26.75,26.82,26.87,26.9,26.93,26.96,27,27.05,27.12,27.2,27.29,27.36,27.43,27.49,27.53,27.57,27.6,27.64,27.68,27.73,27.79,27.85,27.92,28,28.08,28.16,28.25,28.33,28.4,28.48,28.54,28.6,28.65,28.69,28.73,28.76,28.8,28.85,28.92,29.01,29.12,29.24,29.36,29.47,29.55,29.61,29.64,29.66,29.67,29.67
IND.1151,Andaman and Nicobar Islands,27.6,27.6,27.6,27.61,27.62,27.64,27.68,27.72,27.78,27.83,27.88,27.93,27.96,27.99,28.02,28.04,28.06,28.09,28.12,28.16,28.19,28.22,28.25,28.28,28.31,28.34,28.37,28.4,28.44,28.47,28.5,28.54,28.57,28.59,28.62,28.64,28.67,28.69,28.73,28.76,28.8,28.85,28.9,28.96,29.03,29.09,29.16,29.21,29.26,29.3,29.33,29.35,29.37,29.39,29.41,29.44,29.48,29.52,29.57,29.62,29.68,29.74,29.8,29.85,29.9,29.93,29.97,29.99,30.02,30.06,30.1,30.14,30.19,30.24,30.29,30.33,30.36,30.4,30.43,30.47,30.51,30.56,30.61,30.66,30.71,30.77
IND.11510,Delhi,26.5,26.44,26.39,26.35,26.33,26.34,26.39,26.46,26.54,26.62,26.68,26.71,26.71,26.69,26.66,26.66,26.68,26.75,26.86,26.98,27.1,27.22,27.31,27.38,27.43,27.45,27.46,27.46,27.44,27.43,27.43,27.45,27.49,27.57,27.67,27.77,27.88,27.96,28.03,28.06,28.08,28.08,28.08,28.08,28.08,28.1,28.13,28.18,28.26,28.38,28.5,28.63,28.74,28.81,28.85,28.85,28.83,28.82,28.84,28.9,29.01,29.14,29.3,29.45,29.6,29.72,29.83,29.9,29.96,29.98,29.99,29.97,29.96,29.96,29.98,30.05,30.14,30.26,30.39,30.51,30.6,30.67,30.71,30.73,30.74,30.75
IND.11511,Goa,26.67,26.68,26.7,26.72,26.74,26.77,26.8,26.85,26.89,26.94,26.98,27.02,27.05,27.08,27.1,27.13,27.17,27.21,27.25,27.3,27.35,27.4,27.44,27.49,27.53,27.57,27.61,27.64,27.66,27.69,27.71,27.75,27.78,27.83,27.88,27.93,27.98,28.02,28.05,28.08,28.1,28.12,28.16,28.21,28.27,28.35,28.42,28.5,28.56,28.62,28.66,28.7,28.74,28.78,28.82,28.88,28.93,28.99,29.04,29.09,29.15,29.2,29.25,29.3,29.35,29.4,29.46,29.5,29.55,29.59,29.61,29.64,29.67,29.7,29.75,29.83,29.91,30.01,30.11,30.19,30.26,30.3,30.32,30.33,30.32,30.32
IND.11512,Gujarat,28.22,28.23,28.24,28.25,28.28,28.32,28.37,28.44,28.52,28.59,28.66,28.7,28.73,28.75,28.76,28.78,28.81,28.86,28.93,29,29.09,29.17,29.25,29.33,29.39,29.45,29.5,29.53,29.55,29.56,29.57,29.59,29.62,29.67,29.72,29.79,29.85,29.91,29.97,30.01,30.06,30.1,30.15,30.21,30.27,30.34,30.42,30.49,30.56,30.63,30.69,30.76,30.82,30.88,30.94,31.01,31.07,31.12,31.16,31.2,31.22,31.25,31.28,31.33,31.41,31.51,31.63,31.75,31.86,31.93,31.97,31.98,31.97,31.98,32,32.07,32.17,32.29,32.42,32.54,32.64,32.7,32.73,32.75,32.75,32.75
IND.11513,Haryana,26.29,26.26,26.22,26.2,26.2,26.21,26.25,26.31,26.38,26.45,26.51,26.54,26.56,26.55,26.55,26.56,26.59,26.65,26.73,26.83,26.93,27.03,27.11,27.17,27.22,27.25,27.28,27.29,27.29,27.3,27.31,27.34,27.39,27.46,27.55,27.64,27.73,27.8,27.84,27.86,27.86,27.86,27.86,27.86,27.88,27.92,27.97,28.04,28.12,28.22,28.33,28.43,28.52,28.59,28.63,28.65,28.66,28.68,28.72,28.79,28.9,29.03,29.17,29.31,29.43,29.52,29.6,29.65,29.69,29.72,29.73,29.74,29.74,29.76,29.79,29.84,29.91,30,30.1,30.2,30.3,30.4,30.5,30.6,30.69,30.79
IND.11514,Himachal Pradesh,5.48,5.51,5.54,5.57,5.6,5.64,5.69,5.74,5.79,5.85,5.9,5.94,5.98,6.02,6.05,6.08,6.12,6.17,6.22,6.28,6.35,6.43,6.52,6.62,6.71,6.79,6.85,6.87,6.87,6.85,6.83,6.84,6.87,6.94,7.05,7.17,7.28,7.38,7.45,7.49,7.51,7.52,7.52,7.53,7.55,7.58,7.63,7.69,7.77,7.88,7.99,8.11,8.22,8.3,8.36,8.4,8.43,8.46,8.5,8.57,8.67,8.78,8.89,9,9.08,9.15,9.2,9.24,9.28,9.31,9.35,9.4,9.46,9.52,9.59,9.67,9.75,9.84,9.93,10.01,10.1,10.19,10.27,10.35,10.43,10.51
IND.11515,Jammu and Kashmir,-1.43,-1.36,-1.29,-1.23,-1.17,-1.12,-1.08,-1.04,-1,-0.97,-0.94,-0.9,-0.85,-0.8,-0.75,-0.7,-0.65,-0.61,-0.56,-0.51,-0.44,-0.37,-0.28,-0.17,-0.07,0.03,0.11,0.16,0.18,0.18,0.18,0.19,0.22,0.28,0.36,0.46,0.56,0.67,0.77,0.87,0.95,1.01,1.06,1.08,1.09,1.09,1.11,1.16,1.25,1.39,1.56,1.74,1.91,2.04,2.12,2.15,2.16,2.17,2.18,2.23,2.31,2.41,2.52,2.64,2.76,2.86,2.95,3.03,3.08,3.11,3.12,3.11,3.11,3.13,3.18,3.27,3.4,3.56,3.73,3.89,4.03,4.14,4.23,4.3,4.36,4.41
IND.11516,Jharkhand,25.74,25.72,25.71,25.71,25.71,25.72,25.74,25.78,25.82,25.86,25.9,25.93,25.96,25.99,26.02,26.06,26.12,26.19,26.28,26.38,26.46,26.54,26.59,26.62,26.64,26.66,26.67,26.69,26.73,26.76,26.8,26.84,26.88,26.91,26.93,26.96,27,27.05,27.11,27.19,27.28,27.37,27.45,27.53,27.59,27.64,27.69,27.74,27.8,27.86,27.93,28,28.07,28.13,28.19,28.24,28.29,28.35,28.4,28.47,28.54,28.62,28.7,28.77,28.85,28.92,28.98,29.03,29.09,29.14,29.18,29.23,29.29,29.36,29.45,29.56,29.68,29.81,29.94,30.05,30.13,30.19,30.22,30.23,30.23,30.23
IND.11517,Karnataka,26.43,26.42,26.42,26.42,26.42,26.43,26.45,26.48,26.51,26.54,26.58,26.62,26.65,26.68,26.72,26.76,26.81,26.86,26.92,26.97,27.03,27.08,27.12,27.16,27.19,27.21,27.23,27.26,27.28,27.31,27.35,27.4,27.46,27.53,27.6,27.68,27.74,27.79,27.83,27.84,27.86,27.88,27.92,27.99,28.08,28.18,28.29,28.37,28.43,28.44,28.43,28.42,28.4,28.41,28.44,28.51,28.59,28.69,28.78,28.87,28.95,29.03,29.09,29.14,29.19,29.24,29.28,29.31,29.34,29.38,29.41,29.44,29.49,29.55,29.62,29.71,29.82,29.93,30.04,30.13,30.21,30.25,30.27,30.27,30.26,30.25
