code,name,2015-07,2016-07,2017-07,2018-07,2019-07,2020-07,2021-07,2022-07,2023-07,2024-07,2025-07,2026-07,2027-07,2028-07,2029-07,2030-07,2031-07,2032-07,2033-07,2034-07,2035-07,2036-07,2037-07,2038-07,2039-07,2040-07,2041-07,2042-07,2043-07,2044-07,2045-07,2046-07,2047-07,2048-07,2049-07,2050-07,2051-07,2052-07,2053-07,2054-07,2055-07,2056-07,2057-07,2058-07,2059-07,2060-07,2061-07,2062-07,2063-07,2064-07,2065-07,2066-07,2067-07,2068-07,2069-07,2070-07,2071-07,2072-07,2073-07,2074-07,2075-07,2076-07,2077-07,2078-07,2079-07,2080-07,2081-07,2082-07,2083-07,2084-07,2085-07,2086-07,2087-07,2088-07,2089-07,2090-07,2091-07,2092-07,2093-07,2094-07,2095-07,2096-07,2097-07,2098-07,2099-07,2100-07
IND,India,24.69,24.69,24.68,24.68,24.69,24.7,24.73,24.77,24.81,24.86,24.9,24.94,24.97,25,25.03,25.06,25.09,25.13,25.17,25.22,25.27,25.33,25.39,25.46,25.53,25.59,25.65,25.71,25.77,25.82,25.88,25.93,25.98,26.04,26.1,26.16,26.21,26.27,26.32,26.37,26.41,26.46,26.52,26.57,26.64,26.7,26.77,26.83,26.88,26.92,26.95,26.99,27.04,27.1,27.18,27.28,27.37,27.47,27.55,27.61,27.65,27.68,27.71,27.75,27.81,27.89,27.98,28.09,28.19,28.28,28.35,28.4,28.45,28.5,28.56,28.62,28.7,28.79,28.88,28.96,29.03,29.09,29.14,29.18,29.21,29.24
IND.1151,Andaman and Nicobar Islands,27.25,27.28,27.32,27.35,27.39,27.42,27.45,27.48,27.51,27.53,27.56,27.59,27.61,27.64,27.66,27.69,27.71,27.73,27.75,27.77,27.8,27.83,27.87,27.91,27.96,28.01,28.06,28.11,28.16,28.21,28.25,28.29,28.32,28.35,28.38,28.41,28.44,28.47,28.51,28.56,28.61,28.66,28.7,28.73,28.76,28.79,28.82,28.85,28.9,28.95,29.02,29.08,29.15,29.22,29.28,29.34,29.39,29.43,29.47,29.5,29.52,29.55,29.57,29.61,29.66,29.72,29.79,29.86,29.93,29.99,30.04,30.08,30.11,30.14,30.18,30.22,30.26,30.31,30.35,30.4,30.44,30.48,30.52,30.55,30.59,30.62
IND.11510,Delhi,25.59,25.57,25.55,25.55,25.55,25.56,25.59,25.63,25.68,25.74,25.79,25.83,25.86,25.89,25.91,25.95,25.99,26.04,26.1,26.16,26.23,26.29,26.35,26.4,26.45,26.5,26.56,26.62,26.7,26.77,26.85,26.92,26.99,27.04,27.09,27.14,27.19,27.25,27.32,27.4,27.48,27.56,27.64,27.7,27.76,27.81,27.85,27.89,27.93,27.98,28.03,28.09,28.16,28.24,28.32,28.41,28.5,28.58,28.64,28.68,28.71,28.72,28.74,28.78,28.84,28.92,29.03,29.14,29.26,29.36,29.44,29.51,29.57,29.62,29.68,29.75,29.83,29.92,30.01,30.1,30.19,30.27,30.34,30.41,30.48,30.55
IND.11511,Goa,26.41,26.4,26.4,26.4,26.41,26.43,26.45,26.49,26.52,26.57,26.61,26.65,26.68,26.72,26.75,26.78,26.81,26.84,26.87,26.91,26.95,27,27.05,27.11,27.18,27.24,27.29,27.34,27.37,27.41,27.44,27.47,27.52,27.56,27.62,27.68,27.73,27.78,27.82,27.86,27.89,27.92,27.96,28.02,28.08,28.15,28.22,28.28,28.34,28.38,28.41,28.44,28.47,28.51,28.56,28.62,28.69,28.76,28.83,28.88,28.92,28.96,29,29.05,29.12,29.2,29.29,29.38,29.47,29.55,29.6,29.64,29.67,29.7,29.73,29.77,29.82,29.88,29.94,30.01,30.07,30.14,30.2,30.26,30.32,30.38
IND.11512,Gujarat,27.79,27.79,27.79,27.8,27.81,27.82,27.84,27.87,27.9,27.94,27.97,28,28.02,28.04,28.07,28.09,28.13,28.17,28.23,28.28,28.34,28.4,28.46,28.51,28.56,28.61,28.65,28.69,28.72,28.76,28.8,28.84,28.91,28.98,29.06,29.15,29.23,29.29,29.34,29.37,29.4,29.42,29.45,29.5,29.57,29.64,29.72,29.79,29.85,29.89,29.92,29.95,29.99,30.03,30.09,30.17,30.25,30.34,30.41,30.48,30.53,30.57,30.61,30.66,30.71,30.78,30.85,30.93,31.01,31.08,31.15,31.21,31.26,31.33,31.39,31.47,31.56,31.65,31.75,31.83,31.9,31.96,32.01,32.05,32.08,32.11
IND.11513,Haryana,25.47,25.44,25.42,25.4,25.39,25.41,25.44,25.48,25.54,25.61,25.67,25.72,25.76,25.79,25.82,25.86,25.89,25.94,25.99,26.05,26.1,26.15,26.2,26.25,26.29,26.34,26.4,26.47,26.56,26.64,26.73,26.81,26.88,26.94,26.99,27.03,27.08,27.14,27.21,27.29,27.38,27.46,27.54,27.6,27.65,27.69,27.73,27.76,27.8,27.85,27.9,27.96,28.04,28.12,28.21,28.3,28.39,28.47,28.54,28.59,28.63,28.65,28.68,28.71,28.76,28.83,28.92,29.01,29.12,29.22,29.31,29.4,29.49,29.58,29.66,29.74,29.82,29.9,29.98,30.06,30.14,30.22,30.31,30.39,30.47,30.55
IND.11514,Himachal Pradesh,4.84,4.85,4.85,4.86,4.88,4.9,4.93,4.96,5.01,5.05,5.1,5.15,5.21,5.26,5.31,5.36,5.41,5.45,5.49,5.53,5.57,5.61,5.67,5.73,5.8,5.87,5.94,6.02,6.1,6.17,6.25,6.33,6.4,6.47,6.54,6.61,6.67,6.73,6.79,6.84,6.89,6.94,6.99,7.05,7.12,7.19,7.26,7.33,7.4,7.46,7.52,7.59,7.65,7.73,7.83,7.93,8.03,8.13,8.23,8.31,8.38,8.45,8.5,8.56,8.62,8.69,8.76,8.84,8.92,9,9.09,9.18,9.28,9.38,9.48,9.58,9.69,9.79,9.89,9.98,10.06,10.13,10.19,10.24,10.29,10.34
IND.11515,Jammu and Kashmir,-2.14,-2.11,-2.08,-2.06,-2.03,-2.01,-1.99,-1.96,-1.94,-1.91,-1.86,-1.81,-1.75,-1.68,-1.61,-1.55,-1.49,-1.45,-1.41,-1.38,-1.35,-1.31,-1.27,-1.21,-1.14,-1.07,-0.99,-0.91,-0.83,-0.74,-0.66,-0.58,-0.5,-0.43,-0.37,-0.31,-0.25,-0.19,-0.13,-0.07,0,0.07,0.14,0.22,0.29,0.37,0.45,0.52,0.6,0.67,0.75,0.82,0.9,0.99,1.07,1.16,1.26,1.36,1.46,1.56,1.66,1.76,1.85,1.92,1.99,2.04,2.08,2.13,2.18,2.26,2.37,2.5,2.63,2.77,2.9,3,3.09,3.17,3.23,3.3,3.38,3.47,3.56,3.67,3.77,3.88
IND.11516,Jharkhand,25.12,25.11,25.11,25.1,25.11,25.13,25.15,25.19,25.24,25.28,25.32,25.36,25.39,25.41,25.44,25.46,25.49,25.53,25.57,25.63,25.68,25.75,25.82,25.89,25.96,26.04,26.1,26.17,26.22,26.28,26.33,26.39,26.46,26.54,26.62,26.7,26.78,26.84,26.89,26.92,26.95,26.98,27.03,27.08,27.16,27.24,27.31,27.38,27.43,27.45,27.46,27.47,27.5,27.54,27.63,27.73,27.85,27.97,28.07,28.14,28.19,28.22,28.24,28.29,28.37,28.48,28.61,28.75,28.88,28.99,29.06,29.11,29.14,29.17,29.22,29.29,29.39,29.49,29.6,29.7,29.77,29.82,29.84,29.85,29.84,29.83
IND.11517,Karnataka,25.93,25.92,25.91,25.91,25.91,25.93,25.95,25.99,26.03,26.07,26.12,26.15,26.19,26.22,26.24,26.27,26.29,26.32,26.35,26.39,26.43,26.48,26.54,26.61,26.68,26.75,26.82,26.88,26.93,26.98,27.02,27.05,27.09,27.13,27.16,27.2,27.24,27.29,27.34,27.39,27.45,27.51,27.57,27.64,27.71,27.77,27.83,27.88,27.92,27.95,27.98,28.01,28.04,28.09,28.16,28.24,28.33,28.41,28.48,28.53,28.56,28.58,28.61,28.64,28.7,28.79,28.89,29,29.1,29.18,29.23,29.27,29.29,29.31,29.33,29.37,29.41,29.47,29.53,29.6,29.66,29.71,29.77,29.82,29.86,29.91
